,wardName,wardNo,area(sq km),totalPopulation
0,Ala,1,10.44,13395
1,Ambalapuzha North,2,10.88,30492
2,Ambalapuzha South,3,13.29,23205
3,Arattupuzha,4,22.7,29264
4,Arookutty,5,11.0,19411
5,Aroor,6,15.15,41146
6,Aryad,7,6.87,32265
7,Bharanikavu,8,23.25,35426
8,Budhanur,9,19.2,18444
9,Champakulam,10,22.97,15848
10,Chennithala Thriperumthura,11,22.26,27586
11,Cheppad,12,12.67,20052
12,Cheriyanad,13,14.0,22018
13,Cherthala south,14,18.34,40102
14,Cheruthana,15,14.25,12854
15,Chingoli,16,6.6,14981
16,Chunakkara,17,17.32,22730
17,Edathua,18,26.8,19094
18,Ezhupunna,19,14.08,21506
19,Kadakkarappally,20,8.9,17496
20,Kainakary,21,36.64,19094
21,Kandalloor,22,9.74,19925
22,Kanjikuzhi,23,16.62,29951
23,Karthikappally,24,6.43,18956
24,Karuvatta,25,17.68,21211
25,Kavalam,26,17.25,14010
26,Kodamthuruthu,27,10.81,25385
27,Krishnapuram,28,10.64,26705
28,Kumarapuram,29,13.75,20572
29,Kuthiathodu,30,9.8,23669
30,Mannanchery,31,34.52,50990
31,Mannar,32,17.96,28916
32,Mararikulam North,33,16.97,31322
33,Mavelikkara Thekkekara,34,20.0,32373
34,Muhamma,35,26.76,25861
35,Mulakuzha,36,22.64,28280
36,Muthukulam,37,11.58,20740
37,Muttar,38,10.48,9388
38,Nedumudi,39,25.98,19701
39,Neelamperoor,40,41.48,13514
40,Nooranad,41,21.29,25375
41,Palamel,42,25.6,32556
42,Pallippad,43,11.7,24625
43,Panavally,44,19.55,31570
44,Pandanad,45,10.45,11489
45,Pathiyoor,46,16.27,33925
46,Pattanakkad,47,15.34,34620
47,Perumbalam,48,16.32,9733
48,Pulinkunnu,49,52.0,20947
49,Puliyoor,50,11.92,16668
50,Purakkad,51,23.0,29782
51,Ramankari,52,16.77,13332
52,Thaicattussery,53,13.82,20874
53,Thakazhi,54,25.24,18826
54,Thalavadi,55,15.76,20459
55,Thazhakara,56,25.26,35989
56,Thiruvanvandur,57,10.05,14701
57,Thrikkunnapuzha,58,12.53,26679
58,Thuravoor,59,19.18,28802
59,Vallikunnam,60,21.37,30394
60,Veeyapuram,61,14.02,11320
61,Veliyanad,62,19.41,12501
62,Venmony,63,18.01,19932
63,Aikaranad,64,25.96,21107
64,Amballur,65,22.6,25628
65,Arakuzha,66,29.36,15404
66,Asamannoor,67,21.57,19311
67,Ayyampuzha,68,231.39,14211
68,Chellanam,69,19.37,37399
69,Chendamangalam,70,10.72,29326
70,Cheranallur,71,10.59,30594
71,Choornikkara,72,11.07,32746
72,Edakkattuvayal,73,18.62,18158
73,Edathala,74,15.98,44204
74,Edavanakkad,75,10.17,21787
75,Elamkunnapuzha,76,11.52,50714
76,Elanji,77,29.48,16495
77,Ezhikkara,78,15.27,18019
78,Kalady,79,16.684,28279
79,Kalloorkkad,80,38.95,13337
80,Karukutty,81,33.57,28118
81,Karumalloor,82,21.5,36078
82,Keerampara,83,28.745,12525
83,Kizhakkambalam,84,31.57,33363
84,Koovappady,85,31.18,36241
85,Kottappady,86,31.94,17903
86,Kottuvally,87,20.82,42852
87,Kumbalam,88,20.79,29193
88,Kumbalangy,89,15.21,28248
