,wardNo,wardName,Employed,Unemployment,totalWorkForce
0,1,Ala,5090,8305,13395
1,2,Ambalapuzha North,11587,18905,30492
2,3,Ambalapuzha South,8818,14387,23205
3,4,Arattupuzha,11120,18144,29264
4,5,Arookutty,7376,12035,19411
5,6,Aroor,15635,25511,41146
6,7,Aryad,12261,20004,32265
7,8,Bharanikavu,13462,21964,35426
8,9,Budhanur,7009,11435,18444
9,10,Champakulam,6022,9826,15848
10,11,Chennithala Thriperumthura,10483,17103,27586
11,12,Cheppad,7620,12432,20052
12,13,Cheriyanad,8367,13651,22018
13,14,Cherthala south,15239,24863,40102
14,15,Cheruthana,4885,7969,12854
15,16,Chingoli,5693,9288,14981
16,17,Chunakkara,8637,14093,22730
17,18,Edathua,7256,11838,19094
18,19,Ezhupunna,8172,13334,21506
19,20,Kadakkarappally,6648,10848,17496
20,21,Kainakary,7256,11838,19094
21,22,Kandalloor,7572,12353,19925
22,23,Kanjikuzhi,11381,18570,29951
23,24,Karthikappally,7203,11753,18956
24,25,Karuvatta,8060,13151,21211
25,26,Kavalam,5324,8686,14010
26,27,Kodamthuruthu,9646,15739,25385
27,28,Krishnapuram,10148,16557,26705
28,29,Kumarapuram,7817,12755,20572
29,30,Kuthiathodu,8994,14675,23669
30,31,Mannanchery,19376,31614,50990
31,32,Mannar,10988,17928,28916
32,33,Mararikulam North,11902,19420,31322
33,34,Mavelikkara Thekkekara,12302,20071,32373
34,35,Muhamma,9827,16034,25861
35,36,Mulakuzha,10746,17534,28280
36,37,Muthukulam,7881,12859,20740
37,38,Muttar,3567,5821,9388
38,39,Nedumudi,7486,12215,19701
39,40,Neelamperoor,5135,8379,13514
40,41,Nooranad,9642,15733,25375
41,42,Palamel,12371,20185,32556
42,43,Pallippad,9358,15267,24625
43,44,Panavally,11997,19573,31570
44,45,Pandanad,4366,7123,11489
45,46,Pathiyoor,12892,21033,33925
46,47,Pattanakkad,13156,21464,34620
47,48,Perumbalam,3699,6034,9733
48,49,Pulinkunnu,7960,12987,20947
49,50,Puliyoor,6334,10334,16668
50,51,Purakkad,11317,18465,29782
51,52,Ramankari,5066,8266,13332
52,53,Thaicattussery,7932,12942,20874
53,54,Thakazhi,7154,11672,18826
54,55,Thalavadi,7774,12685,20459
55,56,Thazhakara,13676,22313,35989
56,57,Thiruvanvandur,5586,9115,14701
57,58,Thrikkunnapuzha,10138,16541,26679
58,59,Thuravoor,10945,17857,28802
59,60,Vallikunnam,11550,18844,30394
60,61,Veeyapuram,4302,7018,11320
61,62,Veliyanad,4750,7751,12501
62,63,Venmony,7574,12358,19932
63,64,Aikaranad,8021,13086,21107
64,65,Amballur,9739,15889,25628
65,66,Arakuzha,5854,9550,15404
66,67,Asamannoor,7338,11973,19311
67,68,Ayyampuzha,5400,8811,14211
68,69,Chellanam,14212,23187,37399
69,70,Chendamangalam,11144,18182,29326
70,71,Cheranallur,11626,18968,30594
71,72,Choornikkara,12443,20303,32746
72,73,Edakkattuvayal,6900,11258,18158
73,74,Edathala,16798,27406,44204
74,75,Edavanakkad,8279,13508,21787
75,76,Elamkunnapuzha,19271,31443,50714
76,77,Elanji,6268,10227,16495
77,78,Ezhikkara,6847,11172,18019
78,79,Kalady,10746,17533,28279
79,80,Kalloorkkad,5068,8269,13337
80,81,Karukutty,10685,17433,28118
81,82,Karumalloor,13710,22368,36078
82,83,Keerampara,4760,7765,12525
83,84,Kizhakkambalam,12678,20685,33363
84,85,Koovappady,13772,22469,36241
85,86,Kottappady,6803,11100,17903
86,87,Kottuvally,16284,26568,42852
87,88,Kumbalam,11093,18100,29193
88,89,Kumbalangy,10734,17514,28248
89,90,Kunnathunad,12733,20775,33508
90,91,Kunnukara,8271,13494,21765
91,92,Kuttampuzha,9291,15160,24451
92,93,Kuzhuppilly,4612,7525,12137
93,94,Malayattoor Neeleswaram,9684,15801,25485
94,95,Maneed,6452,10528,16980
95,96,Manjalloor,6597,10764,17361
96,97,Manjapra,6084,9927,16011
97,98,Marady,5906,9637,15543
98,99,Mazhuvannoor,12952,21131,34083
99,100,Mookkannur,7459,12169,19628
100,101,Mulavukad,9824,16028,25852
101,102,Mulumthuruthy,8297,13536,21833
102,103,Nayarambalam,9168,14959,24127
103,104,Nedumbassery,11896,19408,31304
104,105,Njarakkal,9029,14731,23760
105,106,Palakuzha,5097,8315,13412
106,107,Pallippuram,16736,27306,44042
107,108,Parakkadavu,11686,19066,30752
108,109,Pindimana,6277,10242,16519
109,110,Pothanikkad,3884,6337,10221
110,111,Puthenvelikara,10726,17501,28227
111,112,Ramamangalam,5643,9207,14850
112,113,Rayamangalam,13954,22768,36722
113,114,Thirumarady,6682,10903,17585
114,115,Thiruvaniyoor,9565,15606,25171
115,116,Thuravoor,8158,13310,21468
116,117,Vadakkekara,12443,20302,32745
117,118,Vadavucode Puthen Cruz,9466,15445,24911
118,119,Valakom,6957,11351,18308
119,120,Varappetty,7041,11488,18529
120,121,Varapuzha,10165,16585,26750
121,122,Vazhakkulam,15778,25743,41521
122,123,Vengola,19181,31295,50476
123,124,Vengoor,8336,13601,21937
124,125,Alakkode,4591,5177,9768
125,126,Arakulam,8686,9795,18481
126,127,Ayyapankovil,7337,8274,15611
127,128,Bisonvalley,6552,7389,13941
128,129,Chakkupallam,10310,11626,21936
129,130,Chinnakanal,5430,6123,11553
130,131,Edavetty,6702,7558,14260
131,132,Elappara,11123,12543,23666
132,133,Idukki Kanjikuzhy,12600,14209,26809
133,134,Kanthalloor,5153,5810,10963
134,135,Karimannoor,9247,10428,19675
135,136,Karimkunnam,5853,6601,12454
136,137,Karunapuram,12519,14118,26637
137,138,Kodikulam,6087,6865,12952
138,139,Kokkayar,5539,6247,11786
139,140,Konnathady,13673,15419,29092
140,141,Kudayathoor,5697,6425,12122
141,142,Kumaramangalam,6987,7878,14865
142,143,Kumily,16880,19035,35915
143,144,Manakkad,7100,8006,15106
144,145,Mankulam,4510,5085,9595
145,146,Marayoor,5828,6571,12399
146,147,Munnar,15054,16975,32029
147,148,Muttom,5127,5782,10909
148,149,Pallivasal,8011,9033,17044
149,150,Pampadumpara,9951,11221,21172
150,151,Peerumedu,10205,11507,21712
151,152,Peruvanthanam,7344,8282,15626
152,153,Purapuzha,5563,6273,11836
153,154,Rajakkad,7143,8055,15198
154,155,Rajakumari,7560,8526,16086
155,156,Santhanpara,7347,8285,15632
156,157,Udumbanchola,6608,7451,14059
157,158,Udumbanoor,11214,12645,23859
158,159,Upputhara,12331,13905,26236
159,160,Vandanmedu,14366,16201,30567
160,161,Vannappuram,13583,15317,28900
161,162,Vathikudy,13005,14665,27670
162,163,Vattavada,2678,3019,5697
163,164,Vellathooval,12079,13622,25701
164,165,Velliyamattom,10077,11363,21440
165,166,Alakode,11510,23368,34878
166,167,Ancharakandy,7600,15430,23030
167,168,Aralam,9678,19650,29328
168,169,Ayyankunnu,7404,15032,22436
169,170,Azhikode,15617,31706,47323
170,171,Chengalai,10084,20475,30559
171,172,Cherukunnu,5317,10794,16111
172,173,Cheruthazham,9685,19663,29348
173,174,Chirakkal,15048,30553,45601
174,175,Chokli,9377,19038,28415
175,176,Dharmadom,10165,20639,30804
176,177,Eramam Kuttoor,9184,18646,27830
177,178,Eranholi,8520,17298,25818
178,179,Eruvassey,6341,12875,19216
179,180,Ezhome,6356,12905,19261
180,181,Irikkur,4561,9259,13820
181,182,Kadannapally Panapuzha,7189,14596,21785
182,183,Kadirur,10259,20828,31087
183,184,Kalliasseri,10270,20852,31122
184,185,Kangole Alapadamba,5138,10432,15570
185,186,Kanichar,6377,12948,19325
186,187,Kannapuram,6091,12368,18459
187,188,Keezhallur,6847,13900,20747
188,189,Kelakom,6745,13695,20440
189,190,Kolacherry,9221,18722,27943
190,191,Kolayad,6531,13259,19790
191,192,Koodali,9979,20260,30239
192,193,Kottayam,6328,12848,19176
