,wardNo,wardName,Households
0,1,Ala,3646.0
1,2,Ambalapuzha North,6917.0
2,3,Ambalapuzha South,5681.0
3,4,Arattupuzha,7471.0
4,5,Arookutty,4414.0
5,6,Aroor,9928.0
6,7,Aryad,7991.0
7,8,Bharanikavu,9485.0
8,9,Budhanur,4860.0
9,10,Champakulam,3932.0
10,11,Chennithala Thriperumthura,7366.0
11,12,Cheppad,5344.0
12,13,Cheriyanad,5858.0
13,14,Cherthala south,9752.0
14,15,Cheruthana,3272.0
15,16,Chingoli,4052.0
16,17,Chunakkara,5998.0
17,18,Edathua,4836.0
18,19,Ezhupunna,5282.0
19,20,Kadakkarappally,4357.0
20,21,Kainakary,4553.0
21,22,Kandalloor,5387.0
22,23,Kanjikuzhi,7542.0
23,24,Karthikappally,4972.0
24,25,Karuvatta,5551.0
25,26,Kavalam,3371.0
26,27,Kodamthuruthu,6055.0
27,28,Krishnapuram,6834.0
28,29,Kumarapuram,5376.0
29,30,Kuthiathodu,5677.0
30,31,Mannanchery,12383.0
31,32,Mannar,7566.0
32,33,Mararikulam North,7747.0
33,34,Mavelikkara Thekkekara,8609.0
34,35,Muhamma,6446.0
35,36,Mulakuzha,7667.0
36,37,Muthukulam,5692.0
37,38,Muttar,2307.0
38,39,Nedumudi,4916.0
39,40,Neelamperoor,3260.0
40,41,Nooranad,6899.0
41,42,Palamel,8556.0
42,43,Pallippad,6424.0
43,44,Panavally,7528.0
44,45,Pandanad,3138.0
45,46,Pathiyoor,8910.0
46,47,Pattanakkad,8481.0
47,48,Perumbalam,2365.0
48,49,Pulinkunnu,5022.0
49,50,Puliyoor,4494.0
50,51,Purakkad,7219.0
51,52,Ramankari,3237.0
52,53,Thaicattussery,5152.0
53,54,Thakazhi,4648.0
54,55,Thalavadi,5227.0
55,56,Thazhakara,9696.0
56,57,Thiruvanvandur,3902.0
57,58,Thrikkunnapuzha,6523.0
58,59,Thuravoor,6966.0
59,60,Vallikunnam,7827.0
60,61,Veeyapuram,2932.0
61,62,Veliyanad,3041.0
62,63,Venmony,5569.0
63,64,Aikaranad,5327.0
64,65,Amballur,6311.0
65,66,Arakuzha,3711.0
66,67,Asamannoor,4714.0
67,68,Ayyampuzha,3639.0
68,69,Chellanam,8680.0
69,70,Chendamangalam,7635.0
70,71,Cheranallur,7619.0
71,72,Choornikkara,7918.0
72,73,Edakkattuvayal,4545.0
73,74,Edathala,10475.0
74,75,Edavanakkad,5293.0
75,76,Elamkunnapuzha,12231.0
76,77,Elanji,4038.0
77,78,Ezhikkara,4536.0
78,79,Kalady,7088.0
79,80,Kalloorkkad,3237.0
80,81,Karukutty,6968.0
81,82,Karumalloor,8661.0
82,83,Keerampara,3191.0
83,84,Kizhakkambalam,7909.0
84,85,Koovappady,9056.0
85,86,Kottappady,4416.0
86,87,Kottuvally,10652.0
87,88,Kumbalam,7214.0
88,89,Kumbalangy,6763.0
89,90,Kunnathunad,7943.0
90,91,Kunnukara,5419.0
91,92,Kuttampuzha,6366.0
92,93,Kuzhuppilly,3015.0
93,94,Malayattoor Neeleswaram,6460.0
94,95,Maneed,4210.0
95,96,Manjalloor,4201.0
96,97,Manjapra,4061.0
97,98,Marady,3857.0
98,99,Mazhuvannoor,8449.0
99,100,Mookkannur,4918.0
100,101,Mulavukad,6489.0
101,102,Mulumthuruthy,5315.0
102,103,Nayarambalam,5910.0
103,104,Nedumbassery,7956.0
104,105,Njarakkal,5848.0
105,106,Palakuzha,3401.0
106,107,Pallippuram,10838.0
107,108,Parakkadavu,7858.0
108,109,Pindimana,4217.0
109,110,Pothanikkad,2517.0
110,111,Puthenvelikara,7082.0
111,112,Ramamangalam,3835.0
112,113,Rayamangalam,9219.0
113,114,Thirumarady,4482.0
114,115,Thiruvaniyoor,6374.0
115,116,Thuravoor,5497.0
116,117,Vadakkekara,8266.0
117,118,Vadavucode Puthen Cruz,6301.0
118,119,Valakom,4573.0
119,120,Varappetty,4482.0
120,121,Varapuzha,6667.0
121,122,Vazhakkulam,9722.0
122,123,Vengola,12004.0
123,124,Vengoor,5607.0
124,125,Alakkode,2344.0
125,126,Arakulam,4776.0
126,127,Ayyapankovil,4046.0
127,128,Bisonvalley,3474.0
128,129,Chakkupallam,5642.0
129,130,Chinnakanal,3099.0
130,131,Edavetty,3516.0
131,132,Elappara,6108.0
132,133,Idukki Kanjikuzhy,6838.0
133,134,Kanthalloor,2923.0
134,135,Karimannoor,4764.0
135,136,Karimkunnam,3167.0
136,137,Karunapuram,6590.0
137,138,Kodikulam,3252.0
138,139,Kokkayar,2952.0
139,140,Konnathady,7398.0
140,141,Kudayathoor,2940.0
141,142,Kumaramangalam,3506.0
142,143,Kumily,8826.0
143,144,Manakkad,3764.0
144,145,Mankulam,2513.0
145,146,Marayoor,3307.0
146,147,Munnar,7968.0
147,148,Muttom,2659.0
148,149,Pallivasal,4269.0
149,150,Pampadumpara,5332.0
150,151,Peerumedu,5539.0
151,152,Peruvanthanam,3843.0
152,153,Purapuzha,2952.0
153,154,Rajakkad,3783.0
154,155,Rajakumari,4188.0
155,156,Santhanpara,4408.0
156,157,Udumbanchola,4118.0
157,158,Udumbanoor,5896.0
158,159,Upputhara,6842.0
159,160,Vandanmedu,8115.0
160,161,Vannappuram,7324.0
161,162,Vathikudy,6898.0
162,163,Vattavada,1561.0
163,164,Vellathooval,6437.0
164,165,Velliyamattom,5362.0
165,166,Alakode,8548.0
166,167,Ancharakandy,5245.0
167,168,Aralam,6904.0
168,169,Ayyankunnu,5387.0
169,170,Azhikode,10015.0
170,171,Chengalai,6719.0
171,172,Cherukunnu,3418.0
172,173,Cheruthazham,7074.0
173,174,Chirakkal,9599.0
174,175,Chokli,6031.0
175,176,Dharmadom,6751.0
176,177,Eramam Kuttoor,7011.0
177,178,Eranholi,6042.0
178,179,Eruvassey,4694.0
179,180,Ezhome,4297.0
180,181,Irikkur,2327.0
181,182,Kadannapally Panapuzha,5307.0
182,183,Kadirur,6817.0
