timestep,dead
0.0,0
0.25,0
0.5,0
0.75,0
1.0,0
1.25,0
1.5,0
1.75,0
2.0,0
2.25,0
2.5,0
2.75,0
3.0,0
3.25,0
3.5,0
3.75,0
4.0,0
4.25,0
4.5,0
4.75,0
5.0,0
5.25,0
5.5,0
5.75,0
6.0,0
6.25,0
6.5,0
6.75,0
7.0,0
7.25,0
7.5,0
7.75,0
8.0,0
8.25,0
8.5,0
8.75,0
9.0,0
9.25,0
9.5,0
9.75,0
10.0,0
10.25,0
10.5,0
10.75,0
11.0,0
11.25,0
11.5,0
11.75,0
12.0,0
12.25,0
12.5,0
12.75,0
13.0,0
13.25,0
13.5,0
13.75,0
14.0,0
14.25,0
14.5,0
14.75,0
15.0,0
15.25,0
15.5,0
15.75,0
16.0,0
16.25,0
16.5,0
16.75,0
17.0,0
17.25,0
17.5,0
17.75,0
18.0,0
18.25,0
18.5,0
18.75,0
19.0,0
19.25,0
19.5,0
19.75,0
20.0,0
20.25,0
20.5,0
20.75,0
21.0,0
21.25,0
21.5,0
21.75,0
22.0,0
22.25,0
22.5,0
22.75,0
23.0,0
23.25,0
23.5,0
23.75,0
24.0,0
24.25,0
24.5,0
24.75,0
25.0,0
25.25,0
25.5,0
25.75,0
26.0,0
26.25,0
26.5,0
26.75,0
27.0,0
27.25,0
27.5,0
27.75,0
28.0,0
28.25,0
28.5,0
28.75,0
29.0,0
29.25,0
29.5,0
29.75,0
30.0,0
30.25,0
30.5,0
30.75,0
31.0,0
31.25,0
31.5,0
31.75,0
32.0,0
32.25,0
32.5,0
32.75,0
33.0,0
33.25,0
33.5,0
33.75,0
34.0,0
34.25,0
34.5,0
34.75,1
35.0,1
35.25,1
35.5,1
35.75,1
36.0,1
36.25,1
36.5,1
36.75,1
37.0,1
37.25,1
37.5,1
37.75,1
38.0,1
38.25,1
38.5,2
38.75,2
39.0,2
39.25,2
39.5,2
39.75,3
40.0,3
40.25,4
40.5,4
40.75,5
41.0,5
41.25,5
41.5,5
41.75,5
42.0,5
42.25,5
42.5,5
42.75,5
43.0,5
43.25,5
43.5,5
43.75,5
44.0,6
44.25,6
44.5,6
44.75,6
45.0,6
45.25,6
45.5,6
45.75,6
46.0,6
46.25,6
46.5,8
46.75,9
47.0,9
47.25,9
47.5,9
47.75,10
48.0,10
48.25,11
48.5,12
48.75,12
49.0,12
49.25,13
49.5,17
49.75,17
50.0,17
50.25,19
50.5,20
50.75,20
51.0,21
51.25,22
51.5,22
51.75,23
52.0,24
52.25,25
52.5,27
52.75,30
53.0,33
53.25,34
53.5,36
53.75,37
54.0,39
54.25,39
54.5,41
54.75,42
55.0,45
55.25,47
55.5,50
55.75,51
56.0,55
56.25,60
56.5,60
56.75,62
57.0,65
57.25,69
57.5,73
57.75,75
58.0,81
58.25,84
58.5,86
58.75,87
59.0,93
59.25,96
59.5,98
59.75,102
60.0,106
60.25,109
60.5,111
60.75,113
61.0,119
61.25,124
61.5,131
61.75,138
62.0,145
62.25,148
62.5,159
62.75,161
63.0,169
63.25,173
63.5,181
63.75,188
64.0,194
64.25,200
64.5,205
64.75,212
65.0,221
65.25,235
65.5,244
65.75,258
66.0,269
66.25,279
66.5,283
66.75,293
67.0,301
67.25,312
67.5,328
67.75,334
68.0,345
68.25,360
68.5,369
68.75,377
69.0,391
69.25,404
69.5,418
69.75,435
70.0,453
70.25,478
70.5,492
70.75,510
71.0,529
71.25,546
71.5,557
71.75,576
72.0,599
72.25,610
72.5,626
72.75,647
73.0,661
73.25,681
73.5,706
73.75,726
74.0,743
74.25,758
74.5,786
74.75,809
75.0,828
75.25,844
75.5,869
75.75,899
76.0,926
76.25,953
76.5,981
76.75,1003
77.0,1037
77.25,1059
77.5,1088
77.75,1116
78.0,1136
78.25,1164
78.5,1180
78.75,1208
79.0,1239
79.25,1260
79.5,1290
79.75,1314
80.0,1340
80.25,1366
80.5,1394
80.75,1434
81.0,1453
81.25,1482
81.5,1508
81.75,1535
82.0,1567
82.25,1601
82.5,1634
82.75,1657
83.0,1693
83.25,1725
83.5,1758
83.75,1786
84.0,1816
84.25,1844
84.5,1866
84.75,1894
85.0,1931
85.25,1965
85.5,1998
85.75,2027
86.0,2049
86.25,2082
86.5,2111
86.75,2137
87.0,2165
87.25,2183
87.5,2211
87.75,2249
88.0,2274
88.25,2295
88.5,2320
88.75,2347
89.0,2368
89.25,2394
89.5,2421
89.75,2448
90.0,2471
90.25,2502
90.5,2522
90.75,2550
91.0,2571
91.25,2596
91.5,2616
91.75,2642
92.0,2666
92.25,2690
92.5,2708
92.75,2725
93.0,2746
93.25,2770
93.5,2787
93.75,2807
94.0,2824
94.25,2837
94.5,2849
94.75,2866
95.0,2877
95.25,2896
95.5,2926
95.75,2938
96.0,2947
96.25,2965
96.5,2986
96.75,3001
97.0,3008
97.25,3032
97.5,3045
97.75,3060
98.0,3072
98.25,3091
98.5,3103
98.75,3116
99.0,3135
99.25,3151
99.5,3158
99.75,3175
100.0,3182
100.25,3192
100.5,3200
100.75,3208
101.0,3220
101.25,3229
101.5,3238
101.75,3246
102.0,3252
102.25,3257
102.5,3269
102.75,3274
103.0,3282
103.25,3287
103.5,3292
103.75,3302
104.0,3310
104.25,3318
104.5,3322
104.75,3332
105.0,3339
105.25,3343
105.5,3351
105.75,3355
106.0,3358
106.25,3368
106.5,3372
106.75,3381
107.0,3388
107.25,3391
107.5,3392
107.75,3397
108.0,3401
108.25,3409
108.5,3416
108.75,3424
109.0,3431
109.25,3438
109.5,3439
109.75,3445
110.0,3449
110.25,3457
110.5,3460
110.75,3462
111.0,3465
111.25,3466
111.5,3468
111.75,3469
112.0,3472
112.25,3474
112.5,3476
112.75,3479
113.0,3484
113.25,3485
113.5,3491
113.75,3492
114.0,3494
114.25,3497
114.5,3500
114.75,3501
115.0,3503
115.25,3503
115.5,3506
115.75,3507
116.0,3509
116.25,3510
116.5,3511
116.75,3513
117.0,3514
117.25,3514
117.5,3515
117.75,3518
118.0,3520
118.25,3521
118.5,3521
118.75,3522
119.0,3523
119.25,3523
119.5,3523
119.75,3524
