timestep,lambda C
0.0,0.0
0.25,0.0
0.5,0.0
0.75,3.77461e-05
1.0,0.363666
1.25,0.333365
1.5,0.36845500000000003
1.75,0.333417
2.0,0.36849
2.25,0.372159
2.5,0.40431500000000004
2.75,0.370805
3.0,0.36106
3.25,0.321187
3.5,0.309653
3.75,0.293562
4.0,0.28103
4.25,0.271192
4.5,0.27318600000000004
4.75,0.284972
5.0,0.283331
5.25,0.293743
5.5,0.276397
5.75,0.27672399999999997
6.0,0.276567
6.25,0.276567
6.5,0.266491
6.75,0.274721
7.0,0.2846
7.25,0.287663
7.5,0.28937199999999996
7.75,0.287067
8.0,0.28579099999999996
8.25,0.273988
8.5,0.27466999999999997
8.75,0.263443
9.0,0.27621999999999997
9.25,0.281326
9.5,0.284109
9.75,0.28129299999999996
10.0,0.284027
10.25,0.289569
10.5,0.288623
10.75,0.29790500000000003
11.0,0.29132399999999997
11.25,0.288026
11.5,0.28214
11.75,0.278152
12.0,0.283029
12.25,0.28318899999999997
12.5,0.28615999999999997
12.75,0.283565
13.0,0.284543
13.25,0.282384
13.5,0.28294
13.75,0.284084
14.0,0.287558
14.25,0.285346
14.5,0.285236
14.75,0.28413299999999997
15.0,0.281389
15.25,0.284004
15.5,0.28833200000000003
15.75,0.292032
16.0,0.293555
16.25,0.29335
16.5,0.29344000000000003
16.75,0.29649699999999996
17.0,0.297973
17.25,0.298644
17.5,0.295929
17.75,0.295414
18.0,0.294561
18.25,0.295795
18.5,0.294824
18.75,0.2966
19.0,0.297572
19.25,0.297639
19.5,0.297027
19.75,0.29596999999999996
20.0,0.296005
20.25,0.294662
20.5,0.292398
20.75,0.289005
21.0,0.28929499999999997
21.25,0.290052
21.5,0.290509
21.75,0.287723
22.0,0.287352
22.25,0.28686
22.5,0.285465
22.75,0.28572600000000004
23.0,0.286198
23.25,0.286234
23.5,0.28594400000000003
23.75,0.28472600000000003
24.0,0.285817
24.25,0.28517800000000004
24.5,0.28416199999999997
24.75,0.283355
25.0,0.282141
25.25,0.281411
25.5,0.282478
25.75,0.28308
26.0,0.283754
26.25,0.284169
26.5,0.284312
26.75,0.284779
27.0,0.286016
27.25,0.286483
27.5,0.28570999999999996
27.75,0.286508
28.0,0.286184
28.25,0.285586
28.5,0.28588600000000003
28.75,0.286011
29.0,0.28647100000000003
29.25,0.28626399999999996
29.5,0.286302
29.75,0.28765100000000005
30.0,0.287945
30.25,0.287671
30.5,0.289004
30.75,0.289611
31.0,0.290124
31.25,0.289188
31.5,0.29085700000000003
31.75,0.290312
32.0,0.291029
32.25,0.291779
32.5,0.292364
32.75,0.293162
33.0,0.293632
33.25,0.294508
33.5,0.294431
33.75,0.29528499999999996
34.0,0.295317
34.25,0.296123
34.5,0.296273
34.75,0.296232
35.0,0.29617
35.25,0.297153
35.5,0.297099
35.75,0.297299
36.0,0.297293
36.25,0.29773099999999997
36.5,0.297763
36.75,0.29839099999999996
37.0,0.298788
37.25,0.29939899999999997
37.5,0.299865
37.75,0.299793
38.0,0.29985700000000004
38.25,0.299821
38.5,0.299865
38.75,0.299747
39.0,0.29975100000000005
39.25,0.300078
39.5,0.299779
39.75,0.30023
40.0,0.300021
40.25,0.29985
40.5,0.299672
40.75,0.299317
41.0,0.299217
41.25,0.298958
41.5,0.299237
41.75,0.29959
42.0,0.299693
42.25,0.300198
42.5,0.300571
42.75,0.30057
43.0,0.300585
43.25,0.301117
43.5,0.301269
43.75,0.301716
44.0,0.301887
44.25,0.30191599999999996
44.5,0.30195
44.75,0.302227
45.0,0.302232
45.25,0.302185
45.5,0.302204
45.75,0.302802
46.0,0.302786
46.25,0.302793
46.5,0.302979
46.75,0.303245
47.0,0.30345300000000003
47.25,0.30388200000000004
47.5,0.304111
47.75,0.304261
48.0,0.304526
48.25,0.304886
48.5,0.305117
48.75,0.305235
49.0,0.30547399999999997
49.25,0.305633
49.5,0.305897
49.75,0.305791
50.0,0.30606
50.25,0.306425
50.5,0.30672
50.75,0.306973
51.0,0.307132
51.25,0.307295
51.5,0.307672
51.75,0.307778
52.0,0.307857
52.25,0.308152
52.5,0.30843000000000004
52.75,0.30854699999999996
53.0,0.30882600000000004
53.25,0.309075
53.5,0.309396
53.75,0.309668
54.0,0.309931
54.25,0.310222
54.5,0.310461
54.75,0.310719
55.0,0.31102199999999997
55.25,0.311316
55.5,0.311626
55.75,0.312008
56.0,0.312345
56.25,0.312685
56.5,0.312863
56.75,0.313257
57.0,0.313533
57.25,0.31387600000000004
57.5,0.314242
57.75,0.31449
58.0,0.314854
58.25,0.31511500000000003
58.5,0.31542
58.75,0.315735
59.0,0.31605900000000003
59.25,0.31632
59.5,0.316644
59.75,0.316992
60.0,0.317344
60.25,0.317633
60.5,0.31799299999999997
60.75,0.318293
61.0,0.318576
61.25,0.318879
61.5,0.319189
61.75,0.319562
62.0,0.319853
62.25,0.32014699999999996
62.5,0.32045999999999997
62.75,0.320768
63.0,0.321092
63.25,0.321347
63.5,0.321627
63.75,0.321992
64.0,0.322292
64.25,0.322562
64.5,0.322851
64.75,0.323158
65.0,0.323446
65.25,0.323843
65.5,0.324179
65.75,0.324469
66.0,0.324781
66.25,0.32511100000000004
66.5,0.325412
66.75,0.325665
67.0,0.325918
67.25,0.326171
67.5,0.326427
67.75,0.326709
68.0,0.32695
68.25,0.327203
68.5,0.327418
68.75,0.327617
69.0,0.327816
69.25,0.328038
69.5,0.328264
69.75,0.328493
70.0,0.328698
70.25,0.328913
70.5,0.329119
70.75,0.329305
71.0,0.329505
71.25,0.329675
71.5,0.329813
71.75,0.329984
72.0,0.33014899999999997
72.25,0.330344
72.5,0.330521
72.75,0.33067199999999997
73.0,0.330818
73.25,0.330977
73.5,0.331108
73.75,0.331278
74.0,0.331405
74.25,0.33155
74.5,0.331703
74.75,0.331823
75.0,0.331933
75.25,0.33205
75.5,0.332124
75.75,0.332264
76.0,0.332377
76.25,0.332485
76.5,0.33258699999999997
76.75,0.33269
77.0,0.332785
77.25,0.33291
77.5,0.333019
77.75,0.333115
78.0,0.333189
78.25,0.333281
78.5,0.333365
78.75,0.333433
79.0,0.333486
79.25,0.333541
79.5,0.33360100000000004
79.75,0.333679
80.0,0.33374299999999996
80.25,0.333805
80.5,0.333885
80.75,0.333962
81.0,0.334018
81.25,0.33406199999999997
81.5,0.33410700000000004
81.75,0.334161
82.0,0.334202
82.25,0.334254
82.5,0.33431
82.75,0.334358
83.0,0.334405
83.25,0.334435
83.5,0.334483
83.75,0.33453099999999997
84.0,0.334579
84.25,0.334623
84.5,0.334661
84.75,0.33469099999999996
85.0,0.334729
85.25,0.334777
85.5,0.334827
85.75,0.334851
86.0,0.334881
86.25,0.33491
86.5,0.334943
86.75,0.334978
87.0,0.335003
87.25,0.33503099999999997
87.5,0.33505799999999997
87.75,0.33508499999999997
88.0,0.33510700000000004
88.25,0.335129
88.5,0.335146
88.75,0.335175
89.0,0.33519499999999997
89.25,0.33520900000000003
89.5,0.335231
89.75,0.335258
90.0,0.335275
90.25,0.33529699999999996
90.5,0.335309
90.75,0.335331
91.0,0.33534400000000003
91.25,0.335361
91.5,0.33538
91.75,0.335394
92.0,0.335404
92.25,0.33542
92.5,0.335431
92.75,0.335441
93.0,0.335459
93.25,0.335471
93.5,0.335484
93.75,0.335492
94.0,0.335499
94.25,0.33550599999999997
94.5,0.335516
94.75,0.33552
95.0,0.33553099999999997
95.25,0.335537
95.5,0.335547
95.75,0.33555300000000005
96.0,0.335561
96.25,0.335569
96.5,0.335581
96.75,0.335592
97.0,0.3356
97.25,0.335607
97.5,0.335613
97.75,0.33563000000000004
98.0,0.335635
98.25,0.33563899999999997
98.5,0.335644
98.75,0.335647
99.0,0.335656
99.25,0.335661
99.5,0.33566799999999997
99.75,0.335677
100.0,0.33568200000000004
100.25,0.335694
100.5,0.3357
100.75,0.335704
101.0,0.33570500000000003
101.25,0.33571
101.5,0.33571100000000004
101.75,0.335713
102.0,0.335714
102.25,0.33571799999999996
102.5,0.335719
102.75,0.33572199999999996
103.0,0.33572399999999997
103.25,0.335727
103.5,0.335727
103.75,0.33573200000000003
104.0,0.335733
104.25,0.33573400000000003
104.5,0.335735
104.75,0.335739
105.0,0.33574299999999996
105.25,0.33574499999999996
105.5,0.33574699999999996
105.75,0.33575
106.0,0.335751
106.25,0.335751
106.5,0.335755
106.75,0.33575900000000003
107.0,0.33575900000000003
107.25,0.335762
107.5,0.335764
107.75,0.33576500000000004
108.0,0.335767
108.25,0.335771
108.5,0.335771
108.75,0.33576999999999996
109.0,0.33576999999999996
109.25,0.335773
109.5,0.335776
109.75,0.335778
110.0,0.33578
110.25,0.33578
110.5,0.335779
110.75,0.335781
111.0,0.335782
111.25,0.335783
111.5,0.335785
111.75,0.33578600000000003
112.0,0.33578800000000003
112.25,0.33578800000000003
112.5,0.33579000000000003
112.75,0.335791
113.0,0.335791
113.25,0.33579200000000003
113.5,0.335794
113.75,0.33579499999999995
114.0,0.335796
114.25,0.33579699999999996
114.5,0.33579899999999996
114.75,0.335801
115.0,0.335801
115.25,0.3358
115.5,0.3358
115.75,0.3358
116.0,0.335801
116.25,0.335801
116.5,0.335802
116.75,0.335801
117.0,0.335803
117.25,0.335803
117.5,0.335803
117.75,0.335803
118.0,0.335804
118.25,0.335804
118.5,0.335804
118.75,0.335805
119.0,0.335806
119.25,0.335806
119.5,0.335807
119.75,0.335808
