timestep,lambda H
0.0,0.0
0.25,0.0
0.5,0.0
0.75,0.9999620000000001
1.0,0.636178
1.25,0.666521
1.5,0.631455
1.75,0.533249
2.0,0.49993000000000004
2.25,0.511562
2.5,0.468025
2.75,0.462905
3.0,0.458963
3.25,0.44867299999999993
3.5,0.425309
3.75,0.405461
4.0,0.407828
4.25,0.408588
4.5,0.394398
4.75,0.38256799999999996
5.0,0.393974
5.25,0.397649
5.5,0.408028
5.75,0.408735
6.0,0.406413
6.25,0.406413
6.5,0.41479799999999994
6.75,0.406715
7.0,0.399876
7.25,0.39847899999999997
7.5,0.387703
7.75,0.38543099999999997
8.0,0.384506
8.25,0.380469
8.5,0.370542
8.75,0.36954499999999996
9.0,0.361989
9.25,0.353351
9.5,0.356004
9.75,0.352285
10.0,0.345569
10.25,0.333364
10.5,0.325905
10.75,0.311879
11.0,0.308298
11.25,0.30787
11.5,0.31045500000000004
11.75,0.312335
12.0,0.3037
12.25,0.300856
12.5,0.296877
12.75,0.296532
13.0,0.29591799999999996
13.25,0.29644699999999996
13.5,0.29943000000000003
13.75,0.298976
14.0,0.296299
14.25,0.300582
14.5,0.30232600000000004
14.75,0.306001
15.0,0.308865
15.25,0.307157
15.5,0.30632
15.75,0.30794299999999997
16.0,0.307293
16.25,0.308913
16.5,0.314635
16.75,0.314733
17.0,0.31582899999999997
17.25,0.315286
17.5,0.313151
17.75,0.31219600000000003
18.0,0.311337
18.25,0.312731
18.5,0.31268
18.75,0.312164
19.0,0.31105
19.25,0.310533
19.5,0.313892
19.75,0.31626
20.0,0.31509899999999996
20.25,0.31661100000000003
20.5,0.31574800000000003
20.75,0.314706
21.0,0.31352199999999997
21.25,0.311714
21.5,0.31059699999999996
21.75,0.312746
22.0,0.314246
22.25,0.31578
22.5,0.31664200000000003
22.75,0.31698200000000004
23.0,0.318974
23.25,0.318208
23.5,0.32005300000000003
23.75,0.32050100000000004
24.0,0.321694
24.25,0.321675
24.5,0.32206599999999996
24.75,0.323302
25.0,0.3254
25.25,0.324386
25.5,0.325364
25.75,0.325364
26.0,0.32509699999999997
26.25,0.32448499999999997
26.5,0.324235
26.75,0.32422
27.0,0.324325
27.25,0.32508000000000004
27.5,0.324794
27.75,0.324849
28.0,0.325337
28.25,0.32648299999999997
28.5,0.326398
28.75,0.32576900000000003
29.0,0.326156
29.25,0.325773
29.5,0.325651
29.75,0.324706
30.0,0.324306
30.25,0.32395100000000004
30.5,0.323575
30.75,0.323302
31.0,0.322437
31.25,0.322061
31.5,0.321351
31.75,0.320461
32.0,0.321148
32.25,0.320378
32.5,0.320427
32.75,0.320452
33.0,0.318321
33.25,0.318175
33.5,0.318585
33.75,0.318525
34.0,0.319164
34.25,0.31998000000000004
34.5,0.32021900000000003
34.75,0.31948699999999997
35.0,0.318826
35.25,0.318411
35.5,0.317959
35.75,0.318038
36.0,0.318339
36.25,0.31845999999999997
36.5,0.31912399999999996
36.75,0.31948899999999997
37.0,0.31907199999999997
37.25,0.319021
37.5,0.318563
37.75,0.31860900000000003
38.0,0.31847800000000004
38.25,0.318112
38.5,0.318221
38.75,0.31835399999999997
39.0,0.31764499999999996
39.25,0.31772399999999995
39.5,0.317533
39.75,0.317193
40.0,0.317596
40.25,0.31785599999999997
40.5,0.31800100000000003
40.75,0.317683
41.0,0.317779
41.25,0.317819
41.5,0.317693
41.75,0.317371
42.0,0.317173
42.25,0.317114
42.5,0.317257
42.75,0.317413
43.0,0.317425
43.25,0.317314
43.5,0.317104
43.75,0.31661999999999996
44.0,0.316915
44.25,0.317012
44.5,0.316904
44.75,0.316774
45.0,0.31678
45.25,0.316525
45.5,0.31655500000000003
45.75,0.316287
46.0,0.31655900000000003
46.25,0.316535
46.5,0.316712
46.75,0.316794
47.0,0.31700900000000004
47.25,0.317075
47.5,0.317098
47.75,0.317062
48.0,0.317325
48.25,0.317513
48.5,0.317738
48.75,0.317795
49.0,0.317843
49.25,0.317981
49.5,0.31811500000000004
49.75,0.318564
50.0,0.318812
50.25,0.319021
50.5,0.319171
50.75,0.319388
51.0,0.31983
51.25,0.32003000000000004
51.5,0.32016500000000003
51.75,0.32040100000000005
52.0,0.320942
52.25,0.321195
52.5,0.321319
52.75,0.321641
53.0,0.32192
53.25,0.322256
53.5,0.32244
53.75,0.322662
54.0,0.32290100000000005
54.25,0.32315900000000003
54.5,0.323408
54.75,0.323733
55.0,0.323995
55.25,0.324184
55.5,0.324421
55.75,0.324579
56.0,0.324849
56.25,0.32514699999999996
56.5,0.325392
56.75,0.325567
57.0,0.325898
57.25,0.32615500000000003
57.5,0.326393
57.75,0.326648
58.0,0.326862
58.25,0.327332
58.5,0.32760500000000004
58.75,0.32795
59.0,0.32821100000000003
59.25,0.32847800000000005
59.5,0.32871
59.75,0.32903699999999997
60.0,0.32919499999999996
60.25,0.32953499999999997
60.5,0.32982100000000003
60.75,0.330097
61.0,0.330392
61.25,0.33071500000000004
61.5,0.330891
61.75,0.331058
62.0,0.331347
62.25,0.33166599999999996
62.5,0.33189
62.75,0.33214099999999996
63.0,0.332336
63.25,0.33262600000000003
63.5,0.332852
63.75,0.33305300000000004
64.0,0.333267
64.25,0.333469
64.5,0.333687
64.75,0.333934
65.0,0.334149
65.25,0.334258
65.5,0.334406
65.75,0.33461599999999997
66.0,0.334756
66.25,0.334951
66.5,0.335106
66.75,0.33526
67.0,0.335461
67.25,0.335638
67.5,0.335766
67.75,0.335909
68.0,0.336061
68.25,0.336158
68.5,0.33632399999999996
68.75,0.336475
69.0,0.336624
69.25,0.336775
69.5,0.336906
69.75,0.337014
70.0,0.337138
70.25,0.33725700000000003
70.5,0.337354
70.75,0.337433
71.0,0.337499
71.25,0.337584
71.5,0.3377
71.75,0.337809
72.0,0.337912
72.25,0.33798
72.5,0.338042
72.75,0.33813699999999997
73.0,0.338221
73.25,0.338281
73.5,0.338375
73.75,0.338437
74.0,0.338514
74.25,0.338565
74.5,0.338602
74.75,0.33866199999999996
75.0,0.33871599999999996
75.25,0.33879499999999996
75.5,0.33889
75.75,0.338933
76.0,0.338972
76.25,0.339027
76.5,0.339079
76.75,0.339111
77.0,0.339143
77.25,0.339161
77.5,0.339174
77.75,0.339199
78.0,0.33924
78.25,0.33926300000000004
78.5,0.33928
78.75,0.339329
79.0,0.339362
79.25,0.339417
79.5,0.339459
79.75,0.33948
80.0,0.339517
80.25,0.339545
80.5,0.339552
80.75,0.339567
81.0,0.33958699999999997
81.25,0.339616
81.5,0.339646
81.75,0.33966799999999997
82.0,0.339692
82.25,0.33970700000000004
82.5,0.33972800000000003
82.75,0.339731
83.0,0.339746
83.25,0.33977199999999996
83.5,0.339789
83.75,0.33981
84.0,0.339821
84.25,0.339827
84.5,0.339831
84.75,0.339848
85.0,0.339855
85.25,0.339857
85.5,0.339858
85.75,0.339872
86.0,0.339888
86.25,0.339893
86.5,0.33989899999999995
86.75,0.339908
87.0,0.339916
87.25,0.339926
87.5,0.339928
87.75,0.33993
88.0,0.339936
88.25,0.339937
88.5,0.339947
88.75,0.339947
89.0,0.339954
89.25,0.339965
89.5,0.339968
89.75,0.339971
90.0,0.339976
90.25,0.339977
90.5,0.339989
90.75,0.33999
91.0,0.339994
91.25,0.339996
91.5,0.339994
91.75,0.34000199999999997
92.0,0.340008
92.25,0.340007
92.5,0.340013
92.75,0.340018
93.0,0.340017
93.25,0.340019
93.5,0.340022
93.75,0.34003099999999997
94.0,0.340038
94.25,0.340045
94.5,0.340045
94.75,0.34005599999999997
95.0,0.34005599999999997
95.25,0.340059
95.5,0.34005799999999997
95.75,0.340064
96.0,0.340062
96.25,0.340065
96.5,0.340061
96.75,0.340061
97.0,0.34006
97.25,0.34006
97.5,0.340063
97.75,0.340059
98.0,0.340061
98.25,0.340065
98.5,0.340067
98.75,0.34007
99.0,0.340067
99.25,0.340067
99.5,0.340068
99.75,0.340071
100.0,0.340074
100.25,0.340072
100.5,0.340072
100.75,0.34007600000000004
101.0,0.340079
101.25,0.34007800000000005
101.5,0.340077
101.75,0.34008
102.0,0.34008499999999997
102.25,0.34008499999999997
102.5,0.340088
102.75,0.340089
103.0,0.340088
103.25,0.34009
103.5,0.340092
103.75,0.340092
104.0,0.340094
104.25,0.340095
104.5,0.340096
104.75,0.340096
105.0,0.340097
105.25,0.340096
105.5,0.340096
105.75,0.340094
106.0,0.340095
106.25,0.340097
106.5,0.340096
106.75,0.340096
107.0,0.340096
107.25,0.340097
107.5,0.340096
107.75,0.340096
108.0,0.340095
108.25,0.340093
108.5,0.340093
108.75,0.340097
109.0,0.340096
109.25,0.340096
109.5,0.340095
109.75,0.340094
110.0,0.340093
110.25,0.340093
110.5,0.340096
110.75,0.340096
111.0,0.340095
111.25,0.340095
111.5,0.340095
111.75,0.340094
112.0,0.340093
112.25,0.340093
112.5,0.340092
112.75,0.340092
113.0,0.340092
113.25,0.340092
113.5,0.340091
113.75,0.34009
114.0,0.340091
114.25,0.340091
114.5,0.34009
114.75,0.340089
115.0,0.34009
115.25,0.340092
115.5,0.340093
115.75,0.340094
116.0,0.340094
116.25,0.340094
116.5,0.340094
116.75,0.340095
117.0,0.340095
117.25,0.340095
117.5,0.340095
117.75,0.340095
118.0,0.340096
118.25,0.340096
118.5,0.340095
118.75,0.340095
119.0,0.340095
119.25,0.340097
119.5,0.340096
119.75,0.340096
