timestep,lambda W
0.0,0.0
0.25,0.0
0.5,0.0
0.75,0.0
1.0,0.000156017
1.25,0.00011441299999999999
1.5,9.03259e-05
1.75,0.13333399999999998
2.0,0.13158
2.25,0.11628
2.5,0.12766
2.75,0.16629000000000002
3.0,0.179977
3.25,0.23013899999999998
3.5,0.265038
3.75,0.300976
4.0,0.31114200000000003
4.25,0.32022
4.5,0.332416
4.75,0.33246
5.0,0.322696
5.25,0.308608
5.5,0.315575
5.75,0.31454099999999996
6.0,0.31701999999999997
6.25,0.31701999999999997
6.5,0.318711
6.75,0.318564
7.0,0.315525
7.25,0.313857
7.5,0.322924
7.75,0.327502
8.0,0.329702
8.25,0.345543
8.5,0.354788
8.75,0.367012
9.0,0.361792
9.25,0.365324
9.5,0.359887
9.75,0.36642199999999997
10.0,0.370404
10.25,0.377067
10.5,0.385472
10.75,0.390216
11.0,0.400378
11.25,0.404104
11.5,0.407405
11.75,0.409513
12.0,0.41327200000000003
12.25,0.415954
12.5,0.416962
12.75,0.41990299999999997
13.0,0.41953999999999997
13.25,0.42116899999999996
13.5,0.41763
13.75,0.41693900000000006
14.0,0.41614300000000004
14.25,0.41407299999999997
14.5,0.41243900000000006
14.75,0.409866
15.0,0.409746
15.25,0.408839
15.5,0.405348
15.75,0.40002600000000005
16.0,0.399152
16.25,0.39773800000000004
16.5,0.391925
16.75,0.38877
17.0,0.38619699999999996
17.25,0.38606999999999997
17.5,0.39092
17.75,0.392391
18.0,0.39410100000000003
18.25,0.391475
18.5,0.392496
18.75,0.39123600000000003
19.0,0.391378
19.25,0.391828
19.5,0.38908000000000004
19.75,0.38777
20.0,0.388896
20.25,0.388727
20.5,0.391854
20.75,0.396289
21.0,0.397183
21.25,0.39823400000000003
21.5,0.398894
21.75,0.39953099999999997
22.0,0.398402
22.25,0.39736
22.5,0.397894
22.75,0.397293
23.0,0.394827
23.25,0.39555799999999997
23.5,0.39400300000000005
23.75,0.394773
24.0,0.392489
24.25,0.39314699999999997
24.5,0.39377199999999996
24.75,0.393343
25.0,0.392458
25.25,0.394204
25.5,0.39215700000000003
25.75,0.391556
26.0,0.39114899999999997
26.25,0.391346
26.5,0.391453
26.75,0.39100100000000004
27.0,0.38966
27.25,0.388436
27.5,0.389496
27.75,0.38864299999999996
28.0,0.388479
28.25,0.38793099999999997
28.5,0.38771500000000003
28.75,0.388219
29.0,0.387373
29.25,0.387963
29.5,0.388046
29.75,0.38764299999999996
30.0,0.38774899999999995
30.25,0.388379
30.5,0.387421
30.75,0.387087
31.0,0.387438
31.25,0.388751
31.5,0.387792
31.75,0.389226
32.0,0.387822
32.25,0.387843
32.5,0.387208
32.75,0.386385
33.0,0.388048
33.25,0.387317
33.5,0.386984
33.75,0.38619000000000003
34.0,0.38552
34.25,0.383897
34.5,0.383508
34.75,0.384281
35.0,0.38500500000000004
35.25,0.384436
35.5,0.384942
35.75,0.38466300000000003
36.0,0.384368
36.25,0.383809
36.5,0.383112
36.75,0.38211999999999996
37.0,0.38214000000000004
37.25,0.38158000000000003
37.5,0.38157199999999997
37.75,0.381598
38.0,0.381666
38.25,0.382067
38.5,0.381914
38.75,0.381899
39.0,0.382604
39.25,0.382198
39.5,0.38268800000000003
39.75,0.382577
40.0,0.382383
40.25,0.382294
40.5,0.382327
40.75,0.38300100000000004
41.0,0.38300300000000004
41.25,0.383223
41.5,0.38306999999999997
41.75,0.38303899999999996
42.0,0.38313400000000003
42.25,0.38268800000000003
42.5,0.38217199999999996
42.75,0.382017
43.0,0.38199099999999997
43.25,0.381569
43.5,0.381627
43.75,0.381664
44.0,0.381198
44.25,0.38107199999999997
44.5,0.381146
44.75,0.380999
45.0,0.38098699999999996
45.25,0.38129
45.5,0.381241
45.75,0.380911
46.0,0.380655
46.25,0.38067199999999995
46.5,0.380309
46.75,0.379961
47.0,0.379538
47.25,0.379044
47.5,0.378791
47.75,0.378677
48.0,0.37814899999999996
48.25,0.377601
48.5,0.377145
48.75,0.376969
49.0,0.376683
49.25,0.376386
49.5,0.375988
49.75,0.375644
50.0,0.375127
50.25,0.374554
50.5,0.374109
50.75,0.373638
51.0,0.37303800000000004
51.25,0.372674
51.5,0.372163
51.75,0.37182
52.0,0.3712
52.25,0.370653
52.5,0.370251
52.75,0.369813
53.0,0.36925399999999997
53.25,0.368669
53.5,0.368164
53.75,0.367669
54.0,0.367168
54.25,0.36661900000000003
54.5,0.366131
54.75,0.36554699999999996
55.0,0.364983
55.25,0.3645
55.5,0.363953
55.75,0.363413
56.0,0.362806
56.25,0.362168
56.5,0.361745
56.75,0.361177
57.0,0.36057
57.25,0.359969
57.5,0.35936399999999996
57.75,0.358863
58.0,0.358284
58.25,0.357553
58.5,0.356975
58.75,0.356315
59.0,0.35573
59.25,0.35520100000000004
59.5,0.354646
59.75,0.35397199999999995
60.0,0.353461
60.25,0.352833
60.5,0.352186
60.75,0.351611
61.0,0.351032
61.25,0.350405
61.5,0.34992
61.75,0.34938
62.0,0.34879899999999997
62.25,0.348186
62.5,0.34765
62.75,0.347091
63.0,0.346572
63.25,0.346026
63.5,0.345521
63.75,0.344955
64.0,0.344442
64.25,0.343969
64.5,0.343462
64.75,0.342908
65.0,0.342405
65.25,0.34189899999999995
65.5,0.341415
65.75,0.340915
66.0,0.340463
66.25,0.339937
66.5,0.339483
66.75,0.339074
67.0,0.338621
67.25,0.33819
67.5,0.337808
67.75,0.337382
68.0,0.336989
68.25,0.33663899999999997
68.5,0.336258
68.75,0.335908
69.0,0.33555999999999997
69.25,0.33518600000000004
69.5,0.33483
69.75,0.334494
70.0,0.334165
70.25,0.33383
70.5,0.333527
70.75,0.333262
71.0,0.332995
71.25,0.332741
71.5,0.332487
71.75,0.332206
72.0,0.331939
72.25,0.331676
72.5,0.331437
72.75,0.331191
73.0,0.330961
73.25,0.330742
73.5,0.330517
73.75,0.330285
74.0,0.330081
74.25,0.329885
74.5,0.32969499999999996
74.75,0.329516
75.0,0.329351
75.25,0.32915500000000003
75.5,0.328986
75.75,0.328803
76.0,0.328652
76.25,0.328488
76.5,0.328334
76.75,0.3282
77.0,0.328072
77.25,0.32792899999999997
77.5,0.327807
77.75,0.32768600000000003
78.0,0.32757
78.25,0.32745599999999997
78.5,0.327355
78.75,0.32723800000000003
79.0,0.327153
79.25,0.32704099999999997
79.5,0.32694
79.75,0.326841
80.0,0.326741
80.25,0.32664899999999997
80.5,0.32656199999999996
80.75,0.326472
81.0,0.326395
81.25,0.326323
81.5,0.32624699999999995
81.75,0.32617199999999996
82.0,0.32610700000000004
82.25,0.32603899999999997
82.5,0.325962
82.75,0.32591
83.0,0.325849
83.25,0.32579400000000003
83.5,0.325727
83.75,0.32565900000000003
84.0,0.32559899999999997
84.25,0.325549
84.5,0.325509
84.75,0.325462
85.0,0.325417
85.25,0.325365
85.5,0.325315
85.75,0.325277
86.0,0.325231
86.25,0.32519699999999996
86.5,0.325158
86.75,0.325114
87.0,0.32508200000000004
87.25,0.32504299999999997
87.5,0.32501399999999997
87.75,0.32498499999999997
88.0,0.324957
88.25,0.324934
88.5,0.324907
88.75,0.324878
89.0,0.324851
89.25,0.324826
89.5,0.324801
89.75,0.324772
90.0,0.32474899999999995
90.25,0.324726
90.5,0.324703
90.75,0.324679
91.0,0.32466100000000003
91.25,0.32464299999999996
91.5,0.324626
91.75,0.324604
92.0,0.324587
92.25,0.32457199999999997
92.5,0.324556
92.75,0.32454099999999997
93.0,0.324523
93.25,0.32450999999999997
93.5,0.324494
93.75,0.324477
94.0,0.324463
94.25,0.324449
94.5,0.324438
94.75,0.324424
95.0,0.324413
95.25,0.324405
95.5,0.324395
95.75,0.324383
96.0,0.324378
96.25,0.324367
96.5,0.324358
96.75,0.324347
97.0,0.32434
97.25,0.324333
97.5,0.32432300000000003
97.75,0.32431
98.0,0.324304
98.25,0.324295
98.5,0.324289
98.75,0.324282
99.0,0.324276
99.25,0.324273
99.5,0.324264
99.75,0.324252
100.0,0.32424400000000003
100.25,0.324234
100.5,0.324228
100.75,0.32422
101.0,0.324216
101.25,0.324212
101.5,0.324212
101.75,0.324206
102.0,0.324202
102.25,0.32419699999999996
102.5,0.324193
102.75,0.324189
103.0,0.32418800000000003
103.25,0.324184
103.5,0.32418
103.75,0.324177
104.0,0.324173
104.25,0.324171
104.5,0.324169
104.75,0.324164
105.0,0.32416
105.25,0.32415900000000003
105.5,0.32415700000000003
105.75,0.324156
106.0,0.324154
106.25,0.324152
106.5,0.32414899999999996
106.75,0.324146
107.0,0.324144
107.25,0.32414
107.5,0.32414
107.75,0.32413800000000004
108.0,0.32413800000000004
108.25,0.32413600000000004
108.5,0.32413600000000004
108.75,0.32413400000000003
109.0,0.324133
109.25,0.324131
109.5,0.324129
109.75,0.324128
110.0,0.324127
110.25,0.324127
110.5,0.324125
110.75,0.32412399999999997
111.0,0.324123
111.25,0.32412199999999997
111.5,0.32411999999999996
111.75,0.324119
112.0,0.324119
112.25,0.324119
112.5,0.32411799999999996
112.75,0.32411799999999996
113.0,0.32411599999999996
113.25,0.32411599999999996
113.5,0.324115
113.75,0.324114
114.0,0.324113
114.25,0.324112
114.5,0.32411
114.75,0.32410900000000004
115.0,0.32410900000000004
115.25,0.324108
115.5,0.324106
115.75,0.324106
116.0,0.32410500000000003
116.25,0.324104
116.5,0.324104
116.75,0.324104
117.0,0.324102
117.25,0.32410100000000003
117.5,0.32410100000000003
117.75,0.32410100000000003
118.0,0.32410100000000003
118.25,0.32410100000000003
118.5,0.3241
118.75,0.3241
119.0,0.3241
119.25,0.324098
119.5,0.32409699999999997
119.75,0.32409699999999997
