Time,cumulative_mean_fraction_lambda_C
0,0
0.25,0
0.5,0
0.75,3.77461e-05
1,0.363666
1.25,0.333365
1.5,0.368455
1.75,0.333417
2,0.36849
2.25,0.372159
2.5,0.404315
2.75,0.370805
3,0.36106
3.25,0.321187
3.5,0.309653
3.75,0.293562
4,0.28103
4.25,0.271192
4.5,0.273186
4.75,0.284972
5,0.283331
5.25,0.293743
5.5,0.276397
5.75,0.276724
6,0.276567
6.25,0.276567
6.5,0.266491
6.75,0.274721
7,0.2846
7.25,0.287663
7.5,0.289372
7.75,0.287067
8,0.285791
8.25,0.273988
8.5,0.27467
8.75,0.263443
9,0.27622
9.25,0.281326
9.5,0.284109
9.75,0.281293
10,0.284027
10.25,0.289569
10.5,0.288623
10.75,0.297905
11,0.291324
11.25,0.288026
11.5,0.28214
11.75,0.278152
12,0.283029
12.25,0.283189
12.5,0.28616
12.75,0.283565
13,0.284543
13.25,0.282384
13.5,0.28294
13.75,0.284084
14,0.287558
14.25,0.285346
14.5,0.285236
14.75,0.284133
15,0.281389
15.25,0.284004
15.5,0.288332
15.75,0.292032
16,0.293555
16.25,0.29335
16.5,0.29344
16.75,0.296497
17,0.297973
17.25,0.298644
17.5,0.295929
17.75,0.295414
18,0.294561
18.25,0.295795
18.5,0.294824
18.75,0.2966
19,0.297572
19.25,0.297639
19.5,0.297027
19.75,0.29597
20,0.296005
20.25,0.294662
20.5,0.292398
20.75,0.289005
21,0.289295
21.25,0.290052
21.5,0.290509
21.75,0.287723
22,0.287352
22.25,0.28686
22.5,0.285465
22.75,0.285726
23,0.286198
23.25,0.286234
23.5,0.285944
23.75,0.284726
24,0.285817
24.25,0.285178
24.5,0.284162
24.75,0.283355
25,0.282141
25.25,0.281411
25.5,0.282478
25.75,0.28308
26,0.283754
26.25,0.284169
26.5,0.284312
26.75,0.284779
27,0.286016
27.25,0.286483
27.5,0.28571
27.75,0.286508
28,0.286184
28.25,0.285586
28.5,0.285886
28.75,0.286011
29,0.286471
29.25,0.286264
29.5,0.286302
29.75,0.287651
30,0.287945
30.25,0.287671
30.5,0.289004
30.75,0.289611
31,0.290124
31.25,0.289188
31.5,0.290857
31.75,0.290312
32,0.291029
32.25,0.291779
32.5,0.292364
32.75,0.293162
33,0.293632
33.25,0.294508
33.5,0.294431
33.75,0.295285
34,0.295317
34.25,0.296123
34.5,0.296273
34.75,0.296232
35,0.29617
35.25,0.297153
35.5,0.297099
35.75,0.297299
36,0.297293
36.25,0.297731
36.5,0.297763
36.75,0.298391
37,0.298788
37.25,0.299399
37.5,0.299865
37.75,0.299793
38,0.299857
38.25,0.299821
38.5,0.299865
38.75,0.299747
39,0.299751
39.25,0.300078
39.5,0.299779
39.75,0.30023
40,0.300021
40.25,0.29985
40.5,0.299672
40.75,0.299317
41,0.299217
41.25,0.298958
41.5,0.299237
41.75,0.29959
42,0.299693
42.25,0.300198
42.5,0.300571
42.75,0.30057
43,0.300585
43.25,0.301117
43.5,0.301269
43.75,0.301716
44,0.301887
44.25,0.301916
44.5,0.30195
44.75,0.302227
45,0.302232
45.25,0.302185
45.5,0.302204
45.75,0.302802
46,0.302786
46.25,0.302793
46.5,0.302979
46.75,0.303245
47,0.303453
47.25,0.303882
47.5,0.304111
47.75,0.304261
48,0.304526
48.25,0.304886
48.5,0.305117
48.75,0.305235
49,0.305474
49.25,0.305633
49.5,0.305897
49.75,0.305791
50,0.30606
50.25,0.306425
50.5,0.30672
50.75,0.306973
51,0.307132
51.25,0.307295
51.5,0.307672
51.75,0.307778
52,0.307857
52.25,0.308152
52.5,0.30843
52.75,0.308547
53,0.308826
53.25,0.309075
53.5,0.309396
53.75,0.309668
54,0.309931
54.25,0.310222
54.5,0.310461
54.75,0.310719
55,0.311022
55.25,0.311316
55.5,0.311626
55.75,0.312008
56,0.312345
56.25,0.312685
56.5,0.312863
56.75,0.313257
57,0.313533
57.25,0.313876
57.5,0.314242
57.75,0.31449
58,0.314854
58.25,0.315115
58.5,0.31542
58.75,0.315735
59,0.316059
59.25,0.31632
59.5,0.316644
59.75,0.316992
60,0.317344
60.25,0.317633
60.5,0.317993
60.75,0.318293
61,0.318576
