Time,cumulative_mean_fraction_lambda_W
0,0
0.25,0
0.5,0
0.75,0
1,0.000156017
1.25,0.000114413
1.5,9.03259e-05
1.75,0.133334
2,0.13158
2.25,0.11628
2.5,0.12766
2.75,0.16629
3,0.179977
3.25,0.230139
3.5,0.265038
3.75,0.300976
4,0.311142
4.25,0.32022
4.5,0.332416
4.75,0.33246
5,0.322696
5.25,0.308608
5.5,0.315575
5.75,0.314541
6,0.31702
6.25,0.31702
6.5,0.318711
6.75,0.318564
7,0.315525
7.25,0.313857
7.5,0.322924
7.75,0.327502
8,0.329702
8.25,0.345543
8.5,0.354788
8.75,0.367012
9,0.361792
9.25,0.365324
9.5,0.359887
9.75,0.366422
10,0.370404
10.25,0.377067
10.5,0.385472
10.75,0.390216
11,0.400378
11.25,0.404104
11.5,0.407405
11.75,0.409513
12,0.413272
12.25,0.415954
12.5,0.416962
12.75,0.419903
13,0.41954
13.25,0.421169
13.5,0.41763
13.75,0.416939
14,0.416143
14.25,0.414073
14.5,0.412439
14.75,0.409866
15,0.409746
15.25,0.408839
15.5,0.405348
15.75,0.400026
16,0.399152
16.25,0.397738
16.5,0.391925
16.75,0.38877
17,0.386197
17.25,0.38607
17.5,0.39092
17.75,0.392391
18,0.394101
18.25,0.391475
18.5,0.392496
18.75,0.391236
19,0.391378
19.25,0.391828
19.5,0.38908
19.75,0.38777
20,0.388896
20.25,0.388727
20.5,0.391854
20.75,0.396289
21,0.397183
21.25,0.398234
21.5,0.398894
21.75,0.399531
22,0.398402
22.25,0.39736
22.5,0.397894
22.75,0.397293
23,0.394827
23.25,0.395558
23.5,0.394003
23.75,0.394773
24,0.392489
24.25,0.393147
24.5,0.393772
24.75,0.393343
25,0.392458
25.25,0.394204
25.5,0.392157
25.75,0.391556
26,0.391149
26.25,0.391346
26.5,0.391453
26.75,0.391001
27,0.38966
27.25,0.388436
27.5,0.389496
27.75,0.388643
28,0.388479
28.25,0.387931
28.5,0.387715
28.75,0.388219
29,0.387373
29.25,0.387963
29.5,0.388046
29.75,0.387643
30,0.387749
30.25,0.388379
30.5,0.387421
30.75,0.387087
31,0.387438
31.25,0.388751
31.5,0.387792
31.75,0.389226
32,0.387822
32.25,0.387843
32.5,0.387208
32.75,0.386385
33,0.388048
33.25,0.387317
33.5,0.386984
33.75,0.38619
34,0.38552
34.25,0.383897
34.5,0.383508
34.75,0.384281
35,0.385005
35.25,0.384436
35.5,0.384942
35.75,0.384663
36,0.384368
36.25,0.383809
36.5,0.383112
36.75,0.38212
37,0.38214
37.25,0.38158
37.5,0.381572
37.75,0.381598
38,0.381666
38.25,0.382067
38.5,0.381914
38.75,0.381899
39,0.382604
39.25,0.382198
39.5,0.382688
39.75,0.382577
40,0.382383
40.25,0.382294
40.5,0.382327
40.75,0.383001
41,0.383003
41.25,0.383223
41.5,0.38307
41.75,0.383039
42,0.383134
42.25,0.382688
42.5,0.382172
42.75,0.382017
43,0.381991
43.25,0.381569
43.5,0.381627
43.75,0.381664
44,0.381198
44.25,0.381072
44.5,0.381146
44.75,0.380999
45,0.380987
45.25,0.38129
45.5,0.381241
45.75,0.380911
46,0.380655
46.25,0.380672
46.5,0.380309
46.75,0.379961
47,0.379538
47.25,0.379044
47.5,0.378791
47.75,0.378677
48,0.378149
48.25,0.377601
48.5,0.377145
48.75,0.376969
49,0.376683
49.25,0.376386
49.5,0.375988
49.75,0.375644
50,0.375127
50.25,0.374554
50.5,0.374109
50.75,0.373638
51,0.373038
51.25,0.372674
51.5,0.372163
51.75,0.37182
52,0.3712
52.25,0.370653
52.5,0.370251
52.75,0.369813
53,0.369254
53.25,0.368669
53.5,0.368164
53.75,0.367669
54,0.367168
54.25,0.366619
54.5,0.366131
54.75,0.365547
55,0.364983
55.25,0.3645
55.5,0.363953
55.75,0.363413
56,0.362806
56.25,0.362168
56.5,0.361745
56.75,0.361177
57,0.36057
57.25,0.359969
57.5,0.359364
57.75,0.358863
58,0.358284
58.25,0.357553
58.5,0.356975
58.75,0.356315
59,0.35573
59.25,0.355201
59.5,0.354646
59.75,0.353972
60,0.353461
60.25,0.352833
60.5,0.352186
60.75,0.351611
61,0.351032
