Time,mean_fraction_lambda_C
0,0
0.25,0
0.5,0
0.75,3.77461e-05
1,0.444472
1.25,0.250036
1.5,0.500043
1.75,0.272896
2,0.500016
2.25,0.400038
2.5,0.75
2.75,0.145805
3,0.285883
3.25,0.178116
3.5,0.253423
3.75,0.16752
4,0.211115
4.25,0.168709
4.5,0.300507
4.75,0.400474
5,0.250089
5.25,0.454664
5.5,0.0670849
5.75,0.285897
6,0.273659
6.25,0
6.5,0.18663
6.75,0.364882
7,0.501099
7.25,0.364257
7.5,0.308172
7.75,0.251105
8,0.263497
8.25,0.135888
8.5,0.28705
8.75,0.0829091
9,0.452212
9.25,0.356757
9.5,0.334512
9.75,0.251026
10,0.325701
10.25,0.372844
10.5,0.268397
10.75,0.442748
11,0.134688
11.25,0.226687
11.5,0.179596
11.75,0.222114
12,0.379266
12.25,0.286758
12.5,0.358572
12.75,0.225041
13,0.307063
13.25,0.243871
13.5,0.29475
13.75,0.311
14,0.36808
14.25,0.249021
14.5,0.282561
14.75,0.263103
15,0.210687
15.25,0.340748
15.5,0.369122
15.75,0.366442
16,0.322438
16.25,0.288885
16.5,0.295361
16.75,0.370076
17,0.331589
17.25,0.317465
17.5,0.231715
17.75,0.283639
18,0.274776
18.25,0.323919
18.5,0.275026
18.75,0.338824
19,0.320939
19.25,0.299136
19.5,0.282681
19.75,0.27048
20,0.296693
20.25,0.258512
20.5,0.233682
20.75,0.199348
21,0.295995
21.25,0.307783
21.5,0.301551
21.75,0.217231
22,0.2771
22.25,0.27393
22.5,0.248813
22.75,0.292032
23,0.298385
23.25,0.287127
23.5,0.279302
23.75,0.255294
24,0.311
24.25,0.268216
24.5,0.26035
24.75,0.261465
25,0.252326
25.25,0.264036
25.5,0.308286
25.75,0.297252
26,0.301289
26.25,0.295262
26.5,0.288174
26.75,0.296911
27,0.321345
27.25,0.298774
27.5,0.26494
27.75,0.307635
28,0.277672
28.25,0.26885
28.5,0.293397
28.75,0.288872
29,0.297258
29.25,0.280932
29.5,0.287219
29.75,0.321518
30,0.295357
30.25,0.280555
30.5,0.323802
30.75,0.305293
31,0.304086
31.25,0.265766
31.5,0.334728
31.75,0.276989
32,0.30913
32.25,0.310925
32.5,0.30748
32.75,0.31426
33,0.305736
33.25,0.315845
33.5,0.292543
33.75,0.316258
34,0.296107
34.25,0.316684
34.5,0.300228
34.75,0.295139
35,0.294541
35.25,0.32341
35.5,0.295654
35.75,0.302296
36,0.297132
36.25,0.308549
36.5,0.298628
36.75,0.314829
37,0.309088
37.25,0.31555
37.5,0.312732
37.75,0.297879
38,0.301501
38.25,0.298846
38.5,0.300984
38.75,0.296522
39,0.299871
39.25,0.308535
39.5,0.291856
39.75,0.312288
40,0.294456
40.25,0.295354
40.5,0.295036
40.75,0.290146
41,0.296578
41.25,0.292051
41.5,0.30688
41.75,0.309113
42,0.302404
42.25,0.314037
42.5,0.310502
42.75,0.300529
43,0.30101
43.25,0.315821
43.5,0.305582
43.75,0.314381
44,0.306631
44.25,0.302715
44.5,0.302916
44.75,0.310162
45,0.302392
45.25,0.300751
45.5,0.302763
45.75,0.320714
46,0.302301
46.25,0.303035
46.5,0.308629
46.75,0.311584
47,0.309846
47.25,0.317378
47.5,0.311324
47.75,0.30907
48,0.313016
48.25,0.316734
48.5,0.312606
48.75,0.309117
49,0.313539
49.25,0.311016
49.5,0.314843
49.75,0.302138
50,0.315489
50.25,0.319683
50.5,0.317337
50.75,0.316213
51,0.312963
51.25,0.313475
51.5,0.321994
51.75,0.311867
52,0.310979
52.25,0.319698
52.5,0.319689
52.75,0.31336
53,0.320724
53.25,0.319709
53.5,0.323408
53.75,0.321936
54,0.32174
54.25,0.323179
54.5,0.321699
54.75,0.322822
55,0.325566
55.25,0.326004
55.5,0.327285
55.75,0.331899
56,0.329922
56.25,0.330969
56.5,0.322872
56.75,0.336189
57,0.329698
57.25,0.334555
57.5,0.337103
57.75,0.330114
58,0.338948
58.25,0.33236
58.5,0.336796
58.75,0.338392
59,0.340096
59.25,0.335978
59.5,0.341851
59.75,0.344838
60,0.346588
60.25,0.341942
60.5,0.350569
60.75,0.345293
61,0.345245
61.25,0.349249
