Time,mean_fraction_lambda_H
0,0
0.25,0
0.5,0
0.75,0.999962
1,0.555337
1.25,0.749964
1.5,0.499957
1.75,0.363621
2,0.374984
2.25,0.599962
2.5,0
2.75,0.428531
3,0.428557
3.25,0.41175
3.5,0.311405
3.75,0.249989
4,0.421029
4.25,0.416512
4.5,0.199992
4.75,0.266631
5,0.624943
5.25,0.45445
5.5,0.533268
5.75,0.428526
6,0.363574
6.25,0
6.5,0.481254
6.75,0.318165
7,0.249985
7.25,0.363574
7.5,0.269167
7.75,0.349983
8,0.368349
8.25,0.333229
8.5,0.190438
8.75,0.353511
9,0.257909
9.25,0.225733
9.5,0.404069
9.75,0.312295
10,0.243205
10.25,0.149974
10.5,0.166549
10.75,0.093007
11,0.223074
11.25,0.299908
11.5,0.35548
11.75,0.338755
12,0.133296
12.25,0.23769
12.5,0.199895
12.75,0.288729
13,0.281775
13.25,0.305897
13.5,0.362768
13.75,0.288303
14,0.23424
14.25,0.370899
14.5,0.344753
14.75,0.376116
15,0.382656
15.25,0.270096
15.5,0.290693
15.75,0.34058
16,0.294986
16.25,0.344111
16.5,0.436594
16.75,0.317084
17,0.34079
17.25,0.300031
17.5,0.262678
17.75,0.290357
18,0.291403
18.25,0.344512
18.5,0.311637
18.75,0.299908
19,0.284267
19.25,0.299021
19.5,0.392641
19.75,0.373341
20,0.291945
20.25,0.3573
20.5,0.293361
20.75,0.287181
21,0.286228
21.25,0.269358
21.5,0.283601
21.75,0.367123
22,0.355626
22.25,0.35613
22.5,0.339277
22.75,0.325189
23,0.370387
23.25,0.299159
23.5,0.362303
23.75,0.331332
24,0.349222
24.25,0.321167
24.5,0.331234
24.75,0.356828
25,0.376952
25.25,0.300257
25.5,0.349019
25.75,0.325358
26,0.318156
26.25,0.308116
26.5,0.317486
26.75,0.323828
27,0.32733
27.25,0.344923
27.5,0.317117
27.75,0.326305
28,0.338172
28.25,0.358538
28.5,0.324289
28.75,0.311387
29,0.335223
29.25,0.315901
29.5,0.32276
29.75,0.300969
30,0.314199
30.25,0.314714
30.5,0.313761
30.75,0.316265
31,0.298923
31.25,0.312668
31.5,0.302692
31.75,0.298683
32,0.338496
32.25,0.300699
32.5,0.321696
32.75,0.321118
33,0.263349
33.25,0.314623
33.5,0.328641
33.75,0.317059
34,0.334936
34.25,0.340818
34.5,0.326519
34.75,0.299722
35,0.301604
35.25,0.307335
35.5,0.30581
35.75,0.320014
36,0.325983
36.25,0.321424
36.5,0.33692
36.75,0.329055
37,0.308239
37.25,0.317679
37.5,0.305932
37.75,0.319818
38,0.315086
38.25,0.308077
38.5,0.320983
38.75,0.321968
39,0.298784
39.25,0.319753
39.5,0.31246
39.75,0.308112
40,0.328343
40.25,0.324681
40.5,0.321766
40.75,0.309475
41,0.320348
41.25,0.318867
41.5,0.314255
41.75,0.308679
42,0.31197
42.25,0.315501
42.5,0.321052
42.75,0.32173
43,0.317749
43.25,0.314262
43.5,0.311157
43.75,0.302908
44,0.325106
44.25,0.319767
44.5,0.313872
44.75,0.313032
45,0.31697
45.25,0.308833
45.5,0.317436
45.75,0.308243
46,0.324595
46.25,0.315779
46.5,0.322083
46.75,0.319399
47,0.32358
47.25,0.31916
47.5,0.317828
47.75,0.315902
48,0.325771
48.25,0.323715
48.5,0.324992
48.75,0.319697
49,0.319458
49.25,0.322653
49.5,0.322645
49.75,0.334103
50,0.327507
50.25,0.326627
50.5,0.324557
50.75,0.32731
51,0.336019
51.25,0.327624
51.5,0.325275
51.75,0.329492
52,0.342375
52.25,0.331096
52.5,0.326364
52.75,0.33483
53,0.333844
53.25,0.336567
53.5,0.330503
53.75,0.332659
54,0.333607
54.25,0.334654
54.5,0.335152
54.75,0.338954
55,0.336554
55.25,0.333638
55.5,0.336405
55.75,0.332779
56,0.338927
56.25,0.341214
56.5,0.3392
56.75,0.335704
57,0.345303
57.25,0.341635
57.5,0.341269
57.75,0.34272
58,0.341047
58.25,0.358444
58.5,0.346668
58.75,0.35275
59,0.347598
59.25,0.348595
59.5,0.346769
59.75,0.355179
60,0.342357
60.25,0.358131
60.5,0.355695
60.75,0.354966
61,0.358203
61.25,0.363057
61.5,0.348479
