Time,mean_fraction_lambda_W
0,0
0.25,0
0.5,0
0.75,0
1,0.000190688
1.25,0
1.5,0
1.75,0.363483
2,0.125
2.25,0
2.5,0.25
2.75,0.425665
3,0.28556
3.25,0.410133
3.5,0.435172
3.75,0.582491
4,0.367856
4.25,0.414779
4.5,0.499501
4.75,0.332894
5,0.124967
5.25,0.0908867
5.5,0.399647
5.75,0.285577
6,0.362766
6.25,0
6.5,0.332117
6.75,0.316952
7,0.248916
7.25,0.272169
7.5,0.422661
7.75,0.398913
8,0.368154
8.25,0.530883
8.5,0.522512
8.75,0.56358
9,0.289879
9.25,0.41751
9.5,0.261419
9.75,0.436679
10,0.431094
10.25,0.477181
10.5,0.565054
10.75,0.464245
11,0.642237
11.25,0.473405
11.5,0.464923
11.75,0.439131
12,0.487437
12.25,0.475552
12.5,0.441532
12.75,0.48623
13,0.411162
13.25,0.450232
13.5,0.342482
13.75,0.400697
14,0.397679
14.25,0.380079
14.5,0.372686
14.75,0.360781
15,0.406657
15.25,0.389155
15.5,0.340186
15.75,0.292978
16,0.382576
16.25,0.367005
16.5,0.268044
16.75,0.312841
17,0.327621
17.25,0.382503
17.5,0.505607
17.75,0.426004
18,0.433821
18.25,0.331569
18.5,0.413336
18.75,0.361268
19,0.394794
19.25,0.401843
19.5,0.324678
19.75,0.356179
20,0.411362
20.25,0.384188
20.5,0.472956
20.75,0.513471
21,0.417777
21.25,0.422859
21.5,0.414848
21.75,0.415645
22,0.367274
22.25,0.36994
22.5,0.41191
22.75,0.382779
23,0.331228
23.25,0.413714
23.5,0.358395
23.75,0.413375
24,0.339777
24.25,0.410617
24.5,0.408416
24.75,0.381707
25,0.370721
25.25,0.435707
25.5,0.342695
25.75,0.37739
26,0.380555
26.25,0.396622
26.5,0.39434
26.75,0.379261
27,0.351325
27.25,0.356303
27.5,0.417943
27.75,0.36606
28,0.384156
28.25,0.372612
28.5,0.382314
28.75,0.39974
29,0.367519
29.25,0.403167
29.5,0.390021
29.75,0.377513
30,0.390443
30.25,0.404731
30.5,0.362437
30.75,0.378442
31,0.39699
31.25,0.421565
31.5,0.36258
31.75,0.424328
32,0.352374
32.25,0.388377
32.5,0.370824
32.75,0.364623
33,0.430915
33.25,0.369532
33.5,0.378816
33.75,0.366683
34,0.368957
34.25,0.342497
34.5,0.373253
34.75,0.40514
35,0.403855
35.25,0.369256
35.5,0.398537
35.75,0.37769
36,0.376885
36.25,0.370027
36.5,0.364452
36.75,0.356115
37,0.382673
37.25,0.366772
37.5,0.381336
37.75,0.382303
38,0.383414
38.25,0.393077
38.5,0.378033
38.75,0.38151
39,0.401345
39.25,0.371712
39.5,0.395684
39.75,0.3796
40,0.377201
40.25,0.379965
40.5,0.383197
40.75,0.40038
41,0.383074
41.25,0.389082
41.5,0.378865
41.75,0.382208
42,0.385626
42.25,0.370462
42.5,0.368446
42.75,0.377742
43,0.381241
43.25,0.369917
43.5,0.383261
43.75,0.382712
44,0.368264
44.25,0.377518
44.5,0.383212
44.75,0.376806
45,0.380638
45.25,0.390415
45.5,0.379801
45.75,0.371043
46,0.373104
46.25,0.381186
46.5,0.369288
46.75,0.369017
47,0.366574
47.25,0.363462
47.5,0.370847
47.75,0.375028
48,0.361213
48.25,0.359551
48.5,0.362402
48.75,0.371186
49,0.367003
49.25,0.366331
49.5,0.362512
49.75,0.363759
50,0.357004
50.25,0.35369
50.5,0.358105
50.75,0.356476
51,0.351018
51.25,0.358901
51.5,0.352731
51.75,0.358641
52,0.346647
52.25,0.349206
52.5,0.353946
52.75,0.351809
53,0.345432
53.25,0.343724
53.5,0.346089
53.75,0.345405
54,0.344654
54.25,0.342166
54.5,0.343149
54.75,0.338224
55,0.33788
55.25,0.340359
55.5,0.33631
55.75,0.335323
56,0.331151
56.25,0.327816
56.5,0.337928
56.75,0.328107
57,0.324999
57.25,0.32381
57.5,0.321629
57.75,0.327166
58,0.320004
58.25,0.309196
58.5,0.316535
58.75,0.308858
59,0.312306
59.25,0.315427
59.5,0.311381
59.75,0.299983
60,0.311055
60.25,0.299927
60.5,0.293736
60.75,0.299741
61,0.296552
61.25,0.287695
61.5,0.301243
61.75,0.293723
