Time,num_affected
0,100
0.25,100
0.5,100
0.75,102
1,111
1.25,115
1.5,119
1.75,130
2,138
2.25,143
2.5,147
2.75,154
3,161
3.25,178
3.5,194
3.75,206
4,225
4.25,237
4.5,247
4.75,262
5,270
5.25,281
5.5,296
5.75,303
6,314
6.25,314
6.5,341
6.75,363
7,375
7.25,386
7.5,412
7.75,432
8,451
8.25,481
8.5,502
8.75,527
9,558
9.25,589
9.5,616
9.75,664
10,701
10.25,741
10.5,771
10.75,814
11,844
11.25,884
11.5,929
11.75,988
12,1033
12.25,1075
12.5,1115
12.75,1160
13,1206
13.25,1268
13.5,1323
13.75,1375
14,1430
14.25,1511
14.5,1569
14.75,1646
15,1706
15.25,1780
15.5,1870
15.75,1958
16,2056
16.25,2146
16.5,2242
16.75,2331
17,2429
17.25,2512
17.5,2614
17.75,2724
18,2837
18.25,2957
18.5,3097
18.75,3223
19,3353
19.25,3499
19.5,3644
19.75,3791
20,3976
20.25,4120
20.5,4275
20.75,4433
21,4621
21.25,4814
21.5,5009
21.75,5203
22,5388
22.25,5589
22.5,5798
22.75,6034
23,6264
23.25,6512
23.5,6792
23.75,7069
24,7371
24.25,7645
24.5,7967
24.75,8257
25,8589
25.25,8946
25.5,9312
25.75,9703
26,10072
26.25,10445
26.5,10829
26.75,11242
27,11632
27.25,12071
27.5,12517
27.75,12986
28,13476
28.25,13954
28.5,14508
28.75,15138
29,15779
29.25,16388
29.5,17071
29.75,17747
30,18445
30.25,19151
30.5,19881
30.75,20646
31,21402
31.25,22254
31.5,23097
31.75,24037
32,24985
32.25,25959
32.5,26961
32.75,27977
33,29058
33.25,30247
33.5,31477
33.75,32755
34,34076
34.25,35408
34.5,36746
34.75,38104
35,39563
35.25,41040
35.5,42562
35.75,44262
36,46001
36.25,47862
36.5,49646
36.75,51537
37,53519
37.25,55539
37.5,57548
37.75,59705
38,62010
38.25,64264
38.5,66796
38.75,69251
39,71850
39.25,74626
39.5,77437
39.75,80326
40,83329
40.25,86504
40.5,89825
40.75,93301
41,96807
41.25,100439
41.5,104109
41.75,107965
42,112063
42.25,116144
42.5,120505
42.75,124867
43,129279
43.25,133954
43.5,138687
43.75,143581
44,148752
44.25,154004
44.5,159479
44.75,165037
45,170655
45.25,176308
45.5,182320
45.75,188406
46,194794
46.25,201079
46.5,207684
46.75,214292
47,221274
47.25,228298
47.5,235556
47.75,242927
48,250500
48.25,258099
48.5,266075
48.75,274157
49,282271
49.25,290590
49.5,299173
49.75,307826
50,316603
50.25,325299
50.5,334352
50.75,343513
51,352873
51.25,362188
51.5,371708
51.75,381380
52,391009
52.25,400976
52.5,410873
52.75,420874
53,430745
53.25,440845
53.5,450919
53.75,460943
54,471191
54.25,481768
54.5,492011
54.75,502511
55,512980
55.25,523232
55.5,533583
55.75,543841
56,554275
56.25,564558
56.5,574587
56.75,584458
57,594435
57.25,604298
57.5,613988
57.75,623703
58,633134
58.25,642696
58.5,651886
58.75,660948
59,669850
59.25,678756
59.5,687468
59.75,696051
60,704434
60.25,712799
60.5,720680
60.75,728677
61,736420
61.25,743773
61.5,751181
61.75,758480
62,765524
62.25,772425
62.5,779062
62.75,785475
63,791733
63.25,797835
63.5,803721
63.75,809546
64,814993
64.25,820332
64.5,825424
64.75,830406
65,835161
65.25,839767
65.5,844318
65.75,848647
66,852907
66.25,857008
66.5,860876
66.75,864723
67,868380
67.25,871945
67.5,875334
67.75,878526
68,881623
68.25,884608
68.5,887515
68.75,890215
69,892908
69.25,895480
69.5,897962
69.75,900344
70,902621
70.25,904780
70.5,906903
70.75,908872
71,910732
71.25,912528
71.5,914242
71.75,915961
72,917638
72.25,919239
72.5,920741
72.75,922197
73,923568
73.25,924908
73.5,926175
73.75,927466
74,928653
74.25,929849
74.5,930945
74.75,931973
75,932975
75.25,933937
75.5,934902
75.75,935877
76,936662
76.25,937500
76.5,938273
76.75,939053
77,939738
77.25,940438
77.5,941137
77.75,941752
78,942387
78.25,942988
78.5,943535
78.75,944095
79,944629
79.25,945132
79.5,945632
79.75,946120
80,946601
80.25,947037
80.5,947470
80.75,947883
81,948263
81.25,948643
81.5,949000
81.75,949364
82,949700
82.25,949988
82.5,950304
82.75,950594
83,950856
83.25,951130
83.5,951433
83.75,951690
84,951948
84.25,952170
84.5,952403
84.75,952614
85,952832
85.25,953042
85.5,953247
85.75,953439
86,953628
86.25,953798
86.5,953962
86.75,954135
87,954297
87.25,954447
87.5,954582
87.75,954720
88,954834
88.25,954952
88.5,955060
88.75,955190
89,955308
89.25,955420
89.5,955533
89.75,955665
90,955764
90.25,955861
90.5,955956
90.75,956051
91,956130
91.25,956214
91.5,956292
91.75,956372
92,956450
92.25,956517
92.5,956585
92.75,956652
93,956715
93.25,956772
93.5,956828
93.75,956896
94,956962
94.25,957014
94.5,957058
94.75,957105
95,957141
95.25,957178
95.5,957223
95.75,957262
96,957304
96.25,957351
96.5,957382
96.75,957421
97,957456
97.25,957486
97.5,957514
97.75,957552
98,957572
98.25,957598
98.5,957623
98.75,957642
99,957662
99.25,957679
99.5,957705
99.75,957742
100,957770
100.25,957797
100.5,957821
100.75,957846
101,957860
101.25,957878
101.5,957892
101.75,957910
102,957930
102.25,957945
102.5,957956
102.75,957970
103,957982
103.25,957997
103.5,958007
103.75,958018
104,958029
104.25,958038
104.5,958044
104.75,958060
105,958073
105.25,958082
105.5,958088
105.75,958100
106,958106
106.25,958116
106.5,958128
106.75,958138
107,958142
107.25,958154
107.5,958158
107.75,958163
108,958170
108.25,958176
108.5,958179
108.75,958186
109,958190
109.25,958197
109.5,958202
109.75,958208
110,958211
110.25,958214
110.5,958223
110.75,958227
111,958229
111.25,958232
111.5,958238
111.75,958240
112,958242
112.25,958247
112.5,958253
112.75,958255
113,958262
113.25,958266
113.5,958269
113.75,958271
114,958275
114.25,958276
114.5,958282
114.75,958285
115,958286
115.25,958290
115.5,958294
115.75,958296
116,958298
116.25,958300
116.5,958301
116.75,958305
117,958310
117.25,958312
117.5,958312
117.75,958312
118,958314
118.25,958314
118.5,958315
118.75,958316
119,958317
119.25,958323
119.5,958325
119.75,958326
