Time,num_cases
0,0
0.25,0
0.5,2
0.75,3
1,7
1.25,11
1.5,21
1.75,23
2,26
2.25,29
2.5,31
2.75,31
3,35
3.25,37
3.5,39
3.75,42
4,42
4.25,46
4.5,51
4.75,55
5,60
5.25,61
5.5,61
5.75,65
6,68
6.25,74
6.5,80
6.75,82
7,86
7.25,93
7.5,98
7.75,103
8,110
8.25,114
8.5,121
8.75,126
9,132
9.25,142
9.5,148
9.75,154
10,161
10.25,172
10.5,178
10.75,185
11,193
11.25,206
11.5,226
11.75,238
12,249
12.25,263
12.5,270
12.75,288
13,305
13.25,323
13.5,333
13.75,357
14,374
14.25,390
14.5,417
14.75,437
15,456
15.25,471
15.5,504
15.75,529
16,550
16.25,573
16.5,605
16.75,625
17,651
17.25,669
17.5,698
17.75,736
18,773
18.25,813
18.5,849
18.75,877
19,906
19.25,952
19.5,989
19.75,1019
20,1064
20.25,1122
20.5,1169
20.75,1219
21,1271
21.25,1316
21.5,1379
21.75,1452
22,1524
22.25,1589
22.5,1647
22.75,1719
23,1791
23.25,1856
23.5,1939
23.75,2029
24,2116
24.25,2194
24.5,2291
24.75,2385
25,2476
25.25,2570
25.5,2686
25.75,2788
26,2918
26.25,3030
26.5,3134
26.75,3261
27,3388
27.25,3547
27.5,3674
27.75,3813
28,3961
28.25,4123
28.5,4308
28.75,4497
29,4674
29.25,4844
29.5,5023
29.75,5226
30,5446
30.25,5659
30.5,5890
30.75,6117
31,6373
31.25,6597
31.5,6845
31.75,7125
32,7407
32.25,7707
32.5,8025
32.75,8334
33,8685
33.25,9045
33.5,9382
33.75,9739
34,10128
34.25,10497
34.5,10903
34.75,11354
35,11791
35.25,12241
35.5,12729
35.75,13218
36,13747
36.25,14336
36.5,14927
36.75,15536
37,16109
37.25,16719
37.5,17343
37.75,18007
38,18716
38.25,19493
38.5,20197
38.75,20993
39,21775
39.25,22639
39.5,23508
39.75,24398
40,25407
40.25,26397
40.5,27446
40.75,28486
41,29612
41.25,30724
41.5,31848
41.75,33021
42,34302
42.25,35595
42.5,36988
42.75,38441
43,39870
43.25,41397
43.5,42941
43.75,44578
44,46278
44.25,48072
44.5,49896
44.75,51764
45,53684
45.25,55642
45.5,57659
45.75,59791
46,62007
46.25,64257
46.5,66702
46.75,69184
47,71655
47.25,74195
47.5,76849
47.75,79640
48,82418
48.25,85418
48.5,88465
48.75,91640
49,94708
49.25,97972
49.5,101359
49.75,104697
50,108145
50.25,111722
50.5,115409
50.75,119266
51,123151
51.25,127210
51.5,131242
51.75,135486
52,139758
52.25,144149
52.5,148620
52.75,153213
53,157955
53.25,162749
53.5,167704
53.75,172723
54,177840
54.25,182973
54.5,188250
54.75,193608
55,199058
55.25,204448
55.5,209913
55.75,215626
56,221303
56.25,227060
56.5,232979
56.75,238721
57,244664
57.25,250882
57.5,256950
57.75,263090
58,269264
58.25,275494
58.5,281811
58.75,287997
59,294276
59.25,300577
59.5,307044
59.75,313460
60,319885
60.25,326202
60.5,332683
60.75,339117
61,345577
61.25,352026
61.5,358288
61.75,364572
62,370934
62.25,377097
62.5,383409
62.75,389422
63,395587
63.25,401611
63.5,407654
63.75,413620
64,419570
64.25,425393
64.5,431266
64.75,436896
65,442462
65.25,447970
65.5,453386
65.75,458812
66,464067
66.25,469126
66.5,474257
66.75,479174
67,484068
67.25,488837
67.5,493500
67.75,498092
68,502590
68.25,506946
68.5,511324
68.75,515521
69,519633
69.25,523676
69.5,527618
69.75,531407
70,535126
70.25,538673
70.5,542203
70.75,545601
71,548876
71.25,552130
71.5,555131
71.75,558141
72,561073
72.25,563882
72.5,566751
72.75,569388
73,571866
73.25,574341
73.5,576758
73.75,579102
74,581355
74.25,583532
74.5,585628
74.75,587618
75,589573
75.25,591449
75.5,593397
75.75,595099
76,596852
76.25,598460
76.5,600092
76.75,601603
77,603111
77.25,604521
77.5,605883
77.75,607182
78,608438
78.25,609770
78.5,610955
78.75,612101
79,613166
79.25,614204
79.5,615181
79.75,616153
80,617157
80.25,618064
80.5,618919
80.75,619782
81,620603
81.25,621378
81.5,622098
81.75,622814
82,623479
82.25,624102
82.5,624749
82.75,625347
83,625925
83.25,626469
