Time,num_critical
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,0
5.5,0
5.75,0
6,0
6.25,0
6.5,0
6.75,0
7,0
7.25,0
7.5,0
7.75,0
8,0
8.25,0
8.5,0
8.75,0
9,0
9.25,0
9.5,0
9.75,0
10,0
10.25,0
10.5,0
10.75,0
11,0
11.25,0
11.5,0
11.75,0
12,0
12.25,0
12.5,0
12.75,0
13,0
13.25,0
13.5,0
13.75,0
14,0
14.25,0
14.5,0
14.75,0
15,1
15.25,1
15.5,1
15.75,2
16,2
16.25,2
16.5,2
16.75,2
17,2
17.25,2
17.5,2
17.75,2
18,2
18.25,2
18.5,2
18.75,2
19,2
19.25,2
19.5,2
19.75,2
20,2
20.25,2
20.5,2
20.75,2
21,2
21.25,2
21.5,2
21.75,2
22,2
22.25,2
22.5,2
22.75,2
23,1
23.25,1
23.5,1
23.75,1
24,1
24.25,1
24.5,1
24.75,1
25,2
25.25,2
25.5,2
25.75,2
26,2
26.25,2
26.5,2
26.75,3
27,3
27.25,3
27.5,3
27.75,3
28,3
28.25,3
28.5,3
28.75,3
29,3
29.25,4
29.5,4
29.75,4
30,4
30.25,4
30.5,5
30.75,5
31,5
31.25,6
31.5,6
31.75,6
32,6
32.25,7
32.5,7
32.75,8
33,7
33.25,7
33.5,7
33.75,7
34,7
34.25,7
34.5,8
34.75,7
35,7
35.25,7
35.5,8
35.75,8
36,9
36.25,9
36.5,9
36.75,9
37,9
37.25,8
37.5,8
37.75,8
38,8
38.25,10
38.5,11
38.75,12
39,12
39.25,11
39.5,11
39.75,12
40,14
40.25,14
40.5,15
40.75,16
41,17
41.25,19
41.5,24
41.75,24
42,25
42.25,27
42.5,27
42.75,29
43,30
43.25,32
43.5,32
43.75,34
44,34
44.25,37
44.5,40
44.75,46
45,49
45.25,51
45.5,54
45.75,55
46,57
46.25,56
46.5,58
46.75,60
47,64
47.25,67
47.5,71
47.75,71
48,73
48.25,81
48.5,81
48.75,83
49,85
49.25,92
49.5,97
49.75,100
50,109
50.25,111
50.5,116
50.75,122
51,133
51.25,136
51.5,140
51.75,144
52,154
52.25,157
52.5,161
52.75,163
53,168
53.25,180
53.5,193
53.75,202
54,212
54.25,220
54.5,233
54.75,239
55,250
55.25,262
55.5,272
55.75,281
56,287
56.25,291
56.5,303
56.75,317
57,330
57.25,347
57.5,357
57.75,374
58,382
58.25,400
58.5,409
58.75,422
59,434
59.25,450
59.5,468
59.75,480
60,493
60.25,517
60.5,530
60.75,536
61,552
61.25,565
61.5,578
61.75,601
62,622
62.25,655
62.5,669
62.75,693
63,716
63.25,736
63.5,750
63.75,773
64,805
64.25,817
64.5,839
64.75,857
65,876
65.25,895
65.5,922
65.75,942
66,963
66.25,973
66.5,1008
66.75,1037
67,1047
67.25,1067
67.5,1095
67.75,1128
68,1152
68.25,1172
68.5,1203
68.75,1238
69,1274
69.25,1295
69.5,1314
69.75,1341
70,1353
70.25,1371
70.5,1375
70.75,1408
71,1431
71.25,1443
71.5,1476
71.75,1492
72,1502
72.25,1528
72.5,1550
72.75,1586
73,1607
73.25,1630
73.5,1644
73.75,1669
74,1695
74.25,1726
74.5,1749
74.75,1747
75,1782
75.25,1801
75.5,1823
75.75,1841
76,1851
76.25,1862
76.5,1868
76.75,1871
77,1878
77.25,1898
77.5,1908
77.75,1903
78,1904
78.25,1914
78.5,1948
78.75,1940
79,1940
79.25,1943
79.5,1942
79.75,1951
80,1956
80.25,1950
80.5,1937
80.75,1927
81,1920
81.25,1898
81.5,1887
81.75,1885
82,1868
82.25,1857
82.5,1830
82.75,1831
83,1810
83.25,1805
83.5,1779
83.75,1765
84,1752
84.25,1737
84.5,1718
84.75,1701
85,1678
85.25,1648
85.5,1629
85.75,1607
86,1596
86.25,1559
86.5,1518
86.75,1492
87,1458
87.25,1446
87.5,1432
87.75,1400
88,1373
88.25,1362
88.5,1354
88.75,1322
89,1296
89.25,1288
89.5,1260
89.75,1224
90,1209
90.25,1191
90.5,1167
90.75,1144
91,1130
91.25,1099
91.5,1070
91.75,1044
92,1016
92.25,988
92.5,969
92.75,947
93,928
93.25,904
93.5,882
93.75,869
94,845
94.25,823
94.5,815
94.75,800
95,793
95.25,772
95.5,734
95.75,723
96,710
96.25,688
96.5,661
96.75,645
97,642
97.25,613
97.5,606
97.75,589
98,565
98.25,545
98.5,535
98.75,527
99,505
99.25,491
99.5,482
99.75,462
100,451
100.25,447
100.5,438
100.75,440
101,427
101.25,424
101.5,415
101.75,405
102,401
102.25,402
102.5,389
102.75,376
103,363
103.25,353
103.5,348
103.75,335
104,323
104.25,316
104.5,309
104.75,306
105,293
105.25,286
105.5,281
105.75,272
106,266
106.25,255
106.5,247
106.75,231
107,223
107.25,214
107.5,212
107.75,204
108,201
108.25,190
108.5,181
108.75,169
109,160
109.25,151
109.5,147
109.75,141
110,136
110.25,130
110.5,123
110.75,121
111,117
111.25,111
111.5,108
111.75,106
112,105
112.25,103
112.5,105
112.75,94
113,89
113.25,87
113.5,80
113.75,79
114,77
114.25,75
114.5,71
114.75,70
115,67
115.25,67
115.5,62
115.75,62
116,61
116.25,58
116.5,59
116.75,56
117,54
117.25,52
117.5,49
117.75,45
118,43
118.25,37
118.5,38
118.75,38
119,35
119.25,34
119.5,35
119.75,36
