Time,num_cumulative_hospitalizations
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,0
5.5,0
5.75,0
6,0
6.25,0
6.5,0
6.75,0
7,1
7.25,1
7.5,1
7.75,2
8,3
8.25,3
8.5,3
8.75,4
9,4
9.25,4
9.5,4
9.75,4
10,4
10.25,4
10.5,4
10.75,4
11,5
11.25,5
11.5,5
11.75,5
12,5
12.25,5
12.5,7
12.75,7
13,7
13.25,8
13.5,8
13.75,9
14,10
14.25,11
14.5,11
14.75,11
15,12
15.25,12
15.5,12
15.75,14
16,16
16.25,16
16.5,16
16.75,17
17,18
17.25,18
17.5,19
17.75,20
18,21
18.25,22
18.5,23
18.75,25
19,26
19.25,27
19.5,28
19.75,28
20,31
20.25,33
20.5,34
20.75,37
21,37
21.25,41
21.5,42
21.75,43
22,43
22.25,44
22.5,46
22.75,47
23,47
23.25,49
23.5,50
23.75,52
24,53
24.25,56
24.5,56
24.75,61
25,63
25.25,64
25.5,70
25.75,72
26,77
26.25,77
26.5,79
26.75,81
27,81
27.25,86
27.5,91
27.75,94
28,97
28.25,103
28.5,107
28.75,109
29,110
29.25,111
29.5,114
29.75,117
30,119
30.25,125
30.5,130
30.75,137
31,142
31.25,152
31.5,156
31.75,166
32,170
32.25,174
32.5,182
32.75,192
33,198
33.25,201
33.5,210
33.75,216
34,223
34.25,235
34.5,243
34.75,250
35,269
35.25,279
35.5,292
35.75,305
36,315
36.25,330
36.5,346
36.75,363
37,377
37.25,389
37.5,406
37.75,419
38,438
38.25,455
38.5,474
38.75,488
39,507
39.25,522
39.5,541
39.75,555
40,577
40.25,599
40.5,617
40.75,640
41,674
41.25,708
41.5,740
41.75,769
42,803
42.25,828
42.5,857
42.75,889
43,932
43.25,963
43.5,997
43.75,1032
44,1072
44.25,1114
44.5,1157
44.75,1209
45,1272
45.25,1335
45.5,1405
45.75,1459
46,1510
46.25,1567
46.5,1625
46.75,1686
47,1749
47.25,1819
47.5,1880
47.75,1954
48,2031
48.25,2108
48.5,2182
48.75,2257
49,2337
49.25,2443
49.5,2536
49.75,2632
50,2716
50.25,2828
50.5,2930
50.75,3050
51,3175
51.25,3274
51.5,3392
51.75,3513
52,3629
52.25,3766
52.5,3892
52.75,3996
53,4145
53.25,4290
53.5,4447
53.75,4581
54,4731
54.25,4903
54.5,5063
54.75,5208
55,5375
55.25,5539
55.5,5687
55.75,5864
56,6034
56.25,6230
56.5,6407
56.75,6587
57,6780
57.25,6987
57.5,7195
57.75,7394
58,7582
58.25,7800
58.5,8032
58.75,8266
59,8478
59.25,8695
59.5,8920
59.75,9146
60,9402
60.25,9657
60.5,9884
60.75,10117
61,10381
61.25,10639
61.5,10879
61.75,11139
62,11380
62.25,11640
62.5,11875
62.75,12140
63,12361
63.25,12620
63.5,12880
63.75,13146
64,13417
64.25,13676
64.5,13933
64.75,14234
65,14504
65.25,14765
65.5,15042
65.75,15335
66,15634
66.25,15927
66.5,16226
66.75,16494
67,16741
67.25,16985
67.5,17272
67.75,17536
68,17786
68.25,18045
68.5,18278
68.75,18512
69,18748
69.25,19002
69.5,19234
69.75,19462
70,19705
70.25,19939
70.5,20187
70.75,20446
71,20690
71.25,20924
71.5,21169
71.75,21396
72,21608
72.25,21849
72.5,22076
72.75,22296
73,22506
73.25,22718
73.5,22918
73.75,23117
74,23307
74.25,23487
74.5,23664
74.75,23850
75,24042
75.25,24216
75.5,24391
75.75,24557
76,24725
76.25,24915
76.5,25059
76.75,25211
77,25385
77.25,25545
77.5,25701
77.75,25831
78,25979
78.25,26107
78.5,26237
78.75,26364
79,26503
79.25,26643
79.5,26782
79.75,26891
80,27002
80.25,27114
80.5,27243
80.75,27360
81,27455
81.25,27569
81.5,27672
81.75,27774
82,27871
82.25,27970
82.5,28061
82.75,28142
83,28244
83.25,28322
83.5,28392
83.75,28477
84,28552
84.25,28626
84.5,28690
84.75,28781
85,28862
85.25,28929
85.5,28982
85.75,29062
86,29119
86.25,29169
86.5,29236
