Time,num_hospitalised
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,0
5.5,0
5.75,0
6,0
6.25,0
6.5,0
6.75,0
7,1
7.25,1
7.5,1
7.75,2
8,3
8.25,3
8.5,3
8.75,4
9,4
9.25,4
9.5,4
9.75,4
10,4
10.25,4
10.5,4
10.75,4
11,5
11.25,5
11.5,5
11.75,5
12,5
12.25,5
12.5,7
12.75,7
13,7
13.25,8
13.5,8
13.75,9
14,10
14.25,11
14.5,11
14.75,11
15,11
15.25,11
15.5,11
15.75,12
16,13
16.25,13
16.5,13
16.75,13
17,14
17.25,14
17.5,15
17.75,16
18,17
18.25,18
18.5,19
18.75,21
19,21
19.25,22
19.5,23
19.75,23
20,26
20.25,28
20.5,27
20.75,30
21,30
21.25,33
21.5,34
21.75,34
22,33
22.25,33
22.5,35
22.75,36
23,35
23.25,37
23.5,38
23.75,37
24,37
24.25,40
24.5,40
24.75,44
25,45
25.25,46
25.5,51
25.75,52
26,56
26.25,55
26.5,56
26.75,56
27,55
27.25,59
27.5,63
27.75,65
28,66
28.25,70
28.5,73
28.75,72
29,73
29.25,70
29.5,72
29.75,74
30,76
30.25,81
30.5,84
30.75,90
31,95
31.25,103
31.5,106
31.75,113
32,117
32.25,118
32.5,126
32.75,131
33,135
33.25,137
33.5,140
33.75,144
34,146
34.25,158
34.5,164
34.75,169
35,187
35.25,193
35.5,201
35.75,211
36,218
36.25,226
36.5,239
36.75,254
37,267
37.25,278
37.5,292
37.75,302
38,318
38.25,330
38.5,344
38.75,350
39,365
39.25,370
39.5,384
39.75,389
40,407
40.25,425
40.5,435
40.75,448
41,476
41.25,507
41.5,529
41.75,551
42,580
42.25,593
42.5,614
42.75,636
43,661
43.25,684
43.5,703
43.75,727
44,756
44.25,784
44.5,811
44.75,842
45,892
45.25,946
45.5,997
45.75,1037
46,1070
46.25,1110
46.5,1151
46.75,1196
47,1240
47.25,1296
47.5,1338
47.75,1398
48,1452
48.25,1508
48.5,1565
48.75,1615
49,1661
49.25,1734
49.5,1796
49.75,1860
50,1911
50.25,1999
50.5,2073
50.75,2160
51,2240
51.25,2310
51.5,2394
51.75,2478
52,2554
52.25,2649
52.5,2728
52.75,2781
53,2868
53.25,2955
53.5,3040
53.75,3117
54,3215
54.25,3332
54.5,3435
54.75,3514
55,3620
55.25,3716
55.5,3802
55.75,3904
56,3999
56.25,4120
56.5,4220
56.75,4324
57,4434
57.25,4532
57.5,4651
57.75,4758
58,4857
58.25,4963
58.5,5094
58.75,5209
59,5296
59.25,5415
59.5,5524
59.75,5625
60,5762
60.25,5884
60.5,5984
60.75,6112
61,6231
61.25,6339
61.5,6428
61.75,6552
62,6644
62.25,6730
62.5,6807
62.75,6925
63,6975
63.25,7067
63.5,7183
63.75,7269
64,7371
64.25,7436
64.5,7517
64.75,7633
65,7709
65.25,7767
65.5,7840
65.75,7927
66,8040
66.25,8115
66.5,8183
66.75,8216
67,8256
67.25,8283
67.5,8339
67.75,8382
68,8372
68.25,8376
68.5,8388
68.75,8389
69,8360
69.25,8356
69.5,8347
69.75,8317
70,8314
70.25,8289
70.5,8302
70.75,8294
71,8320
71.25,8290
71.5,8279
71.75,8243
72,8180
72.25,8158
72.5,8128
72.75,8052
73,7991
73.25,7937
73.5,7862
73.75,7776
74,7661
74.25,7553
74.5,7429
74.75,7352
75,7295
75.25,7223
75.5,7110
75.75,7013
76,6928
76.25,6867
76.5,6774
76.75,6692
77,6629
77.25,6530
77.5,6457
77.75,6362
78,6265
78.25,6161
78.5,6042
78.75,5911
79,5807
79.25,5711
79.5,5605
79.75,5485
80,5390
80.25,5262
80.5,5162
80.75,5061
81,4946
81.25,4849
81.5,4750
81.75,4647
82,4561
82.25,4481
82.5,4394
82.75,4285
83,4196
83.25,4099
83.5,3997
83.75,3915
84,3821
84.25,3709
84.5,3627
84.75,3569
85,3472
85.25,3379
85.5,3279
85.75,3231
86,3138
86.25,3060
86.5,2997
86.75,2923
87,2840
