Time,num_infected
0,0
0.25,7
0.5,15
0.75,14
1,22
1.25,28
1.5,30
1.75,29
2,29
2.25,28
2.5,28
2.75,28
3,32
3.25,35
3.5,39
3.75,38
4,40
4.25,48
4.5,48
4.75,51
5,48
5.25,53
5.5,54
5.75,57
6,61
6.25,65
6.5,66
6.75,71
7,75
7.25,76
7.5,77
7.75,84
8,78
8.25,85
8.5,88
8.75,94
9,99
9.25,105
9.5,107
9.75,115
10,114
10.25,121
10.5,119
10.75,130
11,149
11.25,158
11.5,160
11.75,172
12,186
12.25,196
12.5,202
12.75,207
13,230
13.25,233
13.5,254
13.75,264
14,277
14.25,297
14.5,303
14.75,316
15,319
15.25,342
15.5,342
15.75,359
16,368
16.25,385
16.5,408
16.75,413
17,429
17.25,439
17.5,458
17.75,482
18,513
18.25,515
18.5,526
18.75,557
19,586
19.25,610
19.5,643
19.75,661
20,702
20.25,731
20.5,764
20.75,785
21,815
21.25,839
21.5,888
21.75,913
22,957
22.25,968
22.5,1020
22.75,1085
23,1098
23.25,1158
23.5,1200
23.75,1230
24,1286
24.25,1350
24.5,1400
24.75,1466
25,1516
25.25,1571
25.5,1657
25.75,1725
26,1778
26.25,1826
26.5,1912
26.75,1975
27,2037
27.25,2087
27.5,2150
27.75,2239
28,2345
28.25,2454
28.5,2555
28.75,2669
29,2737
29.25,2863
29.5,2964
29.75,3059
30,3210
30.25,3302
30.5,3445
30.75,3571
31,3695
31.25,3795
31.5,3971
31.75,4095
32,4284
32.25,4442
32.5,4605
32.75,4832
33,5042
33.25,5235
33.5,5448
33.75,5643
34,5818
34.25,6071
34.5,6250
34.75,6497
35,6758
35.25,7062
35.5,7354
35.75,7664
36,8031
36.25,8299
36.5,8587
36.75,8917
37,9224
37.25,9603
37.5,9994
37.75,10354
38,10720
38.25,11133
38.5,11607
38.75,12074
39,12519
39.25,13015
39.5,13550
39.75,14077
40,14655
40.25,15154
40.5,15734
40.75,16300
41,16853
41.25,17498
41.5,18201
41.75,18856
42,19582
42.25,20349
42.5,21171
42.75,21939
43,22760
43.25,23626
43.5,24531
43.75,25494
44,26404
44.25,27375
44.5,28401
44.75,29412
45,30423
45.25,31531
45.5,32590
45.75,33813
46,35060
46.25,36344
46.5,37692
46.75,38871
47,40135
47.25,41402
47.5,42854
47.75,44243
48,45739
48.25,47211
48.5,48808
48.75,50143
49,51751
49.25,53452
49.5,55075
49.75,56637
50,58469
50.25,60105
50.5,61833
50.75,63711
51,65493
51.25,67234
51.5,69107
51.75,71005
52,72964
52.25,74946
52.5,76894
52.75,78929
53,81132
53.25,83085
53.5,84896
53.75,86992
54,89057
54.25,91116
54.5,93155
54.75,95034
55,97202
55.25,99099
55.5,101217
55.75,103051
56,105094
56.25,106823
56.5,108814
56.75,110997
57,113067
57.25,114872
57.5,116157
57.75,118006
58,119818
58.25,121571
58.5,123265
58.75,124829
59,126080
59.25,127650
59.5,129144
59.75,130383
60,131805
60.25,133268
60.5,134439
60.75,135653
61,136918
61.25,137690
61.5,138339
61.75,138937
62,139579
62.25,140254
62.5,140720
62.75,141238
63,141645
63.25,141634
63.5,141794
63.75,142011
64,142067
64.25,142042
64.5,141787
64.75,141612
65,141342
65.25,140890
65.5,140419
65.75,139597
66,138945
66.25,138164
66.5,137208
