Time,num_recovered
0,0
0.25,0
0.5,1
0.75,6
1,7
1.25,9
1.5,12
1.75,16
2,19
2.25,23
2.5,25
2.75,27
3,27
3.25,30
3.5,33
3.75,36
4,36
4.25,36
4.5,41
4.75,45
5,51
5.25,51
5.5,54
5.75,57
6,63
6.25,66
6.5,70
6.75,74
7,80
7.25,88
7.5,95
7.75,98
8,109
8.25,117
8.5,124
8.75,128
9,135
9.25,142
9.5,151
9.75,159
10,170
10.25,178
10.5,188
10.75,199
11,208
11.25,220
11.5,228
11.75,238
12,251
12.25,261
12.5,278
12.75,292
13,300
13.25,316
13.5,329
13.75,357
14,377
14.25,391
14.5,418
14.75,436
15,461
15.25,480
15.5,505
15.75,520
16,550
16.25,580
16.5,601
16.75,632
17,665
17.25,699
17.5,735
17.75,771
18,798
18.25,839
18.5,871
18.75,899
19,937
19.25,976
19.5,1019
19.75,1064
20,1113
20.25,1163
20.5,1226
20.75,1291
21,1351
21.25,1411
21.5,1465
21.75,1538
22,1610
22.25,1684
22.5,1741
22.75,1809
23,1909
23.25,1985
23.5,2073
23.75,2162
24,2254
24.25,2339
24.5,2437
24.75,2525
25,2633
25.25,2741
25.5,2832
25.75,2951
26,3068
26.25,3211
26.5,3338
26.75,3499
27,3654
27.25,3808
27.5,3969
27.75,4112
28,4283
28.25,4452
28.5,4638
28.75,4814
29,5009
29.25,5190
29.5,5395
29.75,5616
30,5829
30.25,6084
30.5,6302
30.75,6550
31,6810
31.25,7099
31.5,7352
31.75,7657
32,7947
32.25,8257
32.5,8573
32.75,8891
33,9235
33.25,9587
33.5,9953
33.75,10357
34,10778
34.25,11179
34.5,11643
34.75,12097
35,12570
35.25,13035
35.5,13545
35.75,14047
36,14604
36.25,15203
36.5,15832
36.75,16419
37,17066
37.25,17745
37.5,18443
37.75,19164
38,19935
38.25,20701
38.5,21452
38.75,22232
39,23076
39.25,23946
39.5,24848
39.75,25821
40,26801
40.25,27892
40.5,28958
40.75,30075
41,31200
41.25,32368
41.5,33590
41.75,34955
42,36285
42.25,37683
42.5,39118
42.75,40628
43,42120
43.25,43696
43.5,45371
43.75,47092
44,48894
44.25,50725
44.5,52652
44.75,54632
45,56678
45.25,58761
45.5,61028
45.75,63296
46,65630
46.25,68071
46.5,70635
46.75,73304
47,76023
47.25,78828
47.5,81662
47.75,84651
48,87733
48.25,90941
48.5,94168
48.75,97576
49,101016
49.25,104536
49.5,108216
49.75,111989
50,115808
50.25,119867
50.5,123952
50.75,128142
51,132604
51.25,137012
51.5,141521
51.75,146216
52,150977
52.25,155846
52.5,161025
52.75,166168
53,171449
53.25,177028
53.5,182704
53.75,188307
54,194038
54.25,200014
54.5,206101
54.75,212436
55,218552
55.25,225012
55.5,231519
55.75,238203
56,244824
56.25,251770
56.5,258747
56.75,265736
57,272921
57.25,280362
57.5,288078
57.75,295602
58,303233
58.25,310992
58.5,318822
58.75,326719
59,334835
59.25,343004
59.5,351161
59.75,359471
60,367565
60.25,375873
60.5,384257
60.75,392714
61,401047
61.25,409602
61.5,418243
61.75,426895
62,435478
62.25,444071
62.5,452691
62.75,461337
63,469873
63.25,478673
63.5,487235
63.75,495715
64,504216
64.25,512717
64.5,521335
64.75,529714
65,538135
65.25,546526
65.5,554958
65.75,563384
66,571524
66.25,579730
66.5,587923
66.75,595902
67,603954
67.25,611909
67.5,619720
67.75,627325
68,634985
68.25,642435
68.5,649928
68.75,657140
69,664283
69.25,671459
69.5,678485
69.75,685339
70,692064
70.25,698778
70.5,705340
70.75,711672
71,717904
71.25,724016
71.5,730168
71.75,736214
72,741960
72.25,747607
72.5,753229
72.75,758728
73,764133
73.25,769279
73.5,774469
73.75,779536
74,784507
74.25,789318
74.5,794120
74.75,798763
75,803193
75.25,807506
75.5,811889
75.75,816120
76,820064
76.25,824022
76.5,827945
76.75,831719
77,835331
77.25,838922
77.5,842426
77.75,845783
78,849139
78.25,852316
78.5,855421
78.75,858534
79,861595
79.25,864477
79.5,867214
79.75,869887
80,872533
80.25,875124
80.5,877628
80.75,880126
81,882495
81.25,884835
81.5,887006
81.75,889202
82,891294
82.25,893313
82.5,895338
82.75,897239
83,899159
