Time,susceptible_lambda
0,0
0.25,0
0.5,22.4077
0.75,28.7681
1,23.7786
1.25,31.3857
1.5,32.0335
1.75,32.6768
2,25.0912
2.25,28.6169
2.5,39.9829
2.75,41.0892
3,54.8057
3.25,46.4932
3.5,62.3306
3.75,56.6071
4,54.5931
4.25,51.9572
4.5,47.7383
4.75,35.0659
5,33.7764
5.25,42.7399
5.5,39.9721
5.75,38.5321
6,31.1276
6.25,76.9757
6.5,67.1518
6.75,65.3786
7,69.6902
7.25,72.7692
7.5,90.6142
7.75,92.0467
8,90.2874
8.25,81.005
8.5,117.08
8.75,130.944
9,136.292
9.25,161.076
9.5,165.344
9.75,168.564
10,167.383
10.25,167.701
10.5,172.344
10.75,158.289
11,213.533
11.25,211.31
11.5,199.993
11.75,168.243
12,165.311
12.25,201.53
12.5,200.314
12.75,214.914
13,245.693
13.25,220.263
13.5,254.654
13.75,236.673
14,273.805
14.25,282.746
14.5,325.698
14.75,304.471
15,309.114
15.25,334.458
15.5,370.596
15.75,364.076
16,373.148
16.25,368.156
16.5,409.116
16.75,464.373
17,441.819
17.25,420.582
17.5,438.963
17.75,473.989
18,472.282
18.25,506.061
18.5,565.577
18.75,514.279
19,549.764
19.25,610.88
19.5,634.003
19.75,656.696
20,656.723
20.25,715.481
20.5,718.578
20.75,717.811
21,798.121
21.25,771.474
21.5,862.211
21.75,858.124
22,872.082
22.25,937.081
22.5,950.017
22.75,1042.61
23,1056.23
23.25,1210.31
23.5,1241.25
23.75,1228.72
24,1220.68
24.25,1327.64
24.5,1401.73
24.75,1436.98
25,1418.16
25.25,1506.41
25.5,1561.15
25.75,1521.66
26,1554.21
26.25,1566.97
26.5,1716.75
26.75,1650.61
27,1790.88
27.25,2008.83
27.5,2039.94
27.75,2104.37
28,2140.07
28.25,2341.35
28.5,2471.63
28.75,2647.44
29,2771.86
29.25,2808.96
29.5,2765.85
29.75,2919.44
30,3005.18
30.25,3126.83
30.5,3322.65
30.75,3434.44
31,3710.75
31.25,3691.54
31.5,3840.29
31.75,4007.82
32,4136.39
32.25,4309.74
32.5,4429.92
32.75,4582.41
33,5021.74
33.25,5171.64
33.5,5460.81
33.75,5557.96
34,5818.97
34.25,5841.62
34.5,5989.03
34.75,6173.39
35,6323.38
35.25,6623.19
35.5,6937.48
35.75,7286.7
36,7781.08
36.25,7990.65
36.5,8164.26
36.75,8496.18
37,8667.08
37.25,8528.47
37.5,8874.82
37.75,9537.75
38,9814.64
38.25,10382.4
38.5,10548.2
38.75,11198.4
39,11890.9
39.25,11958.6
39.5,12284.1
39.75,12892
40,13474.3
40.25,14570.3
40.5,14615.3
40.75,15220.1
41,15613.5
41.25,16066.6
41.5,16441.9
41.75,17418.6
42,17969.3
42.25,18445.5
42.5,18739.7
42.75,19497.9
43,19942
43.25,20349.4
43.5,20942.1
43.75,22029.8
44,22521.4
44.25,23485.5
44.5,23448.4
44.75,24453.2
45,24906.6
45.25,25738.7
45.5,25930.7
45.75,26948.5
46,27315.5
46.25,28443
46.5,28622.2
46.75,29549.2
47,30577.7
47.25,31092.8
47.5,31395.3
47.75,32281.3
48,32734.7
48.25,33826
48.5,34574.9
48.75,34879.1
49,35508.2
49.25,35976.2
49.5,36712.2
49.75,37510.6
50,38045.2
50.25,38988.1
50.5,39490.4
50.75,40324.2
51,40637
51.25,41120.3
51.5,41229.6
51.75,42160.6
52,42377.6
52.25,42994.1
52.5,42989.7
52.75,43321.6
53,43529.5
53.25,43610.6
53.5,43709.2
53.75,44062.2
54,44681.4
54.25,44471.5
54.5,45483.5
54.75,44709.8
55,44273.6
55.25,43933.5
55.5,44145.7
55.75,44493.4
56,44337.7
56.25,43657.7
56.5,43247.1
56.75,43210.8
57,42533.1
57.25,42202.3
57.5,41817
57.75,40940.3
58,40882.9
58.25,40148.9
58.5,39304
58.75,38962.9
59,38105.9
59.25,37392.2
59.5,36780.2
59.75,36064.3
60,35756.5
60.25,34686.8
60.5,34520.6
60.75,33254.3
61,32546.4
61.25,32216.1
61.5,31286.4
61.75,30325.4
62,29591.7
62.25,28754.7
62.5,27850.1
62.75,27064.9
63,26688.2
63.25,25681.9
