Time,susceptible_lambda_C
0,0
0.25,0
0.5,2.83307
0.75,5.80121
1,6.14024
1.25,7.8553
1.5,8.00056
1.75,9.90775
2,9.34767
2.25,9.96924
2.5,11.1285
2.75,8.12121
3,9.501
3.25,10.504
3.5,12.3454
3.75,12.3913
4,12.7876
4.25,12.7895
4.5,12.7982
4.75,10.7832
5,10.2931
5.25,11.2221
5.5,11.5696
5.75,11.5209
6,10.6485
6.25,16.9318
6.5,16.284
6.75,16.9118
7,18.053
7.25,18.7923
7.5,21.5603
7.75,23.2087
8,19.4017
8.25,19.3401
8.5,26.9945
8.75,32.7779
9,35.4508
9.25,39.1179
9.5,40.1369
9.75,41.8349
10,43.4727
10.25,44.8451
10.5,43.6557
10.75,42.9596
11,47.1198
11.25,48.2147
11.5,51.3431
11.75,51.2541
12,47.6548
12.25,52.0575
12.5,51.6643
12.75,55.8582
13,63.1876
13.25,63.5404
13.5,67.6075
13.75,65.5503
14,69.6926
14.25,75.5332
14.5,82.1617
14.75,85.1367
15,86.715
15.25,95.9408
15.5,102.381
15.75,106.783
16,108.823
16.25,113.629
16.5,117.157
16.75,128.252
17,124.546
17.25,114.218
17.5,117.283
17.75,126.186
18,128.244
18.25,134.34
18.5,143.964
18.75,140.828
19,151.651
19.25,156.743
19.5,163.293
19.75,173.846
20,171.98
20.25,181.558
20.5,181.875
20.75,183.863
21,199.528
21.25,196.5
21.5,209.786
21.75,211.253
22,216.506
22.25,227.665
22.5,241.953
22.75,260.038
23,267.026
23.25,290.996
23.5,308.374
23.75,317.4
24,326.925
24.25,352.024
24.5,365.331
24.75,383.673
25,398.874
25.25,413.191
25.5,433.499
25.75,435.755
26,438.571
26.25,449.239
26.5,477.477
26.75,460.317
27,487.046
27.25,524.871
27.5,555.682
27.75,582.419
28,596.706
28.25,635.155
28.5,673.038
28.75,698.577
29,741.185
29.25,776.437
29.5,800.21
29.75,833.335
30,853.731
30.25,895.714
30.5,938.443
30.75,976.106
31,1018.74
31.25,1043.22
31.5,1091.7
31.75,1147.46
32,1208.22
32.25,1260.01
32.5,1300.55
32.75,1348.96
33,1425.36
33.25,1503.28
33.5,1564.57
33.75,1605.36
34,1649.73
34.25,1683.39
34.5,1738.53
34.75,1827.47
35,1873.34
35.25,1945.49
35.5,2009
35.75,2090.25
36,2191.54
36.25,2268.98
36.5,2337.94
36.75,2419.73
37,2491.12
37.25,2501.32
37.5,2595.13
37.75,2703.33
38,2783.86
38.25,2929.72
38.5,3012.93
38.75,3144.68
39,3314.38
39.25,3390.67
39.5,3521.2
39.75,3657.94
40,3825.56
40.25,3993.07
40.5,4139.61
40.75,4316.98
41,4461.38
41.25,4602.09
41.5,4738.21
41.75,4917.79
42,5113.18
42.25,5283.76
42.5,5425.39
42.75,5623.3
43,5801.03
43.25,5970.22
43.5,6141.7
43.75,6336.6
44,6528.26
44.25,6734.73
44.5,6901.73
44.75,7080.63
45,7269.66
45.25,7452.58
45.5,7548.88
45.75,7691.5
46,7873.63
46.25,8107.94
46.5,8292.06
46.75,8557.09
47,8818.09
47.25,9013.76
47.5,9183.21
47.75,9443.22
48,9614.93
48.25,9856.77
48.5,10095.8
48.75,10310.7
49,10485.3
49.25,10706.7
49.5,10880.1
49.75,11084
50,11309.2
50.25,11526.7
50.5,11681.6
50.75,11896.2
51,12064.8
51.25,12236.3
51.5,12373.4
51.75,12522.4
52,12652.1
52.25,12833.8
52.5,12895.6
52.75,13026.7
53,13120.3
53.25,13176.7
53.5,13253.9
53.75,13332.1
54,13436.8
54.25,13513.2
54.5,13632
54.75,13678.7
55,13657
55.25,13630.2
55.5,13650
55.75,13692.4
56,13725
56.25,13564.8
56.5,13442.4
56.75,13416.2
57,13393.6
57.25,13281.7
57.5,13152
57.75,12946.3
58,12830.6
58.25,12723.5
58.5,12549
58.75,12427.3
59,12222.8
59.25,12044.2
59.5,11855.7
59.75,11662.6
60,11536.3
60.25,11325.4
60.5,11150.9
60.75,10946.8
61,10731
61.25,10576.8
61.5,10327.3
61.75,10091.3
62,9848.45
62.25,9624.4
62.5,9401.06
62.75,9165.23
63,8975.31
63.25,8731.34
63.5,8505.39
63.75,8274.48
