Time,susceptible_lambda_H
0,0
0.25,0
0.5,19.1633
0.75,21.717
1,10.7174
1.25,13.2421
1.5,13.2033
1.75,15.047
2,9.33811
2.25,12.1278
2.5,19.8306
2.75,21.9161
3,26.8471
3.25,14.1207
3.5,28.2343
3.75,22.0732
4,19.7095
4.25,17.235
4.5,16.2723
4.75,15.4762
5,14.8074
5.25,20.3559
5.5,15.3482
5.75,14.3952
6,9.79629
6.25,41.6403
6.5,30.6988
6.75,26.4789
7,22.3538
7.25,20.8134
7.5,37.3301
7.75,33.5887
8,35.0694
8.25,23.6605
8.5,44.1072
8.75,49.447
9,40.5969
9.25,49.8902
9.5,45.4191
9.75,41.5953
10,38.1731
10.25,31.7164
10.5,39.6965
10.75,35.2858
11,77.9414
11.25,85.6399
11.5,71.8394
11.75,42.2128
12,40.8743
12.25,63.2644
12.5,61.9996
12.75,68.4985
13,87.6602
13.25,69.5009
13.5,90.8847
13.75,82.8221
14,107.006
14.25,111.182
14.5,142.742
14.75,113.906
15,116.331
15.25,123.836
15.5,145.147
15.75,133.018
16,150.173
16.25,129.824
16.5,151.202
16.75,177.161
17,150.033
17.25,140.259
17.5,152.14
17.75,178.114
18,165.32
18.25,183.087
18.5,207.78
18.75,170.863
19,184.408
19.25,239.835
19.5,246.407
19.75,242.5
20,236.725
20.25,249.504
20.5,244.308
20.75,237.021
21,270.665
21.25,240.719
21.5,306.795
21.75,295.245
22,303.031
22.25,343.916
22.5,343.911
22.75,382.963
23,391.203
23.25,499.022
23.5,492.334
23.75,457.267
24,427.261
24.25,470.394
24.5,513.811
24.75,517.155
25,484.841
25.25,556.963
25.5,555.299
25.75,511.54
26,533.9
26.25,537.733
26.5,616.063
26.75,581.735
27,658.457
27.25,803.424
27.5,746.376
27.75,738.506
28,746.449
28.25,834.231
28.5,883.918
28.75,975.625
29,1021.82
29.25,999.251
29.5,923.072
29.75,992.903
30,1043.83
30.25,1041.46
30.5,1123.14
30.75,1143.68
31,1300.39
31.25,1287.07
31.5,1325.9
31.75,1388.38
32,1411.15
32.25,1470.61
32.5,1516.22
32.75,1542.41
33,1809.16
33.25,1819.76
33.5,1983.81
33.75,1985.77
34,2154.64
34.25,2061.23
34.5,2051.76
34.75,2048.96
35,2137.54
35.25,2280.77
35.5,2423.16
35.75,2614.72
36,2865.01
36.25,2904.79
36.5,2921.05
36.75,3064.33
37,3083.44
37.25,2886
37.5,3014.61
37.75,3381.7
38,3407.59
38.25,3684.99
38.5,3632.59
38.75,3954.21
39,4294.72
39.25,4223.63
39.5,4253.96
39.75,4561.15
40,4743.64
40.25,5352
40.5,5117.86
40.75,5465.9
41,5468.72
41.25,5603.22
41.5,5688.34
41.75,6296.1
42,6463.23
42.25,6682.32
42.5,6650.84
42.75,6944.07
43,7008.55
43.25,7054.36
43.5,7256.37
43.75,7907.65
44,8017.87
44.25,8463.41
44.5,8051.36
44.75,8569.67
45,8631.66
45.25,9040.22
45.5,9020.45
45.75,9662.94
46,9660.5
46.25,10387.8
46.5,10231.1
46.75,10603.4
47,11113.7
47.25,11182.6
47.5,11188.4
47.75,11616.7
48,11655.6
48.25,12335.6
48.5,12527.8
48.75,12512.4
49,12737.2
49.25,12791.2
49.5,13141.8
49.75,13565
50,13743.6
50.25,14230.7
50.5,14568.7
50.75,14950
51,14948.3
51.25,14983.7
51.5,14980.3
51.75,15699.9
52,15610.3
52.25,15909.8
52.5,15896.5
52.75,15962
53,16028.8
53.25,16084.9
53.5,16039.3
53.75,16292.8
54,16663.4
54.25,16444.6
54.5,17326.1
54.75,16616.7
55,16364
55.25,16138.2
55.5,16418.8
55.75,16890.2
56,16737.3
56.25,16382.8
56.5,16332
56.75,16530.9
57,16046.1
57.25,15937.3
57.5,15837.1
57.75,15525.5
58,15797.5
58.25,15318
58.5,14972.1
58.75,14998.4
59,14608.9
59.25,14386
59.5,14194.2
59.75,13913.9
60,13973.3
60.25,13409.8
60.5,13558.9
60.75,12851.8
61,12634.2
61.25,12642.7
61.5,12248
61.75,11856.9
62,11672.7
62.25,11313.3
62.5,10943.6
62.75,10737.8
63,10765.8
63.25,10273.7
63.5,9831.81
63.75,9382.62
