Time,susceptible_lambda_W
0,0
0.25,0
0.5,0.411275
0.75,1.2499
1,6.92097
1.25,10.2884
1.5,10.8296
1.75,7.72208
2,6.40543
2.25,6.51982
2.5,9.02383
2.75,11.0519
3,18.4576
3.25,21.8685
3.5,21.7509
3.75,22.1426
4,22.096
4.25,21.9327
4.5,18.6678
4.75,8.80655
5,8.67599
5.25,11.1619
5.5,13.0543
5.75,12.6161
6,10.6828
6.25,18.4035
6.5,20.1689
6.75,21.9878
7,29.2834
7.25,33.1634
7.5,31.7238
7.75,35.2493
8,35.8163
8.25,38.0044
8.5,45.9784
8.75,48.7193
9,60.2448
9.25,72.0677
9.5,79.7876
9.75,85.1341
10,85.7375
10.25,91.1394
10.5,88.992
10.75,80.0439
11,88.4715
11.25,77.4554
11.5,76.8103
11.75,74.7759
12,76.782
12.25,86.2078
12.5,86.6497
12.75,90.5569
13,94.8452
13.25,87.2214
13.5,96.1618
13.75,88.3007
14,97.106
14.25,96.0311
14.5,100.795
14.75,105.429
15,106.068
15.25,114.681
15.5,123.068
15.75,124.276
16,114.152
16.25,124.704
16.5,140.756
16.75,158.96
17,167.241
17.25,166.106
17.5,169.54
17.75,169.689
18,178.718
18.25,188.634
18.5,213.834
18.75,202.587
19,213.705
19.25,214.301
19.5,224.303
19.75,240.35
20,248.018
20.25,284.419
20.5,292.394
20.75,296.927
21,327.927
21.25,334.255
21.5,345.63
21.75,351.626
22,352.544
22.25,365.501
22.5,364.152
22.75,399.608
23,398.005
23.25,420.29
23.5,440.538
23.75,454.051
24,466.493
24.25,505.222
24.5,522.586
24.75,536.154
25,534.449
25.25,536.256
25.5,572.353
25.75,574.363
26,581.742
26.25,579.994
26.5,623.209
26.75,608.558
27,645.374
27.25,680.534
27.5,737.883
27.75,783.45
28,796.915
28.25,871.961
28.5,914.674
28.75,973.234
29,1008.85
29.25,1033.27
29.5,1042.57
29.75,1093.2
30,1107.62
30.25,1189.65
30.5,1261.06
30.75,1314.65
31,1391.62
31.25,1361.25
31.5,1422.69
31.75,1471.98
32,1517.02
32.25,1579.11
32.5,1613.16
32.75,1691.03
33,1787.23
33.25,1848.6
33.5,1912.43
33.75,1966.83
34,2014.61
34.25,2097
34.5,2198.73
34.75,2296.95
35,2312.51
35.25,2396.93
35.5,2505.31
35.75,2581.73
36,2724.53
36.25,2816.88
36.5,2905.27
36.75,3012.11
37,3092.52
37.25,3141.15
37.5,3265.08
37.75,3452.73
38,3623.2
38.25,3767.69
38.5,3902.65
38.75,4099.56
39,4281.77
39.25,4344.31
39.5,4508.98
39.75,4672.95
40,4905.08
40.25,5225.18
40.5,5357.8
40.75,5437.19
41,5683.39
41.25,5861.28
41.5,6015.37
41.75,6204.74
42,6392.88
42.25,6479.39
42.5,6663.47
42.75,6930.54
43,7132.43
43.25,7324.77
43.5,7544.02
43.75,7785.57
44,7975.23
44.25,8287.4
44.5,8495.35
44.75,8802.88
45,9005.28
45.25,9245.93
45.5,9361.34
45.75,9594.11
46,9781.39
46.25,9947.2
46.5,10099
46.75,10388.7
47,10646
47.25,10896.5
47.5,11023.6
47.75,11221.4
48,11464.1
48.25,11633.6
48.5,11951.2
48.75,12056.1
49,12285.7
49.25,12478.4
49.5,12690.3
49.75,12861.6
50,12992.5
50.25,13230.7
50.5,13240.2
50.75,13478
51,13623.9
51.25,13900.3
51.5,13876
51.75,13938.3
52,14115.2
52.25,14250.5
52.5,14197.6
52.75,14332.9
53,14380.5
53.25,14349
53.5,14416
53.75,14437.4
54,14581.2
54.25,14513.6
54.5,14525.3
54.75,14414.4
55,14252.6
55.25,14165.1
55.5,14076.9
55.75,13910.8
56,13875.3
56.25,13710
56.5,13472.8
56.75,13263.7
57,13093.3
57.25,12983.3
57.5,12827.9
57.75,12468.5
58,12254.7
58.25,12107.3
58.5,11782.8
58.75,11537.2
59,11274.2
59.25,10961.9
59.5,10730.3
59.75,10487.8
60,10246.9
60.25,9951.65
60.5,9810.77
60.75,9455.69
61,9181.16
61.25,8996.58
61.5,8711.07
61.75,8377.14
62,8070.59
62.25,7816.96
62.5,7505.45
62.75,7161.93
63,6947.12
63.25,6676.89
63.5,6381.55
