Time,total_fraction_lambda_C
0,-nan
0.25,-nan
0.5,-nan
0.75,3.86054e-05
1,0.000125176
1.25,8.37043e-05
1.5,inf
1.75,0.000128326
2,7.39984e-05
2.25,0.000184781
2.5,0.000732967
2.75,0.000106381
3,9.32281e-05
3.25,5.4305e-05
3.5,0.000671261
3.75,0.000163701
4,0.000494783
4.25,7.29942e-05
4.5,inf
4.75,0.00163024
5,9.43792e-05
5.25,0.00126759
5.5,0.000207413
5.75,0.00031623
6,0.000224284
6.25,-nan
6.5,0.000126383
6.75,0.000249467
7,0.000173709
7.25,0.000654725
7.5,0.000249372
7.75,0.000110908
8,0.000110122
8.25,0.000171712
8.5,0.000648472
8.75,6.41907e-05
9,0.000234986
9.25,0.000334969
9.5,0.000321315
9.75,0.000447686
10,0.000661312
10.25,0.000782726
10.5,0.000479642
10.75,0.00125172
11,0.000729869
11.25,0.000260833
11.5,0.000190384
11.75,0.000318759
12,0.00105959
12.25,0.00081871
12.5,0.000522657
12.75,0.000616546
13,0.000510299
13.25,0.000329858
13.5,0.000773294
13.75,0.000579913
14,0.000762212
14.25,0.00057165
14.5,0.000656628
14.75,0.000342503
15,0.000675112
15.25,0.000645391
15.5,0.000524585
15.75,0.000500029
16,0.000698455
16.25,0.000442758
16.5,0.000927701
16.75,0.00100419
17,0.000485782
17.25,0.00090706
17.5,0.00069862
17.75,0.000891718
18,0.000628728
18.25,0.000929151
18.5,0.000775106
18.75,0.000696559
19,0.000995714
19.25,0.000957849
19.5,0.000631528
19.75,0.000463294
20,0.000886177
20.25,0.00113198
20.5,0.00136164
20.75,0.000927564
21,0.00118571
21.25,0.000884168
21.5,0.00159864
21.75,0.000980191
22,0.00102077
22.25,0.0012436
22.5,0.000859532
22.75,0.00127648
23,0.00100406
23.25,0.00117843
23.5,0.000889068
23.75,0.00108447
24,0.00130684
24.25,0.00148441
24.5,0.00137838
24.75,0.00122177
25,0.00125744
25.25,0.00166081
25.5,0.00149619
25.75,0.00213363
26,0.00260144
26.25,0.00198962
26.5,0.00190954
26.75,0.00176321
27,0.00197618
27.25,0.00183467
27.5,0.00151068
27.75,0.00202417
28,0.00230173
28.25,0.00226398
28.5,0.00236012
28.75,0.00264153
29,0.00226873
29.25,0.00226455
29.5,0.0024072
29.75,0.00327686
30,0.00299334
30.25,0.00271165
30.5,0.00375513
30.75,0.00308516
31,0.00305264
31.25,0.00281977
31.5,0.00290857
31.75,0.00358756
32,0.00397735
32.25,0.00436266
32.5,0.00439589
32.75,0.00449674
33,0.00503245
33.25,0.00439389
33.5,0.00479233
33.75,0.00445588
34,0.00531182
34.25,0.00413272
34.5,0.00445034
34.75,0.00534355
35,0.00587861
35.25,0.00627665
35.5,0.00608634
35.75,0.00661842
36,0.00624496
36.25,0.00561797
36.5,0.00639631
36.75,0.00635834
37,0.00682145
37.25,0.00744497
37.5,0.00893799
37.75,0.00863016
38,0.00721148
38.25,0.00734322
38.5,0.00763469
38.75,0.00861185
39,0.00950559
39.25,0.00864067
39.5,0.00886652
39.75,0.0106476
40,0.00977067
40.25,0.0107595
40.5,0.00920418
40.75,0.0113892
41,0.0105035
41.25,0.0126189
41.5,0.0123426
41.75,0.0139051
42,0.0124866
42.25,0.0137523
42.5,0.0137125
42.75,0.0152697
43,0.0150102
43.25,0.0164799
43.5,0.0168813
43.75,0.0186828
44,0.0169064
44.25,0.0188615
44.5,0.0173963
44.75,0.0213191
45,0.0201839
45.25,0.0207793
45.5,0.0212597
45.75,0.022757
46,0.0216184
46.25,0.022303
46.5,0.0223246
46.75,0.0248384
47,0.0246496
47.25,0.0237132
47.5,0.0248308
47.75,0.0273005
48,0.0264801
48.25,0.0292428
48.5,0.0277198
48.75,0.0291774
49,0.0306669
49.25,0.0308897
49.5,0.0325563
49.75,0.0328006
50,0.0325783
50.25,0.0343411
50.5,0.0346362
50.75,0.0356142
51,0.0343659
51.25,0.0367471
51.5,0.0393444
51.75,0.0399479
52,0.0373952
52.25,0.0408139
52.5,0.0414618
52.75,0.0411607
53,0.0429855
53.25,0.0440929
53.5,0.0455321
53.75,0.0468947
54,0.0467069
54.25,0.0471931
54.5,0.0493878
54.75,0.0455095
55,0.0511598
55.25,0.052231
55.5,0.056025
55.75,0.0560671
56,0.0539206
56.25,0.0549561
56.5,0.0558238
56.75,0.0549138
57,0.0543777
57.25,0.0589693
57.5,0.0594857
57.75,0.0601652
58,0.0609639
58.25,0.0567923
58.5,0.0586187
58.75,0.0620582
59,0.0613093
59.25,0.0653134
59.5,0.0640981
59.75,0.0650506
60,0.066468
60.25,0.0638843
60.5,0.0664999
60.75,0.0631776
61,0.0689029
61.25,0.0671136
61.5,0.0677743
61.75,0.0694798
62,0.0689838
62.25,0.0643287
62.5,0.0692221
62.75,0.0688243
63,0.0714725
63.25,0.0660289
63.5,0.0667229
63.75,0.0690939
64,0.0698526
64.25,0.070688
64.5,0.0695745
64.75,0.0685111
65,0.0708957
65.25,0.0743048
65.5,0.0710996
65.75,0.0678509
66,0.0696056
66.25,0.0716618
66.5,0.0700814
66.75,0.0691777
67,0.0643014
67.25,0.066254
67.5,0.068117
67.75,0.0665575
68,0.0649883
68.25,0.0669217
68.5,0.0696603
68.75,0.0646818
69,0.0634964
69.25,0.0651671
69.5,0.0662192
69.75,0.0652808
70,0.0660643
70.25,0.0632468
70.5,0.0648549
70.75,0.0668875
71,0.0729066
71.25,0.0647791
71.5,0.0596768
71.75,0.0597686
72,0.0577732
72.25,0.0587095
72.5,0.0592774
72.75,0.0531562
73,0.057277
73.25,0.0584521
73.5,0.0523745
73.75,0.053364
74,0.0532504
74.25,0.0551113
74.5,0.053776
74.75,0.0514038
75,0.0517275
75.25,0.0470747
75.5,0.0382291
75.75,0.0497873
76,0.0492581
76.25,0.0467243
76.5,0.0517732
76.75,0.0486593
77,0.0449784
77.25,0.0473762
77.5,0.0501727
77.75,0.0391318
78,0.0425982
