Time,total_fraction_lambda_W
0,-nan
0.25,-nan
0.5,-nan
0.75,0
1,7.42866e-05
1.25,0
1.5,-nan
1.75,0.543694
2,0.451269
2.25,0
2.5,1.35381
2.75,0.00965279
3,0.0116668
3.25,0.00810664
3.5,0.0826085
3.75,0.0285548
4,0.110959
4.25,0.0859046
4.5,inf
4.75,0.189164
5,0.0123063
5.25,0.0246126
5.5,0.0379848
5.75,0.287579
6,0.0280495
6.25,-nan
6.5,0.0331714
6.75,0.0163674
7,0.0122783
7.25,0.551774
7.5,0.284347
7.75,0.0168033
8,0.22791
8.25,0.0313644
8.5,0.115249
8.75,0.0217862
9,0.0521744
9.25,0.0540864
9.5,0.0318123
9.75,0.0870497
10,0.117972
10.25,0.120456
10.5,0.360391
10.75,0.264471
11,0.438454
11.25,0.0440543
11.5,0.0438505
11.75,0.0301841
12,0.16192
12.25,0.185886
12.5,0.101769
12.75,0.230779
13,0.050115
13.25,0.0558661
13.5,0.0871882
13.75,0.0568228
14,0.101662
14.25,0.0701339
14.5,0.0463052
14.75,0.034697
15,0.110933
15.25,0.0535864
15.5,0.0328034
15.75,0.0435525
16,0.053462
16.25,0.0308894
16.5,0.0325632
16.75,0.0476801
17,0.0252768
17.25,0.0772077
17.5,0.181135
17.75,0.0969042
18,0.0483577
18.25,0.0919534
18.5,0.0588588
18.75,0.0866083
19,0.0698661
19.25,0.0591529
19.5,0.0202547
19.75,0.0213764
20,0.0460188
20.25,0.0422281
20.5,0.0773627
20.75,0.0583204
21,0.0570266
21.25,0.0474185
21.5,0.10709
21.75,0.0538185
22,0.0336889
22.25,0.0572905
22.5,0.0640612
22.75,0.0726622
23,0.0564264
23.25,0.0737344
23.5,0.047408
23.75,0.068864
24,0.0424561
24.25,0.0674455
24.5,0.0540103
24.75,0.0573907
25,0.0480133
25.25,0.0812344
25.5,0.0384004
25.75,0.0700371
26,0.0765627
26.25,0.070421
26.5,0.0685682
26.75,0.0772089
27,0.0620912
27.25,0.0640058
27.5,0.0425913
27.75,0.0473497
28,0.0647507
28.25,0.0470773
28.5,0.0528974
28.75,0.0473755
29,0.055445
29.25,0.058909
29.5,0.0613503
29.75,0.0578055
30,0.053729
30.25,0.05261
30.5,0.0696429
30.75,0.0658504
31,0.0618541
31.25,0.0559904
31.5,0.0520003
31.75,0.070062
32,0.052494
32.25,0.0716518
32.5,0.070864
32.75,0.0670611
33,0.0855067
33.25,0.0631501
33.5,0.0835155
33.75,0.055025
34,0.0703283
34.25,0.0412191
34.5,0.0555583
34.75,0.0610064
35,0.0640443
35.25,0.0668188
35.5,0.0638055
35.75,0.0641491
36,0.0578576
36.25,0.0542849
36.5,0.0591063
36.75,0.0569271
37,0.0639787
37.25,0.0624447
37.5,0.0701381
37.75,0.0757793
38,0.0618029
38.25,0.0710811
38.5,0.0616824
38.75,0.0736291
39,0.0766492
39.25,0.0658192
39.5,0.0725298
39.75,0.073862
40,0.0683155
40.25,0.0814729
40.5,0.0659486
40.75,0.0811351
41,0.0711256
41.25,0.0828602
41.5,0.0762647
41.75,0.08038
42,0.0741318
42.25,0.074461
42.5,0.0740613
42.75,0.0822349
43,0.0801115
43.25,0.0888565
43.5,0.0881952
43.75,0.0939266
44,0.0785846
44.25,0.0878931
44.5,0.0823974
44.75,0.0966714
45,0.0912865
45.25,0.095542
45.5,0.0937825
45.75,0.0935184
46,0.0877128
46.25,0.0940919
46.5,0.0842078
46.75,0.0916929
47,0.0942184
47.25,0.0820173
47.5,0.0887738
47.75,0.0965466
48,0.0925205
48.25,0.0942189
48.5,0.0956705
48.75,0.0995365
49,0.0977619
49.25,0.0996025
49.5,0.10114
49.75,0.101645
50,0.0937945
50.25,0.101441
50.5,0.0993828
50.75,0.0965693
51,0.0929624
51.25,0.100238
51.5,0.103189
51.75,0.110974
52,0.0989766
52.25,0.10929
52.5,0.106133
52.75,0.108791
53,0.109701
53.25,0.109719
53.5,0.113343
53.75,0.111123
54,0.113126
54.25,0.109737
54.5,0.113747
54.75,0.101698
55,0.113577
55.25,0.119682
55.5,0.123194
55.75,0.120638
56,0.115321
56.25,0.113693
56.5,0.12215
56.75,0.114392
57,0.110386
57.25,0.116121
57.5,0.119522
57.75,0.121221
58,0.116853
58.25,0.108319
58.5,0.115119
58.75,0.116148
59,0.113598
59.25,0.122762
59.5,0.121785
59.75,0.113057
60,0.120879
60.25,0.11492
60.5,0.112452
60.75,0.112447
61,0.119367
61.25,0.111311
61.5,0.11916
61.75,0.120651
62,0.115948
62.25,0.104635
62.5,0.113764
62.75,0.113126
63,0.116991
63.25,0.10426
63.5,0.107672
63.75,0.103517
64,0.109967
64.25,0.109333
64.5,0.105366
64.75,0.0978905
65,0.101486
65.25,0.106414
65.5,0.101052
65.75,0.0909704
66,0.100435
66.25,0.0923534
66.5,0.0988354
66.75,0.101284
67,0.0862429
67.25,0.0904371
67.5,0.091451
67.75,0.0850278
68,0.088359
68.25,0.094571
68.5,0.087682
68.75,0.080337
69,0.0861738
69.25,0.076816
69.5,0.0805015
69.75,0.0795469
70,0.0811608
70.25,0.0746776
70.5,0.0764471
70.75,0.0778055
71,0.0876873
71.25,0.0833381
71.5,0.0776815
71.75,0.0679877
72,0.0665493
72.25,0.0610298
72.5,0.0695751
72.75,0.063115
73,0.0633173
73.25,0.0721785
73.5,0.0496016
73.75,0.055388
74,0.0596273
74.25,0.0698094
74.5,0.0544008
74.75,0.0546327
75,0.0606846
75.25,0.0402538
75.5,0.0431748
75.75,0.0553327
76,0.049368
76.25,0.0496279
76.5,0.0544752
76.75,0.0578125
77,0.0490089
77.25,0.045237
77.5,0.0520068
77.75,0.0354926
78,0.053694
78.25,0.057474
78.5,0.0505378
78.75,0.0437968
79,0.0453884
79.25,0.0226799
79.5,0.0280309
79.75,0.0272341
80,0.0340626
80.25,0.0352052
80.5,0.0447977
80.75,0.0324383
81,0.0348736
81.25,0.0574163
81.5,0.0271065
