timestep,dead
0.0,0.0
0.25,0.0
0.5,0.0
0.75,0.0
1.0,0.0
1.25,0.0
1.5,0.0
1.75,0.0
2.0,0.0
2.25,0.0
2.5,0.0
2.75,0.0
3.0,0.0
3.25,0.0
3.5,0.0
3.75,0.0
4.0,0.0
4.25,0.0
4.5,0.0
4.75,0.0
5.0,0.0
5.25,0.0
5.5,0.0
5.75,0.0
6.0,0.0
6.25,0.0
6.5,0.0
6.75,0.0
7.0,0.0
7.25,0.0
7.5,0.0
7.75,0.0
8.0,0.0
8.25,0.0
8.5,0.0
8.75,0.0
9.0,0.0
9.25,0.0
9.5,0.0
9.75,0.0
10.0,0.0
10.25,0.0
10.5,0.0
10.75,0.0
11.0,0.0
11.25,0.0
11.5,0.0
11.75,0.0
12.0,0.0
12.25,0.0
12.5,0.0
12.75,0.0
13.0,0.0
13.25,0.0
13.5,0.0
13.75,0.0
14.0,0.0
14.25,0.0
14.5,0.0
14.75,0.0
15.0,0.0
15.25,0.0
15.5,0.0
15.75,0.0
16.0,0.0
16.25,0.0
16.5,0.0
16.75,0.0
17.0,0.0
17.25,0.0
17.5,0.0
17.75,0.0
18.0,0.0
18.25,0.0
18.5,0.0
18.75,0.0
19.0,0.0
19.25,0.0
19.5,0.0
19.75,0.0
20.0,0.0
20.25,0.0
20.5,0.0
20.75,0.0
21.0,0.0
21.25,0.0
21.5,0.0
21.75,0.0
22.0,0.0
22.25,0.0
22.5,0.0
22.75,0.5
23.0,0.5
23.25,0.5
23.5,0.5
23.75,0.5
24.0,0.5
24.25,0.5
24.5,0.5
24.75,0.5
25.0,1.0
25.25,1.0
25.5,1.0
25.75,1.0
26.0,1.5
26.25,1.5
26.5,1.5
26.75,1.5
27.0,1.5
27.25,1.5
27.5,1.5
27.75,1.5
28.0,1.5
28.25,1.5
28.5,1.5
28.75,1.5
29.0,1.5
29.25,1.5
29.5,1.5
29.75,1.5
30.0,1.5
30.25,1.5
30.5,1.5
30.75,1.5
31.0,1.5
31.25,1.5
31.5,1.5
31.75,1.5
32.0,1.5
32.25,1.5
32.5,1.5
32.75,1.5
33.0,1.5
33.25,1.5
33.5,2.0
33.75,2.0
34.0,2.0
34.25,2.0
34.5,2.0
34.75,2.0
35.0,2.0
35.25,2.0
35.5,2.5
35.75,2.5
36.0,2.5
36.25,2.5
36.5,3.0
36.75,3.5
37.0,3.5
37.25,3.5
37.5,3.5
37.75,3.5
38.0,4.5
38.25,5.0
38.5,5.0
38.75,5.0
39.0,5.5
39.25,5.5
39.5,5.5
39.75,5.5
40.0,5.5
40.25,5.5
40.5,5.5
40.75,6.5
41.0,6.5
41.25,7.5
41.5,7.5
41.75,8.0
42.0,8.5
42.25,9.5
42.5,10.0
42.75,12.0
43.0,12.0
43.25,13.5
43.5,14.0
43.75,14.0
44.0,14.5
44.25,14.5
44.5,15.5
44.75,17.0
45.0,18.0
45.25,19.0
45.5,20.0
45.75,21.5
46.0,23.0
46.25,23.5
46.5,23.5
46.75,27.0
47.0,27.5
47.25,29.0
47.5,31.5
47.75,33.5
48.0,35.5
48.25,35.5
48.5,37.5
48.75,38.5
49.0,41.0
49.25,42.5
49.5,43.0
49.75,44.5
50.0,46.0
50.25,48.5
50.5,50.5
50.75,54.5
51.0,59.0
51.25,61.0
51.5,63.5
51.75,64.5
52.0,67.0
52.25,68.5
52.5,73.5
52.75,77.0
53.0,82.0
53.25,85.5
53.5,89.5
53.75,92.5
54.0,97.5
54.25,103.0
54.5,109.0
54.75,112.0
55.0,116.5
55.25,120.5
55.5,124.5
55.75,128.5
56.0,133.0
56.25,134.5
56.5,138.0
56.75,142.0
57.0,146.5
57.25,154.0
57.5,158.0
57.75,162.0
58.0,168.0
58.25,173.0
58.5,175.5
58.75,180.0
59.0,184.0
59.25,187.0
59.5,190.0
59.75,193.0
60.0,200.0
60.25,203.5
60.5,207.0
60.75,211.5
61.0,215.5
61.25,220.0
61.5,223.0
61.75,225.0
62.0,230.0
62.25,235.5
62.5,238.5
62.75,242.5
63.0,249.0
63.25,250.5
63.5,252.5
63.75,256.0
64.0,258.0
64.25,260.5
64.5,265.0
64.75,266.0
65.0,269.0
65.25,273.0
65.5,274.5
65.75,277.0
66.0,279.0
66.25,281.5
66.5,284.0
66.75,288.5
67.0,291.0
67.25,292.0
67.5,293.5
67.75,298.5
68.0,301.0
68.25,305.5
68.5,307.5
68.75,312.0
69.0,316.5
69.25,319.5
69.5,322.0
69.75,325.5
70.0,327.0
70.25,329.5
70.5,332.5
70.75,334.5
71.0,335.0
71.25,336.5
71.5,336.5
71.75,339.0
72.0,342.0
72.25,343.0
72.5,346.0
72.75,349.5
73.0,352.0
73.25,353.5
73.5,355.0
73.75,356.5
74.0,358.0
74.25,358.0
74.5,359.0
74.75,359.5
75.0,361.0
75.25,363.0
75.5,364.5
75.75,366.5
76.0,367.5
76.25,368.0
76.5,370.0
76.75,371.5
77.0,372.0
77.25,374.0
77.5,375.0
77.75,376.0
78.0,378.5
78.25,379.0
78.5,379.5
78.75,379.5
79.0,379.5
79.25,381.0
79.5,381.5
79.75,382.5
80.0,383.0
80.25,383.0
80.5,384.0
80.75,384.0
81.0,384.5
81.25,384.5
81.5,385.5
81.75,386.0
82.0,387.0
82.25,388.0
82.5,388.0
82.75,389.0
83.0,389.0
83.25,389.0
83.5,389.5
83.75,389.5
84.0,390.5
84.25,391.5
84.5,391.5
84.75,391.5
85.0,392.5
85.25,392.5
85.5,393.0
85.75,394.0
86.0,395.0
86.25,395.0
86.5,396.0
86.75,397.0
87.0,397.0
87.25,397.0
87.5,397.0
87.75,397.0
88.0,397.5
88.25,397.5
88.5,398.5
88.75,398.5
89.0,398.5
89.25,398.5
89.5,398.5
89.75,398.5
90.0,399.0
90.25,399.5
90.5,399.5
90.75,400.5
91.0,400.5
91.25,401.0
91.5,401.0
91.75,401.0
92.0,401.0
92.25,402.0
92.5,402.5
92.75,402.5
93.0,403.0
93.25,403.0
93.5,403.0
93.75,403.0
94.0,403.0
94.25,403.5
94.5,403.5
94.75,403.5
95.0,403.5
95.25,403.5
95.5,403.5
95.75,403.5
96.0,403.5
96.25,403.5
96.5,403.5
96.75,404.0
97.0,404.5
97.25,404.5
97.5,404.5
97.75,404.5
98.0,405.0
98.25,405.0
98.5,405.0
98.75,405.0
99.0,405.0
99.25,405.0
99.5,405.0
99.75,405.0
100.0,405.0
100.25,405.0
100.5,405.0
100.75,405.0
101.0,405.0
101.25,405.0
101.5,405.0
101.75,405.0
102.0,405.0
102.25,405.0
102.5,405.0
102.75,405.0
103.0,405.0
103.25,405.0
103.5,405.0
103.75,405.0
104.0,405.0
104.25,405.0
104.5,405.0
104.75,405.0
105.0,405.0
105.25,405.0
105.5,405.0
105.75,405.0
106.0,405.0
106.25,405.0
106.5,405.0
106.75,405.0
107.0,405.0
107.25,405.0
107.5,405.5
107.75,405.5
108.0,405.5
108.25,405.5
108.5,405.5
108.75,405.5
109.0,405.5
109.25,405.5
109.5,405.5
109.75,406.0
110.0,406.0
110.25,406.0
110.5,406.0
110.75,406.0
111.0,406.0
111.25,406.0
111.5,406.0
111.75,406.0
112.0,406.0
112.25,406.0
112.5,406.0
112.75,406.0
113.0,406.0
113.25,406.0
113.5,406.0
113.75,406.0
114.0,406.0
114.25,406.0
114.5,406.0
114.75,406.0
115.0,406.0
115.25,406.0
115.5,406.0
115.75,406.0
116.0,406.0
116.25,406.0
116.5,406.0
116.75,406.0
117.0,406.5
117.25,406.5
117.5,406.5
117.75,406.5
118.0,406.5
118.25,406.5
118.5,406.5
118.75,406.5
119.0,406.5
119.25,406.5
119.5,406.5
119.75,406.5
