timestep,lambda C
0.0,0.0
0.25,0.0
0.5,0.0
0.75,5.5241415000000004e-05
1.0,0.1300607
1.25,0.1727265
1.5,0.1298175
1.75,0.14280949999999998
2.0,0.155949
2.25,0.1561595
2.5,0.17757699999999998
2.75,0.1973585
3.0,0.20788199999999998
3.25,0.216895
3.5,0.21543800000000002
3.75,0.2138445
4.0,0.23607699999999998
4.25,0.23884450000000002
4.5,0.2465025
4.75,0.26694249999999997
5.0,0.272121
5.25,0.27445549999999996
5.5,0.2798425
5.75,0.2754345
6.0,0.27378800000000003
6.25,0.27329749999999997
6.5,0.27207499999999996
6.75,0.273803
7.0,0.2692925
7.25,0.2788645
7.5,0.28192649999999997
7.75,0.288077
8.0,0.2852655
8.25,0.287469
8.5,0.28833600000000004
8.75,0.293323
9.0,0.296071
9.25,0.2979965
9.5,0.295307
9.75,0.294374
10.0,0.295183
10.25,0.2975855
10.5,0.2995695
10.75,0.3021775
11.0,0.3039655
11.25,0.308238
11.5,0.3091785
11.75,0.311645
12.0,0.3102935
12.25,0.31149550000000004
12.5,0.3117005
12.75,0.3131685
13.0,0.3104705
13.25,0.3116455
13.5,0.31294350000000004
13.75,0.312489
14.0,0.3153405
14.25,0.315956
14.5,0.31560900000000003
14.75,0.3168555
15.0,0.317584
15.25,0.315483
15.5,0.3144555
15.75,0.314405
16.0,0.31496
16.25,0.3140135
16.5,0.313374
16.75,0.313321
17.0,0.3138565
17.25,0.313118
17.5,0.3124825
17.75,0.3117835
18.0,0.3109375
18.25,0.31075450000000004
18.5,0.3085025
18.75,0.306481
19.0,0.3053345
19.25,0.3035445
19.5,0.3036435
19.75,0.304326
20.0,0.30370850000000005
20.25,0.30353399999999997
20.5,0.3023795
20.75,0.3020455
21.0,0.303589
21.25,0.3036715
21.5,0.303369
21.75,0.303212
22.0,0.3040795
22.25,0.3050895
22.5,0.3065585
22.75,0.306694
23.0,0.30754950000000003
23.25,0.307396
23.5,0.307894
23.75,0.308206
24.0,0.30850449999999996
24.25,0.3081275
24.5,0.30779650000000003
24.75,0.3084575
25.0,0.30832099999999996
25.25,0.3089475
25.5,0.3087955
25.75,0.308836
26.0,0.309304
26.25,0.3091435
26.5,0.3094125
26.75,0.3097615
27.0,0.31027950000000004
27.25,0.310636
27.5,0.310593
27.75,0.31100099999999997
28.0,0.3116315
28.25,0.312005
28.5,0.31212550000000006
28.75,0.3127895
29.0,0.31306500000000004
29.25,0.313638
29.5,0.3140885
29.75,0.3141835
30.0,0.3142755
30.25,0.31461799999999995
30.5,0.3146835
30.75,0.3148955
31.0,0.3145595
31.25,0.31484199999999996
31.5,0.31543699999999997
31.75,0.31577999999999995
32.0,0.3160415
32.25,0.316311
32.5,0.31684599999999996
32.75,0.31737
33.0,0.317898
33.25,0.3182045
33.5,0.3189655
33.75,0.31938500000000003
34.0,0.31983649999999997
34.25,0.320388
34.5,0.3207175
34.75,0.3209265
35.0,0.3213955
35.25,0.3220155
35.5,0.3226205
35.75,0.32286349999999997
36.0,0.3234475
36.25,0.32396199999999997
36.5,0.324781
36.75,0.3253985
37.0,0.3259495
37.25,0.32633650000000003
37.5,0.326646
37.75,0.32722
38.0,0.3276975
38.25,0.32825150000000003
38.5,0.3286425
38.75,0.3290225
39.0,0.3295015
39.25,0.329844
39.5,0.33028
39.75,0.330658
40.0,0.33091099999999996
40.25,0.331351
40.5,0.3317175
40.75,0.332034
41.0,0.3323575
41.25,0.332803
41.5,0.33324
41.75,0.333585
42.0,0.333978
42.25,0.3344745
42.5,0.334935
42.75,0.33523400000000003
43.0,0.33566700000000005
43.25,0.335896
43.5,0.33624450000000006
43.75,0.33657499999999996
44.0,0.336867
44.25,0.3372405
44.5,0.33750250000000004
44.75,0.3378525
45.0,0.338042
45.25,0.33836849999999996
45.5,0.33869950000000004
45.75,0.3389655
46.0,0.33927799999999997
46.25,0.33947400000000005
46.5,0.3397155
46.75,0.3399415
47.0,0.3401685
47.25,0.34037850000000003
47.5,0.340603
47.75,0.340828
48.0,0.3410535
48.25,0.3412365
48.5,0.341395
48.75,0.3415935
49.0,0.341726
49.25,0.3419545
49.5,0.342125
49.75,0.34231100000000003
50.0,0.342464
50.25,0.342595
50.5,0.342747
50.75,0.342865
51.0,0.3430055
51.25,0.3431555
51.5,0.3432855
51.75,0.343451
52.0,0.34358500000000003
52.25,0.34367400000000004
52.5,0.3437525
52.75,0.3438735
53.0,0.3440035
53.25,0.3441225
53.5,0.344182
53.75,0.344284
54.0,0.344329
54.25,0.3443805
54.5,0.3444645
54.75,0.34453199999999995
55.0,0.344642
55.25,0.344693
55.5,0.34477
55.75,0.34481949999999995
56.0,0.34487900000000005
56.25,0.34494899999999995
56.5,0.344986
56.75,0.34506000000000003
57.0,0.345097
57.25,0.3451335
57.5,0.34518499999999996
57.75,0.345192
58.0,0.34524350000000004
58.25,0.34529
58.5,0.3453405
58.75,0.3453505
59.0,0.3453935
59.25,0.345402
59.5,0.34540950000000004
59.75,0.3454465
60.0,0.34547300000000003
60.25,0.34550400000000003
60.5,0.345522
60.75,0.34555600000000003
61.0,0.3455895
61.25,0.34561549999999996
61.5,0.34565650000000003
61.75,0.34567800000000004
62.0,0.345703
62.25,0.345735
62.5,0.345748
62.75,0.345762
63.0,0.34579800000000005
63.25,0.3458035
63.5,0.3458215
63.75,0.3458355
64.0,0.3458605
64.25,0.345878
64.5,0.34590050000000006
64.75,0.345923
65.0,0.34594349999999996
65.25,0.3459775
65.5,0.345991
65.75,0.34598799999999996
66.0,0.3460025
66.25,0.346017
66.5,0.346022
66.75,0.3460555
67.0,0.346064
67.25,0.3460775
67.5,0.34608550000000005
67.75,0.34608799999999995
68.0,0.34609650000000003
68.25,0.346106
68.5,0.3461145
68.75,0.3461195
69.0,0.3461415
69.25,0.346153
69.5,0.34617
69.75,0.34618550000000003
70.0,0.34619350000000004
70.25,0.3461885
70.5,0.346188
70.75,0.346196
71.0,0.3461955
71.25,0.346202
71.5,0.346197
71.75,0.346205
72.0,0.3462045
72.25,0.3462145
72.5,0.3462145
72.75,0.3462215
73.0,0.3462235
73.25,0.3462315
73.5,0.3462315
73.75,0.3462365
74.0,0.346245
74.25,0.34624299999999997
74.5,0.34624299999999997
74.75,0.346248
75.0,0.34625649999999997
75.25,0.346256
75.5,0.34625249999999996
75.75,0.346256
76.0,0.346258
76.25,0.3462615
76.5,0.346278
76.75,0.34627450000000004
77.0,0.3462775
77.25,0.3462845
77.5,0.34628400000000004
77.75,0.34628400000000004
78.0,0.34628950000000003
78.25,0.34629600000000005
78.5,0.34629600000000005
78.75,0.34630249999999996
79.0,0.3463005
79.25,0.3463005
79.5,0.346304
79.75,0.346314
80.0,0.346314
80.25,0.346314
80.5,0.3463175
80.75,0.346321
81.0,0.346321
81.25,0.346324
81.5,0.3463275
81.75,0.346331
82.0,0.3463445
82.25,0.3463445
82.5,0.3463445
82.75,0.3463445
83.0,0.346348
83.25,0.346348
83.5,0.3463545
83.75,0.3463545
84.0,0.3463545
84.25,0.3463525
84.5,0.3463525
84.75,0.3463525
85.0,0.346356
85.25,0.346358
85.5,0.346358
85.75,0.34636100000000003
86.0,0.34636100000000003
86.25,0.3463595
86.5,0.3463595
86.75,0.3463595
87.0,0.3463595
87.25,0.3463575
87.5,0.3463575
87.75,0.3463575
88.0,0.3463605
88.25,0.346364
88.5,0.346364
88.75,0.3463655
89.0,0.346369
89.25,0.346369
89.5,0.346369
89.75,0.3463675
90.0,0.34636849999999997
90.25,0.34636849999999997
90.5,0.34636849999999997
90.75,0.34636849999999997
91.0,0.34636849999999997
91.25,0.34636849999999997
91.5,0.34636849999999997
91.75,0.34636849999999997
92.0,0.34636849999999997
92.25,0.346367
92.5,0.346367
92.75,0.346367
93.0,0.346367
93.25,0.346367
93.5,0.346367
93.75,0.346367
94.0,0.346367
94.25,0.346367
94.5,0.346367
94.75,0.346367
95.0,0.346367
95.25,0.346367
95.5,0.346367
95.75,0.346367
96.0,0.346367
96.25,0.346367
96.5,0.346367
96.75,0.346367
97.0,0.346367
97.25,0.346367
97.5,0.346367
97.75,0.346367
98.0,0.346367
98.25,0.346365
98.5,0.346365
98.75,0.346365
99.0,0.346365
99.25,0.346365
99.5,0.346365
99.75,0.346365
100.0,0.346365
100.25,0.346365
100.5,0.346365
100.75,0.346365
101.0,0.346365
101.25,0.346365
101.5,0.346365
101.75,0.346365
102.0,0.346365
102.25,0.346365
102.5,0.346365
102.75,0.346365
103.0,0.346365
103.25,0.346365
103.5,0.346365
103.75,0.346365
104.0,0.346365
104.25,0.346365
104.5,0.346365
104.75,0.34636849999999997
105.0,0.34636849999999997
105.25,0.34636849999999997
105.5,0.34636849999999997
105.75,0.34636849999999997
106.0,0.34636849999999997
106.25,0.34636849999999997
106.5,0.34636849999999997
106.75,0.34636849999999997
107.0,0.34636849999999997
107.25,0.34636849999999997
107.5,0.34636849999999997
107.75,0.34636849999999997
108.0,0.34636849999999997
108.25,0.34636849999999997
108.5,0.34636849999999997
108.75,0.34636849999999997
109.0,0.34636849999999997
109.25,0.34636849999999997
109.5,0.34636849999999997
109.75,0.34636849999999997
110.0,0.34636849999999997
110.25,0.34636849999999997
110.5,0.34636849999999997
110.75,0.34636849999999997
111.0,0.3463665
111.25,0.3463665
111.5,0.3463665
111.75,0.3463665
112.0,0.3463665
112.25,0.3463665
112.5,0.3463665
112.75,0.3463665
113.0,0.3463665
113.25,0.3463665
113.5,0.3463665
113.75,0.3463665
114.0,0.3463665
114.25,0.3463665
114.5,0.3463665
114.75,0.3463665
115.0,0.3463665
115.25,0.3463665
115.5,0.3463665
115.75,0.3463665
116.0,0.3463665
116.25,0.3463665
116.5,0.3463665
116.75,0.3463665
117.0,0.3463665
117.25,0.3463665
117.5,0.3463665
117.75,0.34637
118.0,0.34637
118.25,0.34637
118.5,0.34637
118.75,0.34637
119.0,0.34637
119.25,0.34637
119.5,0.34637
119.75,0.34637
