timestep,lambda W
0.0,0.0
0.25,0.0
0.5,0.0
0.75,0.250136
1.0,0.2428475
1.25,0.2641735
1.5,0.325866
1.75,0.3258045
2.0,0.372777
2.25,0.412314
2.5,0.405208
2.75,0.400041
3.0,0.40259
3.25,0.40200500000000006
3.5,0.4030865
3.75,0.413354
4.0,0.3969445
4.25,0.3924175
4.5,0.395436
4.75,0.39099300000000003
5.0,0.387869
5.25,0.3827625
5.5,0.38550049999999997
5.75,0.3911975
6.0,0.3894385
6.25,0.39342049999999995
6.5,0.39253899999999997
6.75,0.38928450000000003
7.0,0.38966649999999997
7.25,0.39256749999999996
7.5,0.3928835
7.75,0.39675650000000007
8.0,0.406046
8.25,0.412207
8.5,0.4175835
8.75,0.41711200000000004
9.0,0.41812649999999996
9.25,0.4179675
9.5,0.42305799999999993
9.75,0.41801299999999997
10.0,0.420102
10.25,0.419052
10.5,0.418948
10.75,0.41475400000000007
11.0,0.41435999999999995
11.25,0.41152099999999997
11.5,0.41236949999999994
11.75,0.41277300000000006
12.0,0.41330749999999994
12.25,0.40942599999999996
12.5,0.40868499999999996
12.75,0.40495499999999995
13.0,0.403983
13.25,0.400695
13.5,0.399603
13.75,0.394861
14.0,0.39310049999999996
14.25,0.3903325
14.5,0.391478
14.75,0.3909725
15.0,0.390389
15.25,0.3922785
15.5,0.391453
15.75,0.392826
16.0,0.391969
16.25,0.39252549999999997
16.5,0.392838
16.75,0.393597
17.0,0.39217650000000004
17.25,0.393588
17.5,0.394467
17.75,0.3949715
18.0,0.39569750000000004
18.25,0.39612749999999997
18.5,0.396957
18.75,0.3975155
19.0,0.39702550000000003
19.25,0.39595199999999997
19.5,0.395304
19.75,0.395185
20.0,0.3952275
20.25,0.3950805
20.5,0.39619
20.75,0.396902
21.0,0.3958425
21.25,0.395142
21.5,0.395292
21.75,0.395264
22.0,0.3960705
22.25,0.396144
22.5,0.3957305
22.75,0.3960745
23.0,0.3956575
23.25,0.39543300000000003
23.5,0.39493500000000004
23.75,0.394645
24.0,0.3948285
24.25,0.394757
24.5,0.3943
24.75,0.393526
25.0,0.39325699999999997
25.25,0.39257549999999997
25.5,0.39267799999999997
25.75,0.3927655
26.0,0.3924385
26.25,0.39247299999999996
26.5,0.391209
26.75,0.3903685
27.0,0.38977
27.25,0.389088
27.5,0.3889775
27.75,0.389031
28.0,0.388438
28.25,0.3876
28.5,0.387161
28.75,0.3864725
29.0,0.3864725
29.25,0.3857985
29.5,0.384861
29.75,0.38433
30.0,0.38372549999999994
30.25,0.38320899999999997
30.5,0.382456
30.75,0.3817795
31.0,0.381525
31.25,0.381115
31.5,0.380415
31.75,0.3797295
32.0,0.3785065
32.25,0.37795599999999996
32.5,0.3772365
32.75,0.376559
33.0,0.37569
33.25,0.374554
33.5,0.37377150000000003
33.75,0.373061
34.0,0.3723525
34.25,0.371458
34.5,0.37062550000000005
34.75,0.3699835
35.0,0.369162
35.25,0.36825549999999996
35.5,0.36735549999999995
35.75,0.36648250000000004
36.0,0.365521
36.25,0.36469700000000005
36.5,0.36371600000000004
36.75,0.362919
37.0,0.362086
37.25,0.361414
37.5,0.3607575
37.75,0.36006000000000005
38.0,0.3593025
38.25,0.3585465
38.5,0.35794349999999997
38.75,0.3572495
39.0,0.356417
39.25,0.3557975
39.5,0.3550495
39.75,0.3544775
40.0,0.3538615
40.25,0.3530715
40.5,0.352346
40.75,0.3515875
41.0,0.351028
41.25,0.350381
41.5,0.3498095
41.75,0.34929699999999997
42.0,0.348725
42.25,0.348043
42.5,0.34746699999999997
42.75,0.347016
43.0,0.346376
43.25,0.3458795
43.5,0.34532050000000003
43.75,0.34474399999999994
44.0,0.34419900000000003
44.25,0.34369350000000004
44.5,0.34329149999999997
44.75,0.342803
45.0,0.34247700000000003
45.25,0.3420455
45.5,0.34167800000000004
45.75,0.341341
46.0,0.3409955
46.25,0.3407065
46.5,0.340411
46.75,0.3400565
47.0,0.339712
47.25,0.33940899999999996
47.5,0.339063
47.75,0.33879799999999993
48.0,0.3385455
48.25,0.33827149999999995
48.5,0.3379625
48.75,0.33769399999999994
49.0,0.3374925
49.25,0.3372075
49.5,0.33697
49.75,0.3367825
50.0,0.336598
50.25,0.3364065
50.5,0.33624149999999997
50.75,0.3360565
51.0,0.335845
51.25,0.3357095
51.5,0.3355365
51.75,0.335387
52.0,0.3352485
52.25,0.33512600000000003
52.5,0.33496950000000003
52.75,0.3348565
53.0,0.3346865
53.25,0.3345745
53.5,0.33445400000000003
53.75,0.33433999999999997
54.0,0.33423749999999997
54.25,0.3341365
54.5,0.33404049999999996
54.75,0.33391400000000004
55.0,0.333791
55.25,0.3337195
55.5,0.33365750000000005
55.75,0.3335615
56.0,0.333483
56.25,0.3334025
56.5,0.3333305
56.75,0.33325
57.0,0.3331885
57.25,0.3331245
57.5,0.3330655
57.75,0.3330205
58.0,0.3329615
58.25,0.332914
58.5,0.332862
58.75,0.3328345
59.0,0.332791
59.25,0.33274000000000004
59.5,0.33271100000000003
59.75,0.3326735
60.0,0.33263149999999997
60.25,0.3325935
60.5,0.3325625
60.75,0.33253600000000005
61.0,0.33250749999999996
61.25,0.332472
61.5,0.3324425
61.75,0.33241
62.0,0.332384
62.25,0.3323555
62.5,0.33233250000000003
62.75,0.332315
63.0,0.3322775
63.25,0.33225150000000003
63.5,0.3322275
63.75,0.3322045
64.0,0.332193
64.25,0.33218349999999996
64.5,0.3321695
64.75,0.3321535
65.0,0.33213800000000004
65.25,0.3321185
65.5,0.332101
65.75,0.3320915
66.0,0.33207600000000004
66.25,0.3320555
66.5,0.3320455
66.75,0.33201800000000004
67.0,0.332006
67.25,0.331994
67.5,0.3319795
67.75,0.331962
68.0,0.3319555
68.25,0.3319395
68.5,0.33192750000000004
68.75,0.3319225
69.0,0.331909
69.25,0.331895
69.5,0.331886
69.75,0.3318705
70.0,0.3318635
70.25,0.3318585
70.5,0.3318535
70.75,0.33183950000000006
71.0,0.3318295
71.25,0.331826
71.5,0.33182599999999995
71.75,0.33181900000000003
72.0,0.33181399999999994
72.25,0.331804
72.5,0.331804
72.75,0.3318005
73.0,0.33180200000000004
73.25,0.331795
73.5,0.331795
73.75,0.33179000000000003
74.0,0.331783
74.25,0.3317815
74.5,0.3317815
74.75,0.331776
75.0,0.3317695
75.25,0.3317645
75.5,0.331761
75.75,0.331759
76.0,0.331756
76.25,0.331754
76.5,0.331746
76.75,0.331742
77.0,0.331735
77.25,0.331732
77.5,0.331727
77.75,0.331727
78.0,0.33172199999999996
78.25,0.33171300000000004
78.5,0.33171300000000004
78.75,0.33171000000000006
79.0,0.331708
79.25,0.331708
79.5,0.331706
79.75,0.3317015
80.0,0.3317015
80.25,0.3317015
80.5,0.33169950000000004
80.75,0.3316975
81.0,0.3316975
81.25,0.331696
81.5,0.331694
81.75,0.33169249999999995
82.0,0.33168549999999997
82.25,0.33168549999999997
82.5,0.33168549999999997
82.75,0.33168549999999997
83.0,0.331684
83.25,0.331684
83.5,0.33168050000000004
83.75,0.33168050000000004
84.0,0.33168050000000004
84.25,0.331679
84.5,0.331679
84.75,0.331679
85.0,0.331677
85.25,0.331674
85.5,0.331674
85.75,0.3316725
86.0,0.3316725
86.25,0.3316705
86.5,0.3316705
86.75,0.3316705
87.0,0.3316705
87.25,0.33166850000000003
87.5,0.33166850000000003
87.75,0.33166850000000003
88.0,0.331667
88.25,0.331665
88.5,0.331665
88.75,0.3316615
89.0,0.33165999999999995
89.25,0.33165999999999995
89.5,0.33165999999999995
89.75,0.33165849999999997
90.0,0.33165500000000003
90.25,0.33165500000000003
90.5,0.33165500000000003
90.75,0.33165500000000003
91.0,0.33165500000000003
91.25,0.33165500000000003
91.5,0.33165500000000003
91.75,0.33165500000000003
92.0,0.33165500000000003
92.25,0.33165350000000005
92.5,0.33165350000000005
92.75,0.33165350000000005
93.0,0.33165350000000005
93.25,0.33165350000000005
93.5,0.33165350000000005
93.75,0.33165350000000005
94.0,0.33165350000000005
94.25,0.33165350000000005
94.5,0.33165350000000005
94.75,0.33165350000000005
95.0,0.33165350000000005
95.25,0.33165350000000005
95.5,0.33165350000000005
95.75,0.33165350000000005
96.0,0.33165350000000005
96.25,0.33165350000000005
96.5,0.33165350000000005
96.75,0.33165350000000005
97.0,0.33165350000000005
97.25,0.33165350000000005
97.5,0.33165350000000005
97.75,0.33165350000000005
98.0,0.33165350000000005
98.25,0.331657
98.5,0.331657
98.75,0.331657
99.0,0.331657
99.25,0.331657
99.5,0.331657
99.75,0.331657
100.0,0.331657
100.25,0.331657
100.5,0.331657
100.75,0.331657
101.0,0.331657
101.25,0.331657
101.5,0.331657
101.75,0.331657
102.0,0.331657
102.25,0.331657
102.5,0.331657
102.75,0.331657
103.0,0.331657
103.25,0.331657
103.5,0.331657
103.75,0.331657
104.0,0.331657
104.25,0.331657
104.5,0.331657
104.75,0.33165500000000003
105.0,0.33165500000000003
105.25,0.33165500000000003
105.5,0.33165500000000003
105.75,0.33165500000000003
106.0,0.33165500000000003
106.25,0.33165500000000003
106.5,0.33165500000000003
106.75,0.33165500000000003
107.0,0.33165500000000003
107.25,0.33165500000000003
107.5,0.33165500000000003
107.75,0.33165500000000003
108.0,0.33165500000000003
108.25,0.33165500000000003
108.5,0.33165500000000003
108.75,0.33165500000000003
109.0,0.33165500000000003
109.25,0.33165500000000003
109.5,0.33165500000000003
109.75,0.33165500000000003
110.0,0.33165500000000003
110.25,0.33165500000000003
110.5,0.33165500000000003
110.75,0.33165500000000003
111.0,0.33165350000000005
111.25,0.33165350000000005
111.5,0.33165350000000005
111.75,0.33165350000000005
112.0,0.33165350000000005
112.25,0.33165350000000005
112.5,0.33165350000000005
112.75,0.33165350000000005
113.0,0.33165350000000005
113.25,0.33165350000000005
113.5,0.33165350000000005
113.75,0.33165350000000005
114.0,0.33165350000000005
114.25,0.33165350000000005
114.5,0.33165350000000005
114.75,0.33165350000000005
115.0,0.33165350000000005
115.25,0.33165350000000005
115.5,0.33165350000000005
115.75,0.33165350000000005
116.0,0.33165350000000005
116.25,0.33165350000000005
116.5,0.33165350000000005
116.75,0.33165350000000005
117.0,0.33165350000000005
117.25,0.33165350000000005
117.5,0.33165350000000005
117.75,0.3316515
118.0,0.3316515
118.25,0.3316515
118.5,0.3316515
118.75,0.3316515
119.0,0.3316515
119.25,0.3316515
119.5,0.3316515
119.75,0.3316515
