Time,community,infected,affected,hospitalised,critical,dead,hd_area_affected
0,0,0,2,0,0,0,0
0,1,0,1,0,0,0,0
0,2,0,1,0,0,0,0
0,3,0,1,0,0,0,0
0,4,0,2,0,0,0,0
0,5,0,1,0,0,0,0
0,6,0,2,0,0,0,0
0,7,0,0,0,0,0,0
0,8,0,2,0,0,0,0
0,9,0,0,0,0,0,0
0,10,0,3,0,0,0,0
0,11,0,6,0,0,0,0
0,12,0,2,0,0,0,0
0,13,0,0,0,0,0,0
0,14,0,1,0,0,0,0
0,15,0,0,0,0,0,0
0,16,0,0,0,0,0,0
0,17,0,0,0,0,0,0
0,18,0,3,0,0,0,0
0,19,0,0,0,0,0,0
0,20,0,2,0,0,0,0
0,21,0,1,0,0,0,0
0,22,0,3,0,0,0,0
0,23,0,0,0,0,0,0
0,24,0,1,0,0,0,0
0,25,0,0,0,0,0,0
0,26,0,1,0,0,0,0
0,27,0,3,0,0,0,0
0,28,0,0,0,0,0,0
0,29,0,1,0,0,0,0
0,30,0,1,0,0,0,0
0,31,0,1,0,0,0,0
0,32,0,4,0,0,0,0
0,33,0,3,0,0,0,0
0,34,0,0,0,0,0,0
0,35,0,1,0,0,0,0
0,36,0,3,0,0,0,0
0,37,0,0,0,0,0,0
0,38,0,0,0,0,0,0
0,39,0,0,0,0,0,0
0,40,0,3,0,0,0,0
0,41,0,1,0,0,0,0
0,42,0,1,0,0,0,0
0,43,0,1,0,0,0,0
0,44,0,2,0,0,0,0
0,45,0,0,0,0,0,0
0,46,0,0,0,0,0,0
0,47,0,1,0,0,0,0
0,48,0,2,0,0,0,0
0,49,0,1,0,0,0,0
0,50,0,0,0,0,0,0
0,51,0,3,0,0,0,0
0,52,0,3,0,0,0,0
0,53,0,1,0,0,0,0
0,54,0,1,0,0,0,0
0,55,0,2,0,0,0,0
0,56,0,0,0,0,0,0
0,57,0,3,0,0,0,0
0,58,0,1,0,0,0,0
0,59,0,1,0,0,0,0
0,60,0,2,0,0,0,0
0,61,0,3,0,0,0,0
0,62,0,1,0,0,0,0
0,63,0,1,0,0,0,0
0,64,0,3,0,0,0,0
0,65,0,1,0,0,0,0
0,66,0,0,0,0,0,0
0,67,0,1,0,0,0,0
0,68,0,1,0,0,0,0
0,69,0,3,0,0,0,0
0,70,0,2,0,0,0,0
0,71,0,2,0,0,0,0
0,72,0,1,0,0,0,0
0.25,0,0,2,0,0,0,0
0.25,1,1,1,0,0,0,0
0.25,2,0,1,0,0,0,0
0.25,3,1,1,0,0,0,0
0.25,4,0,2,0,0,0,0
0.25,5,0,1,0,0,0,0
0.25,6,0,2,0,0,0,0
0.25,7,0,0,0,0,0,0
0.25,8,0,2,0,0,0,0
0.25,9,0,0,0,0,0,0
0.25,10,0,3,0,0,0,0
0.25,11,0,6,0,0,0,0
0.25,12,0,2,0,0,0,0
0.25,13,0,0,0,0,0,0
0.25,14,0,1,0,0,0,0
0.25,15,0,0,0,0,0,0
0.25,16,0,0,0,0,0,0
0.25,17,0,0,0,0,0,0
0.25,18,0,3,0,0,0,0
0.25,19,0,0,0,0,0,0
0.25,20,0,2,0,0,0,0
0.25,21,0,1,0,0,0,0
0.25,22,0,3,0,0,0,0
0.25,23,0,0,0,0,0,0
0.25,24,0,1,0,0,0,0
0.25,25,0,0,0,0,0,0
0.25,26,0,1,0,0,0,0
0.25,27,0,3,0,0,0,0
0.25,28,0,0,0,0,0,0
0.25,29,0,1,0,0,0,0
0.25,30,0,1,0,0,0,0
0.25,31,0,1,0,0,0,0
0.25,32,0,4,0,0,0,0
0.25,33,0,3,0,0,0,0
0.25,34,0,0,0,0,0,0
0.25,35,0,1,0,0,0,0
0.25,36,0,3,0,0,0,0
0.25,37,0,0,0,0,0,0
0.25,38,0,0,0,0,0,0
0.25,39,0,0,0,0,0,0
0.25,40,0,3,0,0,0,0
0.25,41,0,1,0,0,0,0
0.25,42,0,1,0,0,0,0
0.25,43,0,1,0,0,0,0
0.25,44,1,2,0,0,0,0
0.25,45,0,0,0,0,0,0
0.25,46,0,0,0,0,0,0
0.25,47,0,1,0,0,0,0
0.25,48,0,2,0,0,0,0
0.25,49,0,1,0,0,0,0
0.25,50,0,0,0,0,0,0
0.25,51,0,3,0,0,0,0
0.25,52,1,3,0,0,0,0
0.25,53,0,1,0,0,0,0
0.25,54,0,1,0,0,0,0
0.25,55,0,2,0,0,0,0
0.25,56,0,0,0,0,0,0
0.25,57,0,3,0,0,0,0
0.25,58,0,1,0,0,0,0
0.25,59,0,1,0,0,0,0
0.25,60,0,2,0,0,0,0
0.25,61,2,3,0,0,0,0
0.25,62,0,1,0,0,0,0
0.25,63,0,1,0,0,0,0
0.25,64,1,3,0,0,0,0
0.25,65,0,1,0,0,0,0
0.25,66,0,0,0,0,0,0
0.25,67,0,1,0,0,0,0
0.25,68,0,1,0,0,0,0
0.25,69,0,3,0,0,0,0
0.25,70,0,2,0,0,0,0
0.25,71,0,2,0,0,0,0
0.25,72,0,1,0,0,0,0
0.5,0,1,2,0,0,0,0
0.5,1,1,1,0,0,0,0
0.5,2,0,1,0,0,0,0
0.5,3,1,1,0,0,0,0
0.5,4,0,2,0,0,0,0
0.5,5,0,1,0,0,0,0
0.5,6,0,2,0,0,0,0
0.5,7,0,0,0,0,0,0
0.5,8,1,2,0,0,0,0
0.5,9,0,0,0,0,0,0
0.5,10,1,3,0,0,0,0
0.5,11,1,6,0,0,0,0
0.5,12,0,2,0,0,0,0
0.5,13,0,0,0,0,0,0
0.5,14,0,1,0,0,0,0
0.5,15,0,0,0,0,0,0
0.5,16,0,0,0,0,0,0
0.5,17,0,0,0,0,0,0
0.5,18,0,3,0,0,0,0
0.5,19,0,0,0,0,0,0
0.5,20,1,2,0,0,0,0
0.5,21,0,1,0,0,0,0
0.5,22,0,3,0,0,0,0
0.5,23,0,0,0,0,0,0
0.5,24,0,1,0,0,0,0
0.5,25,0,0,0,0,0,0
0.5,26,0,1,0,0,0,0
0.5,27,0,3,0,0,0,0
0.5,28,0,0,0,0,0,0
0.5,29,0,1,0,0,0,0
0.5,30,0,1,0,0,0,0
0.5,31,0,1,0,0,0,0
0.5,32,0,4,0,0,0,0
0.5,33,0,3,0,0,0,0
0.5,34,0,0,0,0,0,0
0.5,35,0,1,0,0,0,0
0.5,36,0,3,0,0,0,0
0.5,37,0,0,0,0,0,0
0.5,38,0,0,0,0,0,0
0.5,39,0,0,0,0,0,0
0.5,40,0,3,0,0,0,0
0.5,41,0,1,0,0,0,0
0.5,42,0,1,0,0,0,0
