Time,mean_fraction_lambda_H
0,0
0.25,0
0.5,0
0.75,0.499621
1,0.61536
1.25,0.49997
1.5,0.571371
1.75,0.528729
2,0.312359
2.25,0.272652
2.5,0.299893
2.75,0.166663
3,0.227239
3.25,0.23526
3.5,0.35691
3.75,0.111064
4,0.176112
4.25,0.466433
4.5,0.249927
4.75,0.205849
5,0.333199
5.25,0.368235
5.5,0.234466
5.75,0.199907
6,0.42269
6.25,0.188196
6.5,0.384452
6.75,0.358671
7,0.440347
7.25,0.138671
7.5,0.265699
7.75,0.284971
8,0.324498
8.25,0.276424
8.5,0.242488
8.75,0.213347
9,0.243999
9.25,0.195998
9.5,0.199253
9.75,0.335841
10,0.155659
10.25,0.18939
10.5,0.225698
10.75,0.347284
11,0.236856
11.25,0.299884
11.5,0.276
11.75,0.287784
12,0.306417
12.25,0.282184
12.5,0.274565
12.75,0.309759
13,0.396628
13.25,0.312121
13.5,0.249283
13.75,0.34021
14,0.27977
14.25,0.317768
14.5,0.32331
14.75,0.299914
15,0.224839
15.25,0.284636
15.5,0.265463
15.75,0.246428
16,0.290887
16.25,0.292298
16.5,0.338035
16.75,0.24569
17,0.346087
17.25,0.295415
17.5,0.277997
17.75,0.274529
18,0.279526
18.25,0.289209
18.5,0.325837
18.75,0.346502
19,0.322103
19.25,0.351454
19.5,0.279784
19.75,0.292079
20,0.311327
20.25,0.304991
20.5,0.309949
20.75,0.296588
21,0.291852
21.25,0.311708
21.5,0.313106
21.75,0.314372
22,0.269991
22.25,0.26902
22.5,0.260143
22.75,0.302115
23,0.278641
23.25,0.286733
23.5,0.322636
23.75,0.286025
24,0.289531
24.25,0.305111
24.5,0.318856
24.75,0.318678
25,0.313306
25.25,0.296079
25.5,0.291705
25.75,0.282283
26,0.285754
26.25,0.279379
26.5,0.317992
26.75,0.321537
27,0.289389
27.25,0.293572
27.5,0.314706
27.75,0.28905
28,0.282848
28.25,0.317588
28.5,0.311482
28.75,0.310035
29,0.298145
29.25,0.304884
29.5,0.329609
29.75,0.309801
30,0.323452
30.25,0.308083
30.5,0.322382
30.75,0.304519
31,0.325647
31.25,0.312652
31.5,0.299972
31.75,0.307676
32,0.323693
32.25,0.317132
32.5,0.307814
32.75,0.321613
33,0.299485
33.25,0.355747
33.5,0.30207
33.75,0.312926
34,0.316999
34.25,0.32031
34.5,0.35551
34.75,0.33835
35,0.336399
35.25,0.314071
35.5,0.330952
35.75,0.352452
36,0.353567
36.25,0.34616
36.5,0.321394
36.75,0.337462
37,0.353114
37.25,0.325758
37.5,0.351303
37.75,0.338328
38,0.351058
38.25,0.341878
38.5,0.349512
38.75,0.353376
39,0.366171
39.25,0.346559
39.5,0.342813
39.75,0.328635
40,0.388389
40.25,0.384993
40.5,0.345748
40.75,0.377342
41,0.374277
41.25,0.340942
41.5,0.336782
41.75,0.358359
42,0.369009
42.25,0.37128
42.5,0.363912
42.75,0.383631
43,0.375145
43.25,0.408438
43.5,0.357285
43.75,0.367619
44,0.393986
44.25,0.338975
44.5,0.365657
44.75,0.384516
45,0.410525
45.25,0.380593
45.5,0.358533
45.75,0.348403
46,0.292808
46.25,0.367878
46.5,0.35588
46.75,0.424905
47,0.366131
47.25,0.386399
47.5,0.397022
47.75,0.333248
48,0.390697
48.25,0.37849
48.5,0.416899
48.75,0.391337
49,0.414775
49.25,0.357002
49.5,0.435764
49.75,0.354229
50,0.362059
50.25,0.470578
50.5,0.366659
50.75,0.343647
51,0.401187
51.25,0.269465
51.5,0.433298
51.75,0.383847
52,0.302649
52.25,0.389853
52.5,0.495849
52.75,0.327465
53,0.375298
53.25,0.309257
53.5,0.48287
53.75,0.359229
54,0.418048
54.25,0.446848
54.5,0.380291
54.75,0.433285
55,0.370713
55.25,0.404472
55.5,0.398599
55.75,0.558627
56,0.325585
56.25,0.341141
56.5,0.397622
56.75,0.22566
57,0.547703
57.25,0.439713
57.5,0.352098
57.75,0.578609
58,0.439485
58.25,0.163066
58.5,0.463063
58.75,0.446763
59,0.298597
59.25,0.489217
59.5,0.110675
59.75,0.404549
60,0.321357
60.25,0.244236
60.5,0.659174
60.75,0.326478
61,0.240485
61.25,0.332023
