Time,num_fatalities
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,0
5.5,0
5.75,0
6,0
6.25,0
6.5,0
6.75,0
7,0
7.25,0
7.5,0
7.75,0
8,0
8.25,0
8.5,0
8.75,0
9,0
9.25,0
9.5,0
9.75,0
10,0
10.25,0
10.5,0
10.75,0
11,0
11.25,0
11.5,0
11.75,0
12,0
12.25,0
12.5,0
12.75,0
13,0
13.25,0
13.5,0
13.75,0
14,0
14.25,0
14.5,0
14.75,0
15,0
15.25,0
15.5,0
15.75,0
16,0
16.25,0
16.5,0
16.75,0
17,0
17.25,0
17.5,0
17.75,0
18,0
18.25,0
18.5,0
18.75,0
19,0
19.25,0
19.5,0
19.75,0
20,0
20.25,0
20.5,0
20.75,0
21,0
21.25,0
21.5,0
21.75,0
22,0
22.25,0
22.5,0
22.75,1
23,1
23.25,1
23.5,1
23.75,1
24,1
24.25,1
24.5,1
24.75,1
25,2
25.25,2
25.5,2
25.75,2
26,2
26.25,2
26.5,2
26.75,2
27,2
27.25,2
27.5,2
27.75,2
28,2
28.25,2
28.5,2
28.75,2
29,2
29.25,2
29.5,2
29.75,2
30,2
30.25,2
30.5,2
30.75,2
31,2
31.25,2
31.5,2
31.75,2
32,2
32.25,2
32.5,2
32.75,2
33,2
33.25,2
33.5,3
33.75,3
34,3
34.25,3
34.5,3
34.75,3
35,3
35.25,3
35.5,4
35.75,4
36,4
36.25,4
36.5,4
36.75,5
37,5
37.25,5
37.5,5
37.75,5
38,6
38.25,7
38.5,7
38.75,7
39,8
39.25,8
39.5,8
39.75,8
40,8
40.25,8
40.5,8
40.75,9
41,9
41.25,10
41.5,10
41.75,10
42,10
42.25,11
42.5,11
42.75,14
43,14
43.25,16
43.5,16
43.75,16
44,16
44.25,16
44.5,17
44.75,20
45,20
45.25,22
45.5,22
45.75,23
46,25
46.25,25
46.5,25
46.75,29
47,29
47.25,30
47.5,34
47.75,37
48,39
48.25,39
48.5,39
48.75,40
49,43
49.25,45
49.5,45
49.75,47
50,49
50.25,52
50.5,55
50.75,60
51,64
51.25,66
51.5,67
51.75,69
52,71
52.25,72
52.5,78
52.75,83
53,87
53.25,89
53.5,95
53.75,99
54,105
54.25,112
54.5,120
54.75,121
55,127
55.25,129
55.5,134
55.75,139
56,143
56.25,145
56.5,148
56.75,151
57,157
57.25,162
57.5,168
57.75,172
58,177
58.25,179
58.5,180
58.75,185
59,188
59.25,193
59.5,194
59.75,196
60,201
60.25,204
60.5,209
60.75,212
61,214
61.25,215
61.5,218
61.75,222
62,227
62.25,234
62.5,239
62.75,242
63,250
63.25,251
63.5,253
63.75,259
64,260
64.25,263
64.5,268
64.75,270
65,275
65.25,279
65.5,279
65.75,280
66,282
66.25,286
66.5,289
66.75,292
67,294
67.25,295
67.5,297
67.75,303
68,305
68.25,310
68.5,312
68.75,318
69,325
69.25,329
69.5,334
69.75,339
70,340
70.25,341
70.5,344
70.75,346
71,347
71.25,348
71.5,348
71.75,349
72,351
72.25,353
72.5,358
72.75,362
73,366
73.25,366
73.5,368
73.75,369
74,369
74.25,369
74.5,370
74.75,371
75,373
75.25,374
75.5,376
75.75,376
76,377
76.25,378
76.5,379
76.75,380
77,380
77.25,382
77.5,383
77.75,385
78,386
78.25,386
78.5,387
78.75,387
79,387
79.25,387
79.5,387
79.75,387
80,388
80.25,388
80.5,389
80.75,389
81,390
81.25,390
81.5,390
81.75,390
82,391
82.25,393
82.5,393
82.75,393
83,393
83.25,393
83.5,393
83.75,393
84,394
84.25,395
84.5,395
84.75,395
85,396
85.25,396
85.5,397
85.75,399
86,400
86.25,400
86.5,401
86.75,401
87,401
87.25,401
87.5,401
87.75,401
88,402
88.25,402
88.5,402
88.75,402
89,402
89.25,402
89.5,402
89.75,402
90,402
90.25,403
90.5,403
90.75,404
91,404
91.25,404
91.5,404
91.75,404
92,404
92.25,405
92.5,406
92.75,406
93,407
93.25,407
93.5,407
93.75,407
94,407
94.25,407
94.5,407
94.75,407
95,407
95.25,407
95.5,407
95.75,407
96,407
96.25,407
96.5,407
96.75,408
97,408
97.25,408
97.5,408
97.75,408
98,409
98.25,409
98.5,409
98.75,409
99,409
99.25,409
99.5,409
99.75,409
100,409
100.25,409
100.5,409
100.75,409
101,409
101.25,409
101.5,409
101.75,409
102,409
102.25,409
102.5,409
102.75,409
103,409
103.25,409
103.5,409
103.75,409
104,409
104.25,409
104.5,409
104.75,409
105,409
105.25,409
105.5,409
105.75,409
106,409
106.25,409
106.5,409
106.75,409
107,409
107.25,409
107.5,410
107.75,410
108,410
108.25,410
108.5,410
108.75,410
109,410
109.25,410
109.5,410
109.75,410
110,410
110.25,410
110.5,410
110.75,410
111,410
111.25,410
111.5,410
111.75,410
112,410
112.25,410
112.5,410
112.75,410
113,410
113.25,410
113.5,410
113.75,410
114,410
114.25,410
114.5,410
114.75,410
115,410
115.25,410
115.5,410
115.75,410
116,410
116.25,410
116.5,410
116.75,410
117,410
117.25,410
117.5,410
117.75,410
118,410
118.25,410
118.5,410
118.75,410
119,410
119.25,410
119.5,410
119.75,410
