Time,num_recovered
0,0
0.25,0
0.5,0
0.75,1
1,2
1.25,2
1.5,4
1.75,8
2,12
2.25,20
2.5,24
2.75,26
3,30
3.25,34
3.5,38
3.75,42
4,45
4.25,55
4.5,57
4.75,63
5,74
5.25,77
5.5,84
5.75,95
6,100
6.25,105
6.5,110
6.75,113
7,119
7.25,125
7.5,133
7.75,144
8,161
8.25,175
8.5,186
8.75,194
9,202
9.25,217
9.5,232
9.75,244
10,258
10.25,273
10.5,293
10.75,304
11,332
11.25,348
11.5,371
11.75,393
12,421
12.25,449
12.5,473
12.75,506
13,541
13.25,582
13.5,619
13.75,657
14,691
14.25,734
14.5,785
14.75,832
15,867
15.25,915
15.5,952
15.75,1010
16,1055
16.25,1105
16.5,1160
16.75,1226
17,1294
17.25,1362
17.5,1429
17.75,1523
18,1606
18.25,1686
18.5,1765
18.75,1863
19,1962
19.25,2065
19.5,2184
19.75,2296
20,2408
20.25,2532
20.5,2662
20.75,2786
21,2934
21.25,3091
21.5,3234
21.75,3397
22,3574
22.25,3752
22.5,3930
22.75,4138
23,4349
23.25,4585
23.5,4785
23.75,4995
24,5220
24.25,5449
24.5,5730
24.75,6011
25,6298
25.25,6576
25.5,6881
25.75,7187
26,7487
26.25,7840
26.5,8209
26.75,8581
27,8933
27.25,9322
27.5,9744
27.75,10146
28,10605
28.25,11058
28.5,11525
28.75,11974
29,12480
29.25,13005
29.5,13535
29.75,14102
30,14640
30.25,15247
30.5,15839
30.75,16472
31,17124
31.25,17836
31.5,18534
31.75,19228
32,19935
32.25,20625
32.5,21317
32.75,22118
33,22863
33.25,23658
33.5,24530
33.75,25394
34,26233
34.25,27111
34.5,28013
34.75,28913
35,29829
35.25,30731
35.5,31639
35.75,32605
36,33577
36.25,34506
36.5,35472
36.75,36462
37,37516
37.25,38540
37.5,39536
37.75,40558
38,41559
38.25,42569
38.5,43587
38.75,44568
39,45565
39.25,46614
39.5,47637
39.75,48684
40,49711
40.25,50756
40.5,51694
40.75,52727
41,53732
41.25,54725
41.5,55601
41.75,56568
42,57542
42.25,58517
42.5,59438
42.75,60352
43,61228
43.25,62078
43.5,62962
43.75,63828
44,64660
44.25,65520
44.5,66368
44.75,67236
45,68016
45.25,68818
45.5,69582
45.75,70385
46,71154
46.25,71903
46.5,72645
46.75,73370
47,74095
47.25,74724
47.5,75384
47.75,75992
48,76652
48.25,77250
48.5,77857
48.75,78462
49,79025
49.25,79576
49.5,80130
49.75,80655
50,81183
50.25,81729
50.5,82266
50.75,82733
51,83186
51.25,83656
51.5,84143
51.75,84514
52,84943
52.25,85338
52.5,85721
52.75,86089
53,86486
53.25,86840
53.5,87157
53.75,87506
54,87848
54.25,88197
54.5,88499
54.75,88763
55,89034
55.25,89326
55.5,89601
55.75,89851
56,90092
56.25,90334
56.5,90579
56.75,90798
57,91025
57.25,91239
57.5,91426
57.75,91615
58,91811
58.25,92014
58.5,92206
58.75,92373
59,92515
59.25,92669
59.5,92823
59.75,92971
60,93113
60.25,93237
60.5,93377
60.75,93506
61,93640
61.25,93768
61.5,93873
61.75,93991
62,94091
62.25,94202
62.5,94310
62.75,94424
63,94527
63.25,94648
63.5,94742
63.75,94843
64,94926
64.25,95007
64.5,95077
64.75,95141
65,95210
65.25,95281
65.5,95341
65.75,95407
66,95472
66.25,95539
66.5,95582
66.75,95632
67,95692
67.25,95736
67.5,95785
67.75,95833
68,95865
68.25,95908
68.5,95948
68.75,95987
69,96022
69.25,96054
69.5,96095
69.75,96139
70,96180
70.25,96198
70.5,96219
70.75,96247
71,96274
71.25,96300
71.5,96334
71.75,96352
72,96375
72.25,96409
72.5,96428
72.75,96443
73,96465
73.25,96488
73.5,96503
73.75,96528
74,96543
74.25,96555
74.5,96577
74.75,96595
75,96608
75.25,96625
75.5,96639
75.75,96656
76,96670
76.25,96686
76.5,96701
76.75,96715
77,96730
77.25,96738
77.5,96750
77.75,96765
78,96776
78.25,96786
78.5,96791
78.75,96799
79,96811
79.25,96816
79.5,96823
79.75,96828
80,96835
80.25,96842
80.5,96847
80.75,96851
81,96857
81.25,96863
81.5,96866
81.75,96871
82,96880
82.25,96882
82.5,96886
