Time,susceptible_lambda
0,0
0.25,0
0.5,26.9636
0.75,45.4121
1,36.5436
1.25,63.3932
1.5,86.4212
1.75,80.7198
2,77.6891
2.25,75.7992
2.5,65.4785
2.75,77.7419
3,58.1628
3.25,61.7416
3.5,52.5556
3.75,53.6293
4,87.9123
4.25,107.423
4.5,142.442
4.75,160.088
5,163.64
5.25,171.937
5.5,133.81
5.75,167.429
6,150.634
6.25,170.989
6.5,161.768
6.75,154.885
7,140.479
7.25,202.089
7.5,175.198
7.75,271.436
8,259.32
8.25,237.676
8.5,233.912
8.75,229.76
9,268.877
9.25,315.582
9.5,321.504
9.75,310.409
10,309.433
10.25,321.218
10.5,391.093
10.75,430.919
11,432.305
11.25,420.353
11.5,443.966
11.75,427.762
12,447.763
12.25,427.826
12.5,504.988
12.75,518.305
13,545.502
13.25,533.126
13.5,636.001
13.75,596.159
14,690.321
14.25,792.128
14.5,716.114
14.75,678.634
15,687.545
15.25,777.238
15.5,820.74
15.75,899.303
16,868.231
16.25,872.017
16.5,956.203
16.75,1060.03
17,1109.96
17.25,1147.45
17.5,1277.57
17.75,1279.15
18,1389.02
18.25,1532.23
18.5,1550.67
18.75,1829.23
19,1987.39
19.25,1972.96
19.5,1912.96
19.75,1946.67
20,1953.5
20.25,2057.92
20.5,2215.6
20.75,2150.84
21,2197.27
21.25,2346.67
21.5,2505.69
21.75,2477.55
22,2441.45
22.25,2543.01
22.5,2603.63
22.75,2785.8
23,2872.72
23.25,2958.4
23.5,3026.89
23.75,3211.86
24,3376.49
24.25,3728.26
24.5,3689.5
24.75,3867.63
25,4001.64
25.25,3854.06
25.5,4036.4
25.75,3919.03
26,4179.64
26.25,4611.29
26.5,4517.8
26.75,4348.96
27,4441.38
27.25,4873.85
27.5,4864.67
27.75,5057.94
28,5094.84
28.25,5178.39
28.5,5322.45
28.75,5302.2
29,5460.06
29.25,5722.54
29.5,5585.55
29.75,5569.68
30,5624.48
30.25,5581.12
30.5,5536.6
30.75,5599.46
31,5734.31
31.25,5578.32
31.5,5479.49
31.75,5558.52
32,5581.91
32.25,5453.67
32.5,5504.59
32.75,5464.88
33,5610.1
33.25,5223.23
33.5,5255.1
33.75,5029.36
34,4937.47
34.25,5076.74
34.5,4948.64
34.75,4833.96
35,4624.28
35.25,4440.81
35.5,4422.82
35.75,4441.97
36,4293.25
36.25,4163.54
36.5,4161.73
36.75,3937.37
37,3732.69
37.25,3742.16
37.5,3676.51
37.75,3458.76
38,3343.42
38.25,3177.24
38.5,3087.9
38.75,2966.37
39,2797.58
39.25,2793.64
39.5,2655.15
39.75,2637.3
40,2510.75
40.25,2267.11
40.5,2361.09
40.75,2120.63
41,2024.13
41.25,1934.79
41.5,1845.21
41.75,1812.96
42,1758.71
42.25,1643.49
42.5,1529.22
42.75,1439.3
43,1319.42
43.25,1295.16
43.5,1215.84
43.75,1252.97
44,1084.15
44.25,1027.59
44.5,985.939
44.75,1036.42
45,849.213
45.25,828.343
45.5,756.214
45.75,739.559
46,731.727
46.25,726.564
46.5,688.065
46.75,686.845
47,587.665
47.25,562.366
47.5,537.23
47.75,493.55
48,500.65
48.25,541.739
48.5,446.884
48.75,478.274
49,431.505
49.25,436.562
49.5,397.749
49.75,388.493
50,364.622
50.25,311.299
50.5,300.127
50.75,290.734
51,261.308
51.25,288.44
51.5,239.303
51.75,227.326
52,229.373
52.25,220.544
52.5,195.872
52.75,195.369
53,158.09
53.25,190.637
53.5,171.715
53.75,165.016
54,170.269
54.25,157.532
54.5,166.511
54.75,130.702
55,111.631
55.25,129.866
55.5,118.304
55.75,126.033
56,104.959
56.25,102.018
56.5,88.5487
56.75,98.4351
57,98.9973
57.25,85.1014
57.5,98.7552
57.75,78.4759
58,75.0799
58.25,71.1082
58.5,66.0172
58.75,68.9706
59,68.9657
59.25,56.722
59.5,57.8599
59.75,48.0771
60,44.9415
60.25,43.0815
60.5,42.0963
60.75,41.3854
61,40.8646
61.25,38.3806
61.5,38.4301
61.75,44.4501
62,43.2466
62.25,40.5968
62.5,30.9272
62.75,35.4834
63,53.2145
63.25,28.3625
63.5,23.9148
63.75,22.7512
64,28.7981
64.25,26.2748
