Time,susceptible_lambda_C
0,0
0.25,0
0.5,2.50863
0.75,4.87096
1,5.62456
1.25,8.84005
1.5,12.3942
1.75,14.1159
2,15.6002
2.25,15.6414
2.5,15.7873
2.75,17.4516
3,15.2879
3.25,16.7521
3.5,16.3661
3.75,16.7507
4,20.5723
4.25,22.3532
4.5,29.0798
4.75,33.4067
5,33.8438
5.25,38.8344
5.5,35.4448
5.75,36.3786
6,36.5359
6.25,38.6221
6.5,39.9248
6.75,39.6078
7,40.7556
7.25,48.0007
7.5,48.7498
7.75,58.5194
8,67.1371
8.25,69.3769
8.5,70.231
8.75,69.3106
9,81.5583
9.25,90.6929
9.5,96.7656
9.75,99.7355
10,100.436
10.25,102.103
10.5,115.166
10.75,125.696
11,127.389
11.25,131.774
11.5,137.274
11.75,129.407
12,132.985
12.25,135.187
12.5,145.42
12.75,150.918
13,164.082
13.25,166.908
13.5,184.308
13.75,190.072
14,206.337
14.25,220.445
14.5,218.25
14.75,227.664
15,229.831
15.25,239.509
15.5,251.862
15.75,260.757
16,260.897
16.25,266.837
16.5,285.46
16.75,283.988
17,300.645
17.25,311.054
17.5,336.22
17.75,340.185
18,355.878
18.25,385.84
18.5,395.064
18.75,449.442
19,508.161
19.25,537.911
19.5,532.992
19.75,552.935
20,568.923
20.25,590.043
20.5,600.238
20.75,628.676
21,643.915
21.25,679.982
21.5,724.514
21.75,751.028
22,772.469
22.25,789.789
22.5,814.522
22.75,843.907
23,846.081
23.25,860.016
23.5,903.694
23.75,950.282
24,988.245
24.25,1036.11
24.5,1050.37
24.75,1108.91
25,1154.15
25.25,1166
25.5,1197.62
25.75,1197.8
26,1240.48
26.25,1280.75
26.5,1307.76
26.75,1316.97
27,1346.05
27.25,1392.47
27.5,1417.4
27.75,1450.7
28,1466.55
28.25,1488.39
28.5,1507.65
28.75,1540.47
29,1583.85
29.25,1619.21
29.5,1641.1
29.75,1640.55
30,1666.53
30.25,1690.71
30.5,1681.09
30.75,1693.86
31,1725.28
31.25,1719.08
31.5,1725.22
31.75,1717.8
32,1726.89
32.25,1728.47
32.5,1726.7
32.75,1721.59
33,1735.77
33.25,1709.74
33.5,1692.54
33.75,1640.5
34,1616.92
34.25,1602.45
34.5,1586.59
34.75,1563.91
35,1547.31
35.25,1509.64
35.5,1481.85
35.75,1475.69
36,1455.89
36.25,1419.42
36.5,1387.99
36.75,1345.8
37,1308.14
37.25,1270.15
37.5,1244.59
37.75,1210.09
38,1172.28
38.25,1130.62
38.5,1103.72
38.75,1076.84
39,1037.16
39.25,1001.47
39.5,970.25
39.75,934.117
40,896.07
40.25,859.37
40.5,837.076
40.75,804.495
41,775.43
41.25,743.915
41.5,712.23
41.75,684.796
42,655.05
42.25,624.518
42.5,594.024
42.75,563.219
43,530.497
43.25,510.612
43.5,489.229
43.75,473.438
44,450.463
44.25,428.391
44.5,405.088
44.75,390.268
45,371.93
45.25,356.884
45.5,339.014
45.75,326.862
46,313.978
46.25,300.086
46.5,287.502
46.75,272.55
47,258.094
47.25,248.161
47.5,237.699
47.75,228.429
48,219.774
48.25,213.203
48.5,204.259
48.75,193.249
49,184.583
49.25,175.416
49.5,165.965
49.75,159.864
50,153.84
50.25,147.241
50.5,142.174
50.75,137.848
51,132.216
51.25,127.472
51.5,121.22
51.75,116.655
52,111.674
52.25,106.563
52.5,102.841
52.75,98.1605
53,92.8355
53.25,89.781
53.5,86.8466
53.75,83.0122
54,79.8526
54.25,74.5128
54.5,71.3891
54.75,66.9491
55,63.1854
55.25,60.7346
55.5,58.0381
55.75,54.5239
56,53.0329
56.25,51.3419
56.5,47.6528
56.75,46.4761
57,44.7224
57.25,43.8776
57.5,42.5891
57.75,41.3109
58,40.5149
58.25,38.5818
58.5,36.5946
58.75,35.6892
59,34.8152
59.25,33.5143
59.5,31.6105
59.75,30.0162
60,28.8839
60.25,27.6466
60.5,26.4762
60.75,25.8644
61,25.4378
61.25,24.6995
61.5,23.8509
61.75,22.9636
62,22.4816
62.25,21.3529
62.5,21.0267
62.75,20.2522
63,19.7339
63.25,18.7968
63.5,18.0369
63.75,17.433
64,16.8625
64.25,16.213
64.5,15.6543
