Time,total_fraction_lambda_C
0,-nan
0.25,-nan
0.5,-nan
0.75,2.22421e-05
1,3.50091e-05
1.25,9.77231e-05
1.5,9.52373e-05
1.75,9.84586e-05
2,0.00017647
2.25,0.000379427
2.5,0.000266738
2.75,0.000423727
3,0.000339853
3.25,0.0003031
3.5,0.000398792
3.75,0.00351051
4,inf
4.25,0.000483125
4.5,0.000297135
4.75,0.000554161
5,0.000414509
5.25,0.000363921
5.5,0.000551228
5.75,0.00158799
6,0.000598808
6.25,0.00131112
6.5,0.000601889
6.75,0.00104869
7,0.000525505
7.25,0.00736086
7.5,0.000563986
7.75,0.00125153
8,0.000559479
8.25,0.00152373
8.5,0.00223543
8.75,0.00341789
9,0.00241538
9.25,0.00218422
9.5,0.00123128
9.75,0.00177021
10,0.00358318
10.25,0.0040845
10.5,0.00188663
10.75,0.00176563
11,0.00247923
11.25,0.00246469
11.5,0.00300679
11.75,0.00289367
12,0.00305235
12.25,0.00263128
12.5,0.00355607
12.75,0.00321609
13,0.00305084
13.25,0.00334468
13.5,0.0043109
13.75,0.00337817
14,0.00568105
14.25,0.00424238
14.5,0.00280805
14.75,0.00411048
15,0.00588202
15.25,0.00541026
15.5,0.0034854
15.75,0.00570368
16,0.00420849
16.25,0.00691084
16.5,0.00716566
16.75,0.00675621
17,0.00453289
17.25,0.00603262
17.5,0.00688099
17.75,0.00579333
18,0.00600853
18.25,0.0049082
18.5,0.00579269
18.75,0.00575077
19,0.00516286
19.25,0.0063898
19.5,0.00888755
19.75,0.00971317
20,0.0104284
20.25,0.014864
20.5,0.0118931
20.75,0.00876979
21,0.0141215
21.25,0.0124099
21.5,0.0129294
21.75,0.0127803
22,0.0165396
22.25,0.0211703
22.5,0.0197668
22.75,0.0208281
23,0.0204283
23.25,0.018735
23.5,0.0156666
23.75,0.0188714
24,0.0229363
24.25,0.0230585
24.5,0.0170871
24.75,0.0211423
25,0.0239491
25.25,0.0238455
25.5,0.0292336
25.75,0.0285937
26,0.0364908
26.25,0.0303046
26.5,0.0225338
26.75,0.028329
27,0.0347189
27.25,0.0390256
27.5,0.0280311
27.75,0.0370297
28,0.0339426
28.25,0.0339636
28.5,0.0354984
28.75,0.0346945
29,0.0390801
29.25,0.0385443
29.5,0.0371591
29.75,0.0414223
30,0.0414033
30.25,0.0451652
30.5,0.0453037
30.75,0.0503723
31,0.0447916
31.25,0.0503643
31.5,0.0545228
31.75,0.0566544
32,0.0545279
32.25,0.0550084
32.5,0.0614689
32.75,0.0613699
33,0.0612572
33.25,0.0530792
33.5,0.0676946
33.75,0.0599116
34,0.0662912
34.25,0.0691942
34.5,0.0580506
34.75,0.0633781
35,0.0614741
35.25,0.0693081
35.5,0.0748872
35.75,0.0638995
36,0.0636607
36.25,0.0696657
36.5,0.0697911
36.75,0.0675986
37,0.0729697
37.25,0.0788222
37.5,0.0679646
37.75,0.0697744
38,0.0750436
38.25,0.0781705
38.5,0.071285
38.75,0.0722136
39,0.0740488
39.25,0.0835268
39.5,0.0702126
39.75,0.0865841
40,0.0680006
40.25,0.0692283
40.5,0.0878117
40.75,0.0589332
41,0.076845
41.25,0.0873538
41.5,0.0896066
41.75,0.0903563
42,0.077364
42.25,0.0707434
42.5,0.0798463
42.75,0.0852653
43,0.0811225
43.25,0.0823456
43.5,0.0780044
43.75,0.0858439
44,0.0655144
44.25,0.11047
44.5,0.0859777
44.75,0.0794954
45,0.0513867
45.25,0.102923
45.5,0.0887366
45.75,0.0790458
46,0.110338
46.25,0.0715394
46.5,0.0625262
46.75,0.0601011
47,0.0474181
47.25,0.0740458
47.5,0.063317
47.75,0.0593483
48,0.0784324
48.25,0.0564036
48.5,0.0375394
48.75,0.0803003
49,0.035439
49.25,0.0834937
49.5,0.0554238
49.75,0.0509777
50,0.0491283
50.25,0.0387673
50.5,0.0432668
50.75,0.0536981
51,0.0601546
51.25,0.081937
51.5,0.036703
51.75,0.081121
52,0.0948012
52.25,0.0419727
52.5,0.0354383
52.75,0.0698655
53,0.0371966
53.25,0.14067
53.5,0.0232132
53.75,0.0519144
54,0.0477684
54.25,0.0220248
54.5,0.0443823
54.75,0.0233573
55,0.0622324
55.25,0.108377
55.5,0.0203756
55.75,0.0364006
56,0.0249546
56.25,0.055802
56.5,0.0344748
56.75,0.130098
57,0.0117217
57.25,0.0113192
57.5,0.0474969
57.75,0.0109749
58,0.0990332
58.25,0.0593866
58.5,0.0367697
58.75,0.0197826
59,0.0246918
59.25,0.0157322
59.5,0.0340393
59.75,0.014442
60,0.0525254
60.25,0.151926
60.5,0.0702915
60.75,0.0363964
61,inf
61.25,0.0240907
61.5,0.110904
61.75,0.0416163
62,0.0121546
62.25,0.00888561
62.5,0.0137379
62.75,inf
63,0.0403276
63.25,0.00409416
63.5,inf
63.75,inf
64,inf
64.25,0.042792
64.5,inf
64.75,0.00955471
65,0.00386156
65.25,inf
65.5,0.00294554
65.75,inf
66,inf
66.25,0.00748849
66.5,inf
66.75,0.0491466
67,inf
67.25,0.0158876
67.5,0.00497061
67.75,0.0143974
68,inf
68.25,0.00494637
68.5,inf
68.75,-nan
69,inf
69.25,0.00230369
69.5,inf
69.75,inf
70,inf
70.25,inf
70.5,-nan
70.75,inf
71,0.00309709
71.25,inf
71.5,inf
71.75,inf
72,inf
72.25,0.00307836
72.5,inf
72.75,-nan
73,inf
73.25,0.00110588
73.5,-nan
73.75,inf
74,inf
74.25,inf
74.5,-nan
74.75,inf
75,inf
75.25,0.000389373
75.5,0.000314359
75.75,inf
76,inf
76.25,-nan
76.5,inf
76.75,inf
77,inf
77.25,-nan
77.5,inf
77.75,-nan
78,0.00155514
78.25,0.000319899
78.5,-nan
78.75,inf
79,inf
79.25,-nan
79.5,inf
79.75,inf
80,-nan
80.25,-nan
80.5,inf
80.75,-nan
81,-nan
81.25,inf
81.5,inf
81.75,-nan
82,-nan
82.25,-nan
82.5,-nan
82.75,-nan
