Time,total_fraction_lambda_H
0,-nan
0.25,-nan
0.5,-nan
0.75,1.04083
1,1.04299
1.25,1.16586
1.5,1.06437
1.75,1.04849
2,1.00782
2.25,0.971841
2.5,1.03632
2.75,1.00872
3,1.02491
3.25,1.11341
3.5,1.01493
3.75,1.02994
4,inf
4.25,1.03116
4.5,0.965951
4.75,1.04469
5,0.977259
5.25,1.01892
5.5,0.960794
5.75,1.01488
6,1.00315
6.25,0.942418
6.5,1.04506
6.75,1.00113
7,1.01751
7.25,1.40689
7.5,0.925159
7.75,0.995266
8,0.975328
8.25,0.944251
8.5,0.891599
8.75,0.77866
9,0.932219
9.25,0.927496
9.5,0.897123
9.75,0.946179
10,0.801718
10.25,0.781484
10.5,0.891322
10.75,0.945681
11,0.886673
11.25,0.919866
11.5,0.887649
11.75,0.961128
12,0.888479
12.25,0.979599
12.5,0.947489
12.75,0.94157
13,0.962797
13.25,0.967664
13.5,0.962477
13.75,0.977294
14,0.952486
14.25,0.948415
14.5,0.96643
14.75,0.898613
15,0.927511
15.25,0.896317
15.5,0.957903
15.75,0.938251
16,0.95771
16.25,0.926459
16.5,0.943415
16.75,0.924907
17,0.962958
17.25,0.935793
17.5,0.933259
17.75,0.935482
18,0.93889
18.25,0.955173
18.5,0.923942
18.75,0.930986
19,0.953061
19.25,0.94586
19.5,0.939373
19.75,0.921508
20,0.905199
20.25,0.882798
20.5,0.908333
20.75,0.935713
21,0.906343
21.25,0.923945
21.5,0.916475
21.75,0.922012
22,0.893611
22.25,0.891225
22.5,0.90174
22.75,0.882006
23,0.891215
23.25,0.88938
23.5,0.914414
23.75,0.865787
24,0.887194
24.25,0.891651
24.5,0.922672
24.75,0.901316
25,0.893272
25.25,0.881795
25.5,0.860153
25.75,0.865605
26,0.814339
26.25,0.85647
26.5,0.903369
26.75,0.881621
27,0.850263
27.25,0.83293
27.5,0.883036
27.75,0.836722
28,0.855379
28.25,0.856929
28.5,0.852516
28.75,0.862484
29,0.845366
29.25,0.856103
29.5,0.857467
29.75,0.843051
30,0.843668
30.25,0.833238
30.5,0.834678
30.75,0.81347
31,0.832904
31.25,0.829996
31.5,0.823571
31.75,0.815956
32,0.825446
32.25,0.820168
32.5,0.790669
32.75,0.806934
33,0.804424
33.25,0.837659
33.5,0.795726
33.75,0.805221
34,0.801982
34.25,0.803102
34.5,0.82944
34.75,0.81239
35,0.823616
35.25,0.802441
35.5,0.792265
35.75,0.813529
36,0.841723
36.25,0.808962
36.5,0.814485
36.75,0.821593
37,0.814897
37.25,0.798911
37.5,0.808999
37.75,0.807137
38,0.808964
38.25,0.805857
38.5,0.820303
38.75,0.837863
39,0.833875
39.25,0.810524
39.5,0.848107
39.75,0.784973
40,0.846314
40.25,0.846932
40.5,0.812784
40.75,0.848839
41,0.843424
41.25,0.811571
41.5,0.802436
41.75,0.81082
42,0.831633
42.25,0.86424
42.5,0.835781
42.75,0.815735
43,0.856885
43.25,0.83931
43.5,0.860887
43.75,0.842387
44,0.874544
44.25,0.774312
44.5,0.829825
44.75,0.855918
45,0.896369
45.25,0.825864
45.5,0.820058
45.75,0.863306
46,0.81795
46.25,0.821483
46.5,0.853756
46.75,0.907238
47,0.895054
47.25,0.867612
47.5,0.892035
47.75,0.899358
48,0.884023
48.25,0.928366
48.5,0.952683
48.75,0.919071
49,0.950056
49.25,0.885528
49.5,0.943623
49.75,0.932218
50,0.946707
50.25,0.895107
50.5,0.933989
50.75,0.938661
51,0.894498
51.25,0.875471
51.5,0.947556
51.75,0.953894
52,0.886996
52.25,0.988835
52.5,0.965774
52.75,1.05403
53,0.970918
53.25,1.01454
53.5,1.02468
53.75,1.05426
54,1.01974
54.25,1.00635
54.5,1.0001
54.75,0.994509
55,0.971186
55.25,1.1927
55.5,1.02226
55.75,1.05493
56,1.02859
56.25,1.08115
56.5,1.04321
56.75,1.24467
57,1.03865
57.25,1.00251
57.5,1.15725
57.75,1.0087
58,1.2238
58.25,1.2192
58.5,1.04301
58.75,1.02008
59,1.03468
59.25,1.05942
59.5,1.15585
59.75,1.01367
60,1.01605
60.25,1.90405
60.5,1.27644
60.75,1.11372
61,inf
61.25,1.39621
61.5,1.00152
61.75,1.13586
62,1.06105
62.25,1.0562
62.5,1.07679
62.75,inf
63,1.24177
63.25,1.01537
63.5,inf
63.75,inf
64,inf
64.25,1.96429
64.5,-nan
64.75,1.07819
65,1.03247
65.25,inf
65.5,1.06737
65.75,inf
66,inf
66.25,1.19989
66.5,-nan
66.75,1.15285
67,-nan
67.25,1.07151
67.5,1.00758
67.75,1.03592
68,-nan
68.25,1.28632
68.5,-nan
68.75,-nan
69,-nan
69.25,1.03044
69.5,-nan
69.75,inf
70,-nan
70.25,inf
70.5,-nan
70.75,-nan
71,1.4759
71.25,-nan
71.5,-nan
71.75,inf
72,inf
72.25,1.24732
72.5,-nan
72.75,-nan
73,-nan
73.25,1.11607
73.5,-nan
73.75,inf
74,-nan
74.25,inf
74.5,-nan
74.75,-nan
75,inf
75.25,1.10218
75.5,1.11533
75.75,-nan
76,inf
76.25,-nan
76.5,-nan
76.75,inf
77,inf
77.25,-nan
77.5,inf
77.75,-nan
78,1.91374
78.25,1.07034
78.5,-nan
78.75,-nan
79,inf
79.25,-nan
79.5,-nan
79.75,-nan
80,-nan
80.25,-nan
80.5,-nan
80.75,-nan
81,-nan
81.25,-nan
81.5,-nan
81.75,-nan
82,-nan
82.25,-nan
82.5,-nan
82.75,-nan
83,-nan
83.25,-nan
83.5,-nan
83.75,-nan
84,-nan
84.25,-nan
84.5,-nan
84.75,-nan
85,-nan
85.25,1.2253
85.5,-nan
85.75,-nan
86,-nan
86.25,-nan
86.5,-nan
86.75,-nan
87,-nan
87.25,inf
87.5,-nan
87.75,-nan
88,-nan
88.25,-nan
88.5,-nan
88.75,-nan
89,-nan
89.25,-nan
89.5,-nan
89.75,-nan
90,1.21653
90.25,-nan
90.5,-nan
