Time,total_fraction_lambda_W
0,-nan
0.25,-nan
0.5,-nan
0.75,0.0651133
1,0.0270648
1.25,0.000490472
1.5,0.040198
1.75,0.0287743
2,0.0390314
2.25,0.113035
2.5,0.0613477
2.75,0.0341047
3,0.0636327
3.25,0.0269132
3.5,0.0219674
3.75,0.416137
4,inf
4.25,0.0447677
4.5,0.0746857
4.75,0.0479041
5,0.0298659
5.25,0.0223979
5.5,0.0593141
5.75,0.117315
6,0.053241
6.25,0.132759
6.5,0.0462482
6.75,0.0476752
7,0.0212013
7.25,0.314705
7.5,0.0799862
7.75,0.0692757
8,0.0532509
8.25,0.0838141
8.5,0.147812
8.75,0.274814
9,0.105241
9.25,0.116833
9.5,0.117872
9.75,0.076508
10,0.231741
10.25,0.291327
10.5,0.133635
10.75,0.0668936
11,0.128711
11.25,0.0832715
11.5,0.133943
11.75,0.0732474
12,0.133051
12.25,0.0412781
12.5,0.0652877
12.75,0.0850404
13,0.056078
13.25,0.0551168
13.5,0.0587117
13.75,0.0394716
14,0.0736549
14.25,0.0592567
14.5,0.04404
14.75,0.103126
15,0.0781096
15.25,0.124749
15.5,0.0491991
15.75,0.0716273
16,0.0459244
16.25,0.0779343
16.5,0.0648442
16.75,0.0818901
17,0.0462539
17.25,0.0719704
17.5,0.0778353
17.75,0.0666092
18,0.0606909
18.25,0.0466365
18.5,0.0738313
18.75,0.0678071
19,0.0478915
19.25,0.0516397
19.5,0.0574
19.75,0.076256
20,0.0875423
20.25,0.108818
20.5,0.0851495
20.75,0.0608523
21,0.0853009
21.25,0.0713839
21.5,0.0755801
21.75,0.0694875
22,0.0915747
22.25,0.0916233
22.5,0.0839274
22.75,0.100132
23,0.0943688
23.25,0.0960108
23.5,0.0737433
23.75,0.119516
24,0.0915654
24.25,0.0892335
24.5,0.0631989
24.75,0.0809367
25,0.0852403
25.25,0.0963693
25.5,0.112805
25.75,0.10964
26,0.150602
26.25,0.114962
26.5,0.0755896
26.75,0.0909156
27,0.116222
27.25,0.130659
27.5,0.0899956
27.75,0.129707
28,0.11284
28.25,0.110711
28.5,0.11479
28.75,0.104489
29,0.117273
29.25,0.107149
29.5,0.107062
29.75,0.117623
30,0.115623
30.25,0.124553
30.5,0.121201
30.75,0.138889
31,0.125128
31.25,0.12102
31.5,0.12459
31.75,0.129995
32,0.121623
32.25,0.126213
32.5,0.149229
32.75,0.134271
33,0.135628
33.25,0.109732
33.5,0.1395
33.75,0.136062
34,0.133056
34.25,0.130284
34.5,0.113627
34.75,0.126695
35,0.116202
35.25,0.130106
35.5,0.134371
35.75,0.124594
36,0.0957231
36.25,0.122349
36.5,0.119057
36.75,0.113609
37,0.114093
37.25,0.125643
37.5,0.125515
37.75,0.124194
38,0.117537
38.25,0.120018
38.5,0.110063
38.75,0.0931521
39,0.0938842
39.25,0.108716
39.5,0.084839
39.75,0.1308
40,0.0881991
40.25,0.0868335
40.5,0.106086
40.75,0.0944607
41,0.0844202
41.25,0.106724
41.5,0.114185
41.75,0.105902
42,0.0971352
42.25,0.0687167
42.5,0.0895666
42.75,0.106233
43,0.0652313
43.25,0.0868846
43.5,0.070294
43.75,0.0772381
44,0.0665213
44.25,0.120975
44.5,0.0958107
44.75,0.067163
45,0.0550562
45.25,0.0849469
45.5,0.101632
45.75,0.0718757
46,0.100901
46.25,0.116809
46.5,0.0891282
46.75,0.0431101
47,0.0649714
47.25,0.070906
47.5,0.0536429
47.75,0.0578894
48,0.0712109
48.25,0.0368059
48.5,0.0278803
48.75,0.0210923
49,0.0343643
49.25,0.0714737
49.5,0.0415998
49.75,0.0455981
50,0.0437221
50.25,0.0835894
50.5,0.0479494
50.75,0.0410437
51,0.0998333
51.25,0.098256
51.5,0.0191236
51.75,0.0651657
52,0.111239
52.25,0.0318698
52.5,0.0291692
52.75,0.0335355
53,0.0104015
53.25,0.0887971
53.5,0.0244486
53.75,0.0438559
54,0.0131515
54.25,0.0162486
54.5,0.00633593
54.75,0.0142354
55,0.0129781
55.25,0.0386641
55.5,0.00259647
55.75,0.00467348
56,0.0215172
56.25,0.0288277
56.5,0.00543871
56.75,0.0494142
57,0.00601159
57.25,0
57.5,0.0443226
57.75,0.00834141
58,0.112015
58.25,0.0322419
58.5,0.00874723
58.75,0.0789478
59,0.0254927
59.25,0.011408
59.5,0.0887031
59.75,0
60,0.0509801
60.25,0.172841
60.5,0
60.75,0.0215192
61,inf
61.25,0
61.5,0.0108394
61.75,0
62,0.00390536
62.25,0
62.5,0
62.75,inf
63,0
63.25,0
63.5,inf
63.75,-nan
64,-nan
64.25,0.108589
64.5,inf
64.75,0
65,0.00743286
65.25,-nan
65.5,0.000787706
65.75,-nan
66,-nan
66.25,0
66.5,-nan
66.75,0.269736
67,-nan
67.25,0
67.5,0
67.75,6.74956e-06
68,inf
68.25,0
68.5,-nan
68.75,-nan
69,-nan
69.25,0.0138575
69.5,inf
69.75,-nan
70,inf
70.25,-nan
70.5,-nan
70.75,-nan
71,0
71.25,-nan
71.5,inf
71.75,-nan
72,inf
72.25,0
72.5,-nan
72.75,-nan
73,inf
73.25,0
73.5,-nan
73.75,-nan
74,-nan
74.25,-nan
74.5,-nan
74.75,-nan
75,-nan
75.25,0
75.5,0
75.75,-nan
76,-nan
76.25,-nan
76.5,-nan
76.75,-nan
77,-nan
77.25,-nan
77.5,-nan
77.75,-nan
78,0
78.25,0
78.5,-nan
78.75,-nan
79,inf
79.25,-nan
79.5,-nan
79.75,-nan
80,-nan
80.25,-nan
80.5,-nan
80.75,-nan
81,-nan
81.25,-nan
81.5,-nan
81.75,-nan
82,-nan
82.25,-nan
82.5,-nan
82.75,-nan
83,-nan
83.25,-nan
83.5,-nan
83.75,-nan
84,-nan
84.25,-nan
84.5,-nan
84.75,-nan
85,-nan
85.25,0
85.5,-nan
85.75,-nan
86,-nan
86.25,-nan
86.5,-nan
86.75,-nan
87,-nan
87.25,-nan
87.5,-nan
