Time,cumulative_mean_fraction_lambda_C
0,0
0.25,0
0.5,0
0.75,3.60083e-06
1,0.0835784
1.25,0.104853
1.5,0.104618
1.75,0.141449
2,0.156242
2.25,0.181783
2.5,0.203272
2.75,0.217333
3,0.236595
3.25,0.240313
3.5,0.235257
3.75,0.233588
4,0.251208
4.25,0.262311
4.5,0.273841
4.75,0.286823
5,0.281712
5.25,0.285027
5.5,0.29398
5.75,0.286373
6,0.29162
6.25,0.294593
6.5,0.291612
6.75,0.293357
7,0.286589
7.25,0.296694
7.5,0.304809
7.75,0.313133
8,0.308514
8.25,0.310645
8.5,0.307401
8.75,0.31494
9,0.315946
9.25,0.316142
9.5,0.312806
9.75,0.305506
10,0.304525
10.25,0.302568
10.5,0.304969
10.75,0.307482
11,0.304638
11.25,0.311955
11.5,0.312744
11.75,0.314582
12,0.313258
12.25,0.31175
12.5,0.310994
12.75,0.311961
13,0.309625
13.25,0.310096
13.5,0.309509
13.75,0.304854
14,0.307698
14.25,0.308842
14.5,0.31073
14.75,0.313265
15,0.311072
15.25,0.310028
15.5,0.307483
15.75,0.306611
16,0.306959
16.25,0.305879
16.5,0.305917
16.75,0.306083
17,0.306551
17.25,0.30588
17.5,0.305729
17.75,0.303973
18,0.303354
18.25,0.30393
18.5,0.302147
18.75,0.301466
19,0.301227
19.25,0.300157
19.5,0.300146
19.75,0.301245
20,0.300665
20.25,0.300798
20.5,0.299569
20.75,0.299236
21,0.301473
21.25,0.301268
21.5,0.300273
21.75,0.300349
22,0.301072
22.25,0.301497
22.5,0.302477
22.75,0.302483
23,0.302763
23.25,0.3028
23.5,0.303694
23.75,0.304084
24,0.304297
24.25,0.303832
24.5,0.30408
24.75,0.304954
25,0.305143
25.25,0.305868
25.5,0.305113
25.75,0.305248
26,0.305634
26.25,0.305099
26.5,0.305478
26.75,0.306287
27,0.306459
27.25,0.306797
27.5,0.306775
27.75,0.30755
28,0.308376
28.25,0.309435
28.5,0.310082
28.75,0.311437
29,0.31225
29.25,0.313021
29.5,0.314215
29.75,0.314502
30,0.314554
30.25,0.315164
30.5,0.31534
30.75,0.31564
31,0.315429
31.25,0.315472
31.5,0.315735
31.75,0.315775
32,0.315757
32.25,0.315822
32.5,0.316364
32.75,0.316856
33,0.317088
33.25,0.317414
33.5,0.318008
33.75,0.318413
34,0.318841
34.25,0.319258
34.5,0.319575
34.75,0.319704
35,0.320231
35.25,0.32069
35.5,0.321405
35.75,0.321624
36,0.322219
36.25,0.322739
36.5,0.323639
36.75,0.324274
37,0.324824
37.25,0.325061
37.5,0.325457
37.75,0.326135
38,0.326649
38.25,0.327186
38.5,0.327507
38.75,0.327673
39,0.328108
39.25,0.328276
39.5,0.328533
39.75,0.328797
40,0.32907
40.25,0.329498
40.5,0.329709
40.75,0.329999
41,0.330287
41.25,0.330686
41.5,0.331117
41.75,0.331425
42,0.331877
42.25,0.332393
42.5,0.332896
42.75,0.333283
43,0.333654
43.25,0.333902
43.5,0.334207
43.75,0.334515
44,0.334818
44.25,0.335184
44.5,0.335463
44.75,0.335879
45,0.336094
45.25,0.336519
45.5,0.336886
45.75,0.337186
46,0.337434
46.25,0.337684
46.5,0.337969
46.75,0.338227
47,0.338465
47.25,0.338687
47.5,0.338963
47.75,0.339191
48,0.339533
48.25,0.339702
48.5,0.339876
48.75,0.340071
49,0.340266
49.25,0.340483
49.5,0.340712
49.75,0.340936
50,0.341112
50.25,0.341333
50.5,0.341558
50.75,0.341664
51,0.341829
51.25,0.341981
51.5,0.34214
51.75,0.342363
52,0.34249
52.25,0.342615
52.5,0.342718
52.75,0.342889
53,0.34305
53.25,0.343197
53.5,0.343285
53.75,0.343429
54,0.34345
54.25,0.34351
54.5,0.343591
54.75,0.343643
55,0.343746
55.25,0.343813
55.5,0.343929
55.75,0.344006
56,0.344052
56.25,0.344132
56.5,0.344158
56.75,0.344233
57,0.3443
57.25,0.344335
57.5,0.344396
57.75,0.344414
58,0.344489
58.25,0.344514
58.5,0.344591
58.75,0.344613
59,0.344672
59.25,0.344682
59.5,0.344673
59.75,0.344717
60,0.344748
60.25,0.344784
60.5,0.34482
60.75,0.344857
61,0.344899
