Time,cumulative_mean_fraction_lambda_H
0,0
0.25,0
0.5,0
0.75,0.999996
1,0.666056
1.25,0.566282
1.5,0.524604
1.75,0.509459
2,0.44278
2.25,0.41644
2.5,0.413557
2.75,0.40854
3,0.407579
3.25,0.404757
3.5,0.40555
3.75,0.410711
4,0.411677
4.25,0.405754
4.5,0.390971
4.75,0.373311
5,0.36613
5.25,0.366032
5.5,0.359464
5.75,0.36433
6,0.362804
6.25,0.363538
6.5,0.363063
6.75,0.363859
7,0.364702
7.25,0.349903
7.5,0.3459
7.75,0.326964
8,0.312432
8.25,0.297746
8.5,0.289917
8.75,0.285816
9,0.280491
9.25,0.282798
9.5,0.282972
9.75,0.291374
10,0.293195
10.25,0.295479
10.5,0.294223
10.75,0.292916
11,0.292362
11.25,0.28756
11.5,0.283829
11.75,0.277266
12,0.277368
12.25,0.282422
12.5,0.283544
12.75,0.286321
13,0.28821
13.25,0.290881
13.5,0.292196
13.75,0.299484
14,0.297581
14.25,0.300205
14.5,0.296555
14.75,0.294551
15,0.297068
15.25,0.297589
15.5,0.302192
15.75,0.301323
16,0.301633
16.25,0.302036
16.5,0.300512
16.75,0.300914
17,0.299838
17.25,0.298165
17.5,0.298184
17.75,0.299195
18,0.29978
18.25,0.299179
18.5,0.300289
18.75,0.300508
19,0.302206
19.25,0.304847
19.5,0.306709
19.75,0.305731
20,0.306081
20.25,0.306318
20.5,0.305841
20.75,0.305103
21,0.30435
21.25,0.304938
21.5,0.304602
21.75,0.304234
22,0.302114
22.25,0.301072
22.5,0.300391
22.75,0.29915
23,0.298943
23.25,0.300025
23.5,0.298979
23.75,0.299306
24,0.298546
24.25,0.299041
24.5,0.299669
24.75,0.299009
25,0.299151
25.25,0.299327
25.5,0.299653
25.75,0.299975
26,0.300089
26.25,0.300967
26.5,0.302117
26.75,0.302219
27,0.302656
27.25,0.303427
27.5,0.303112
27.75,0.302478
28,0.302868
28.25,0.303132
28.5,0.303329
28.75,0.302991
29,0.302448
29.25,0.30245
29.5,0.302462
29.75,0.303028
30,0.303399
30.25,0.303535
30.5,0.30432
30.75,0.305165
31,0.305741
31.25,0.30572
31.5,0.305989
31.75,0.306543
32,0.307972
32.25,0.308215
32.5,0.308481
32.75,0.308397
33,0.309164
33.25,0.309717
33.5,0.309812
33.75,0.310241
34,0.31055
34.25,0.310977
34.5,0.311125
34.75,0.311454
35,0.311695
35.25,0.312163
35.5,0.312405
35.75,0.313076
36,0.313264
36.25,0.313377
36.5,0.313551
36.75,0.313564
37,0.313616
37.25,0.314017
37.5,0.314263
37.75,0.314229
38,0.314396
38.25,0.31451
38.5,0.314614
38.75,0.314891
39,0.31516
39.25,0.315464
39.5,0.315872
39.75,0.316148
40,0.316367
40.25,0.316625
40.5,0.31715
40.75,0.317675
41,0.317848
41.25,0.318118
41.5,0.318279
41.75,0.3184
42,0.31851
42.25,0.318645
42.5,0.318674
42.75,0.31869
43,0.31889
43.25,0.319107
43.5,0.319404
43.75,0.319742
44,0.320014
44.25,0.320215
44.5,0.320379
44.75,0.320495
45,0.320546
45.25,0.320628
45.5,0.320614
45.75,0.320702
46,0.320812
46.25,0.320911
46.5,0.320949
46.75,0.321023
47,0.321186
47.25,0.321269
47.5,0.321398
47.75,0.32146
48,0.321431
48.25,0.321549
48.5,0.321729
48.75,0.321788
49,0.321833
49.25,0.321901
49.5,0.321905
49.75,0.321877
50,0.321903
50.25,0.321897
50.5,0.32189
50.75,0.322008
51,0.322094
51.25,0.322098
51.5,0.322108
51.75,0.322037
52,0.322057
52.25,0.322093
52.5,0.322139
52.75,0.322119
53,0.322175
53.25,0.322165
53.5,0.322229
53.75,0.322238
54,0.322315
54.25,0.322365
54.5,0.322366
54.75,0.322425
55,0.322426
55.25,0.322454
55.5,0.32241
55.75,0.322426
56,0.322462
56.25,0.322477
56.5,0.322532
56.75,0.322566
57,0.322575
57.25,0.322609
57.5,0.322619
57.75,0.322641
58,0.32263
58.25,0.322658
58.5,0.322639
58.75,0.322664
59,0.322668
59.25,0.322737
59.5,0.3228
59.75,0.322789
60,0.32282
60.25,0.322844
60.5,0.322847
60.75,0.32283
61,0.322828
