Time,cumulative_mean_fraction_lambda_W
0,0
0.25,0
0.5,0
0.75,0
1,0.250366
1.25,0.328864
1.5,0.370777
1.75,0.349092
2,0.400978
2.25,0.401777
2.5,0.383171
2.75,0.374128
3,0.355827
3.25,0.35493
3.5,0.359193
3.75,0.355702
4,0.337115
4.25,0.331935
4.5,0.335188
4.75,0.339867
5,0.352157
5.25,0.348941
5.5,0.346557
5.75,0.349297
6,0.345577
6.25,0.341868
6.5,0.345325
6.75,0.342785
7,0.348709
7.25,0.353403
7.5,0.349291
7.75,0.359903
8,0.379054
8.25,0.391609
8.5,0.402683
8.75,0.399243
9,0.403563
9.25,0.40106
9.5,0.404222
9.75,0.40312
10,0.402281
10.25,0.401953
10.5,0.400808
10.75,0.399602
11,0.403
11.25,0.400485
11.5,0.403427
11.75,0.408153
12,0.409374
12.25,0.405829
12.5,0.405462
12.75,0.401718
13,0.402165
13.25,0.399023
13.5,0.398295
13.75,0.395661
14,0.394721
14.25,0.390954
14.5,0.392715
14.75,0.392183
15,0.39186
15.25,0.392383
15.5,0.390325
15.75,0.392066
16,0.391409
16.25,0.392085
16.5,0.393571
16.75,0.393003
17,0.393611
17.25,0.395955
17.5,0.396087
17.75,0.396831
18,0.396866
18.25,0.396891
18.5,0.397564
18.75,0.398025
19,0.396567
19.25,0.394996
19.5,0.393145
19.75,0.393024
20,0.393255
20.25,0.392884
20.5,0.394591
20.75,0.395661
21,0.394177
21.25,0.393794
21.5,0.395124
21.75,0.395417
22,0.396814
22.25,0.397431
22.5,0.397133
22.75,0.398367
23,0.398294
23.25,0.397175
23.5,0.397326
23.75,0.39661
24,0.397157
24.25,0.397128
24.5,0.396252
24.75,0.396036
25,0.395706
25.25,0.394806
25.5,0.395233
25.75,0.394776
26,0.394278
26.25,0.393934
26.5,0.392404
26.75,0.391494
27,0.390885
27.25,0.389777
27.5,0.390113
27.75,0.389972
28,0.388755
28.25,0.387432
28.5,0.386589
28.75,0.385573
29,0.385301
29.25,0.384529
29.5,0.383323
29.75,0.38247
30,0.382047
30.25,0.381302
30.5,0.38034
30.75,0.379195
31,0.37883
31.25,0.378808
31.5,0.378275
31.75,0.377682
32,0.376271
32.25,0.375963
32.5,0.375155
32.75,0.374748
33,0.373748
33.25,0.372869
33.5,0.37218
33.75,0.371345
34,0.370609
34.25,0.369765
34.5,0.3693
34.75,0.368841
35,0.368075
35.25,0.367147
35.5,0.366189
35.75,0.3653
36,0.364517
36.25,0.363884
36.5,0.362811
36.75,0.362162
37,0.36156
37.25,0.360921
37.5,0.36028
37.75,0.359636
38,0.358955
38.25,0.358304
38.5,0.357879
38.75,0.357436
39,0.356732
39.25,0.35626
39.5,0.355595
39.75,0.355055
40,0.354562
40.25,0.353878
40.5,0.353141
40.75,0.352326
41,0.351865
41.25,0.351196
41.5,0.350603
41.75,0.350174
42,0.349613
42.25,0.348962
42.5,0.34843
42.75,0.348027
43,0.347455
43.25,0.34699
43.5,0.346389
43.75,0.345743
44,0.345168
44.25,0.344601
44.5,0.344158
44.75,0.343626
45,0.34336
45.25,0.342853
45.5,0.342499
45.75,0.342112
46,0.341754
46.25,0.341405
46.5,0.341082
46.75,0.34075
47,0.34035
47.25,0.340045
47.5,0.339639
47.75,0.339349
48,0.339036
48.25,0.338749
48.5,0.338395
48.75,0.338141
49,0.337901
49.25,0.337616
49.5,0.337383
49.75,0.337187
50,0.336984
50.25,0.336771
50.5,0.336552
50.75,0.336328
51,0.336077
51.25,0.335921
51.5,0.335752
51.75,0.3356
52,0.335453
52.25,0.335292
52.5,0.335144
52.75,0.334992
53,0.334775
53.25,0.334638
53.5,0.334485
53.75,0.334333
54,0.334235
54.25,0.334125
54.5,0.334043
54.75,0.333932
55,0.333828
55.25,0.333733
55.5,0.333662
55.75,0.333568
56,0.333486
56.25,0.333391
56.5,0.33331
56.75,0.333201
57,0.333125
57.25,0.333056
57.5,0.332986
57.75,0.332945
58,0.332881
58.25,0.332828
58.5,0.33277
58.75,0.332722
59,0.33266
59.25,0.332582
59.5,0.332528
59.75,0.332494
60,0.332432
60.25,0.332372
60.5,0.332334
60.75,0.332313
61,0.332274
61.25,0.332223
