Time,mean_fraction_lambda_C
0,0
0.25,0
0.5,0
0.75,3.60083e-06
1,0.0911761
1.25,0.119037
1.5,0.103914
1.75,0.275377
2,0.183186
2.25,0.300476
2.5,0.30642
2.75,0.295
3,0.412522
3.25,0.334518
3.5,0.168676
3.75,0.205214
4,0.418143
4.25,0.335957
4.5,0.38386
4.75,0.451041
5,0.208284
5.25,0.373003
5.5,0.40249
5.75,0.177897
6,0.393929
6.25,0.340313
6.5,0.261565
6.75,0.316915
7,0.208079
7.25,0.405057
7.5,0.422481
7.75,0.400679
8,0.247714
8.25,0.33964
8.5,0.271858
8.75,0.422477
9,0.332777
9.25,0.319368
9.5,0.250066
9.75,0.171241
10,0.28615
10.25,0.274225
10.5,0.345764
10.75,0.353959
11,0.256712
11.25,0.430836
11.5,0.326825
11.75,0.35278
12,0.284042
12.25,0.282322
12.5,0.29458
12.75,0.335864
13,0.272257
13.25,0.319687
13.5,0.298335
13.75,0.223857
14,0.365987
14.25,0.327976
14.5,0.350222
14.75,0.363553
15,0.262758
15.25,0.286807
15.5,0.261138
15.75,0.291271
16,0.313239
16.25,0.285213
16.5,0.3067
16.75,0.309267
17,0.316817
17.25,0.291526
17.5,0.302503
17.75,0.26525
18,0.288961
18.25,0.316616
18.5,0.264819
18.75,0.287146
19,0.296314
19.25,0.275989
19.5,0.299926
19.75,0.325401
20,0.287662
20.25,0.303623
20.5,0.269423
20.75,0.292188
21,0.350437
21.25,0.297201
21.5,0.280253
21.75,0.301938
22,0.316364
22.25,0.311053
22.5,0.324048
22.75,0.30262
23,0.309617
23.25,0.303675
23.5,0.325074
23.75,0.313996
24,0.309475
24.25,0.292439
24.5,0.309671
24.75,0.326466
25,0.309832
25.25,0.324727
25.5,0.285729
25.75,0.308723
26,0.315735
26.25,0.29033
26.5,0.314518
26.75,0.327501
27,0.311093
27.25,0.316327
27.5,0.306168
27.75,0.330518
28,0.333532
28.25,0.3398
28.5,0.32853
28.75,0.351239
29,0.338233
29.25,0.338052
29.5,0.353472
29.75,0.323568
30,0.316265
30.25,0.334626
30.5,0.321263
30.75,0.325934
31,0.308393
31.25,0.317049
31.5,0.325323
31.75,0.317292
32,0.315099
32.25,0.318329
32.5,0.337818
32.75,0.338016
33,0.3263
33.25,0.331143
33.5,0.343578
33.75,0.336806
34,0.33866
34.25,0.338209
34.5,0.335673
34.75,0.326218
35,0.348525
35.25,0.346092
35.5,0.361358
35.75,0.334392
36,0.357392
36.25,0.356474
36.5,0.38426
36.75,0.368
37,0.364455
37.25,0.342933
37.5,0.355935
37.75,0.38225
38,0.368293
38.25,0.37464
38.5,0.35793
38.75,0.343461
39,0.368733
39.25,0.346816
39.5,0.357289
39.75,0.359219
40,0.366408
40.25,0.386433
40.5,0.357566
40.75,0.371847
41,0.373156
41.25,0.390688
41.5,0.405147
41.75,0.385329
42,0.415631
42.25,0.427194
42.5,0.430365
42.75,0.416126
43,0.415488
43.25,0.392072
43.5,0.412326
43.75,0.419226
44,0.414597
44.25,0.433115
44.5,0.419583
44.75,0.477049
45,0.419198
45.25,0.475021
45.5,0.477335
45.75,0.441686
46,0.449285
46.25,0.451412
46.5,0.47058
46.75,0.465635
47,0.446608
47.25,0.443685
47.5,0.484761
47.75,0.483459
48,0.572144
48.25,0.448174
48.5,0.43532
48.75,0.493338
49,0.475346
49.25,0.514797
49.5,0.522385
49.75,0.555285
50,0.51373
50.25,0.571649
50.5,0.548876
50.75,0.4513
51,0.534079
51.25,0.520663
51.5,0.546894
51.75,0.6192
52,0.503936
52.25,0.54856
52.5,0.490225
52.75,0.615394
53,0.564144
53.25,0.581698
53.5,0.497363
53.75,0.572884
54,0.393641
54.25,0.466534
54.5,0.502258
54.75,0.453161
55,0.591197
55.25,0.522781
55.5,0.702663
55.75,0.549731
56,0.487776
56.25,0.603415
56.5,0.440323
56.75,0.557099
57,0.638214
57.25,0.456637
57.5,0.598759
57.75,0.426825
58,0.613658
58.25,0.436806
58.5,0.66813
58.75,0.478649
59,0.593608
59.25,0.380651
59.5,0.296795
59.75,0.558608
60,0.510569
60.25,0.497645
60.5,0.591884
60.75,0.602262
61,0.655311
61.25,0.517948
