Time,mean_fraction_lambda_W
0,0
0.25,0
0.5,0
0.75,0
1,0.273126
1.25,0.381197
1.5,0.496517
1.75,0.270236
2,0.495485
2.25,0.405487
2.5,0.293862
2.75,0.324176
3,0.188677
3.25,0.33221
3.5,0.415333
3.75,0.296345
4,0.161027
4.25,0.297579
4.5,0.366219
4.75,0.399056
5,0.528756
5.25,0.263571
5.5,0.317657
5.75,0.388367
6,0.273039
6.25,0.284854
6.5,0.380161
6.75,0.308483
7,0.417433
7.25,0.403744
7.5,0.289661
7.75,0.471516
8,0.631144
8.25,0.562459
8.5,0.524006
8.75,0.350186
9,0.475834
9.25,0.359856
9.5,0.46369
9.75,0.382842
10,0.386566
10.25,0.397209
10.5,0.381355
10.75,0.377297
11,0.460267
11.25,0.359619
11.5,0.455939
11.75,0.506361
12,0.436325
12.25,0.336632
12.5,0.397503
12.75,0.30917
13,0.409305
13.25,0.335036
13.5,0.384441
13.75,0.349828
14,0.375448
14.25,0.327913
14.5,0.429547
14.75,0.381634
15,0.38473
15.25,0.404016
15.5,0.352853
15.75,0.422699
16,0.379535
16.25,0.405025
16.5,0.424265
16.75,0.382061
17,0.406928
17.25,0.446071
17.5,0.398907
17.75,0.413247
18,0.397664
18.25,0.397454
18.5,0.411644
18.75,0.407733
19,0.36671
19.25,0.359485
19.5,0.354407
19.75,0.390374
20,0.398422
20.25,0.385036
20.5,0.436445
20.75,0.418337
21,0.361697
21.25,0.386194
21.5,0.421892
21.75,0.401552
22,0.426349
22.25,0.411329
22.5,0.39056
22.75,0.424468
23,0.396505
23.25,0.370292
23.5,0.400942
23.75,0.378394
24,0.410466
24.25,0.39642
24.5,0.376506
24.75,0.390733
25,0.387499
25.25,0.371373
25.5,0.406227
25.75,0.383017
26,0.381204
26.25,0.384459
26.5,0.355989
26.75,0.367592
27,0.374532
27.25,0.358481
27.5,0.399633
27.75,0.3858
28,0.3517
28.25,0.349502
28.5,0.362523
28.75,0.355707
29,0.376642
29.25,0.359424
29.5,0.343675
29.75,0.355532
30,0.368111
30.25,0.357512
30.5,0.34812
30.75,0.339862
31,0.36671
31.25,0.37799
31.5,0.35889
31.75,0.355253
32,0.325229
32.25,0.364125
32.5,0.34314
32.75,0.357218
33,0.334065
33.25,0.335838
33.5,0.342533
33.75,0.33347
34,0.33646
34.25,0.331452
34.5,0.345678
34.75,0.345679
35,0.326866
35.25,0.315842
35.5,0.312697
35.75,0.313315
36,0.31826
36.25,0.322839
36.5,0.29046
36.75,0.317499
37,0.318242
37.25,0.312779
37.5,0.310873
37.75,0.306307
38,0.303806
38.25,0.300759
38.5,0.317593
38.75,0.315422
39,0.290971
39.25,0.304219
39.5,0.281086
39.75,0.292798
40,0.287336
40.25,0.262602
40.5,0.255918
40.75,0.234845
41,0.283247
41.25,0.250483
41.5,0.248974
41.75,0.275114
42,0.245582
42.25,0.22931
42.5,0.245247
42.75,0.261796
43,0.221538
43.25,0.237895
43.5,0.192327
43.75,0.168167
44,0.19335
44.25,0.19306
44.5,0.210644
44.75,0.162966
45,0.240629
45.25,0.177655
45.5,0.207244
45.75,0.207167
46,0.180354
46.25,0.182307
46.5,0.190871
46.75,0.176749
47,0.158441
47.25,0.195614
47.5,0.12542
47.75,0.155924
48,0.126102
48.25,0.155108
48.5,0.14365
48.75,0.139063
49,0.171411
49.25,0.108912
49.5,0.152586
49.75,0.1493
50,0.138769
50.25,0.113534
50.5,0.135222
50.75,0.104515
51,0.0442576
51.25,0.152498
51.5,0.117501
51.75,0.146815
52,0.148449
52.25,0.0706483
52.5,0.122777
52.75,0.0933536
53,0.0378763
53.25,0.112246
53.5,0.067601
53.75,0.0904466
54,0.103504
54.25,0.109627
54.5,0.173017
54.75,0.102281
55,0.082857
55.25,0.0800908
55.5,0.113042
55.75,0.0829258
56,0.0790428
56.25,0.0266511
56.5,0.0333845
56.75,0.023724
57,0
57.25,0.10997
57.5,0.0385762
57.75,0.145368
58,0.106318
58.25,0.135371
58.5,0.0875563
58.75,0.0462185
59,0.0680886
59.25,0.0312873
59.5,0.0423931
59.75,0.16787
60,0.000427274
60.25,0.0811274
60.5,0.0660725
60.75,0.190954
