Time,num_affected
0,100
0.25,100
0.5,100
0.75,101
1,112
1.25,130
1.5,140
1.75,151
2,179
2.25,196
2.5,216
2.75,237
3,252
3.25,258
3.5,270
3.75,280
4,299
4.25,329
4.5,353
4.75,373
5,392
5.25,403
5.5,428
5.75,451
6,469
6.25,493
6.5,532
6.75,564
7,604
7.25,651
7.5,689
7.75,745
8,794
8.25,845
8.5,913
8.75,970
9,1022
9.25,1078
9.5,1130
9.75,1186
10,1244
10.25,1323
10.5,1395
10.75,1465
11,1546
11.25,1635
11.5,1721
11.75,1799
12,1876
12.25,1967
12.5,2053
12.75,2132
13,2259
13.25,2365
13.5,2484
13.75,2621
14,2744
14.25,2902
14.5,3036
14.75,3184
15,3324
15.25,3469
15.5,3654
15.75,3856
16,4064
16.25,4271
16.5,4473
16.75,4700
17,4910
17.25,5135
17.5,5370
17.75,5609
18,5846
18.25,6107
18.5,6394
18.75,6693
19,7015
19.25,7321
19.5,7666
19.75,8010
20,8363
20.25,8754
20.5,9107
20.75,9532
21,9963
21.25,10460
21.5,10975
21.75,11493
22,12032
22.25,12562
22.5,13128
22.75,13744
23,14302
23.25,14893
23.5,15512
23.75,16118
24,16776
24.25,17457
24.5,18227
24.75,18964
25,19723
25.25,20477
25.5,21270
25.75,22093
26,22932
26.25,23759
26.5,24753
26.75,25692
27,26645
27.25,27585
27.5,28556
27.75,29516
28,30482
28.25,31542
28.5,32643
28.75,33751
29,34805
29.25,35873
29.5,36961
29.75,38128
30,39282
30.25,40510
30.5,41716
30.75,42928
31,44215
31.25,45419
31.5,46664
31.75,47896
32,49217
32.25,50496
32.5,51768
32.75,52969
33,54301
33.25,55587
33.5,56877
33.75,58128
34,59379
34.25,60685
34.5,61879
34.75,63101
35,64273
35.25,65433
35.5,66603
35.75,67741
36,68885
36.25,69947
36.5,70983
36.75,72013
37,73011
37.25,73979
37.5,74938
37.75,75842
38,76777
38.25,77645
38.5,78463
38.75,79289
39,80137
39.25,80862
39.5,81583
39.75,82290
40,82892
40.25,83513
40.5,84145
40.75,84728
41,85297
41.25,85863
41.5,86363
41.75,86856
42,87324
42.25,87799
42.5,88251
42.75,88663
43,89065
43.25,89444
43.5,89793
43.75,90119
44,90460
44.25,90798
44.5,91099
44.75,91367
45,91603
45.25,91884
45.5,92124
45.75,92388
46,92593
46.25,92796
46.5,92995
46.75,93183
47,93388
47.25,93585
47.5,93762
47.75,93910
48,94048
48.25,94195
48.5,94366
48.75,94486
49,94622
49.25,94740
49.5,94859
49.75,94958
50,95055
50.25,95146
50.5,95249
50.75,95341
51,95423
51.25,95504
51.5,95578
51.75,95655
52,95730
52.25,95788
52.5,95855
52.75,95915
53,95985
53.25,96044
53.5,96099
53.75,96159
54,96200
54.25,96247
54.5,96296
54.75,96342
55,96382
55.25,96418
55.5,96449
55.75,96485
56,96516
56.25,96546
56.5,96572
56.75,96606
57,96628
57.25,96658
57.5,96681
57.75,96702
58,96729
58.25,96755
58.5,96778
58.75,96794
59,96817
59.25,96842
59.5,96860
59.75,96880
60,96898
60.25,96921
60.5,96935
60.75,96949
61,96962
61.25,96980
61.5,96991
61.75,97003
62,97013
62.25,97019
62.5,97034
62.75,97043
63,97059
63.25,97066
63.5,97084
63.75,97093
64,97101
64.25,97105
64.5,97114
64.75,97120
65,97127
65.25,97134
65.5,97141
65.75,97146
66,97152
66.25,97155
66.5,97158
66.75,97167
67,97171
67.25,97174
67.5,97182
67.75,97188
68,97192
68.25,97201
68.5,97205
68.75,97208
69,97213
69.25,97220
69.5,97222
69.75,97225
70,97229
70.25,97231
70.5,97234
70.75,97241
71,97245
71.25,97247
71.5,97249
71.75,97252
72,97256
72.25,97259
72.5,97261
72.75,97263
73,97264
73.25,97265
73.5,97265
73.75,97266
74,97269
74.25,97269
74.5,97269
74.75,97271
75,97273
75.25,97274
75.5,97274
75.75,97274
76,97275
76.25,97276
76.5,97278
76.75,97279
77,97281
77.25,97283
77.5,97284
77.75,97284
78,97285
78.25,97286
78.5,97286
78.75,97287
79,97288
79.25,97288
79.5,97288
79.75,97290
80,97290
80.25,97290
80.5,97290
80.75,97291
81,97291
81.25,97291
81.5,97291
81.75,97292
82,97296
82.25,97296
82.5,97296
82.75,97296
83,97296
83.25,97296
83.5,97296
83.75,97296
84,97296
84.25,97297
84.5,97297
84.75,97297
85,97298
85.25,97299
85.5,97299
85.75,97300
86,97300
86.25,97301
86.5,97301
86.75,97301
87,97301
87.25,97301
87.5,97301
87.75,97301
88,97302
88.25,97303
88.5,97303
88.75,97305
89,97306
89.25,97306
89.5,97306
89.75,97307
90,97308
90.25,97308
90.5,97308
90.75,97308
91,97308
91.25,97308
91.5,97308
91.75,97308
92,97308
92.25,97309
92.5,97309
92.75,97309
93,97309
93.25,97309
93.5,97309
93.75,97309
94,97309
94.25,97309
94.5,97309
94.75,97309
95,97309
95.25,97309
95.5,97309
95.75,97309
96,97309
96.25,97309
96.5,97309
96.75,97309
97,97309
97.25,97309
97.5,97309
97.75,97309
98,97309
98.25,97310
98.5,97310
98.75,97310
99,97310
99.25,97310
99.5,97310
99.75,97310
100,97310
100.25,97310
100.5,97310
100.75,97310
101,97310
101.25,97310
101.5,97310
101.75,97310
102,97310
102.25,97310
102.5,97310
102.75,97310
103,97310
103.25,97310
103.5,97310
103.75,97310
104,97310
104.25,97310
104.5,97310
104.75,97311
105,97311
105.25,97311
105.5,97311
105.75,97311
106,97311
106.25,97311
106.5,97311
106.75,97311
107,97311
107.25,97311
107.5,97311
107.75,97311
108,97311
108.25,97311
108.5,97311
108.75,97311
109,97311
109.25,97311
109.5,97311
109.75,97311
110,97311
110.25,97311
110.5,97311
110.75,97311
111,97312
111.25,97312
111.5,97312
111.75,97312
112,97312
112.25,97312
112.5,97312
112.75,97312
113,97312
113.25,97312
113.5,97312
113.75,97312
114,97312
114.25,97312
114.5,97312
114.75,97312
115,97312
115.25,97312
115.5,97312
115.75,97312
116,97312
116.25,97312
116.5,97312
116.75,97312
117,97312
117.25,97312
117.5,97312
117.75,97313
118,97313
118.25,97313
118.5,97313
118.75,97313
119,97313
119.25,97313
119.5,97313
119.75,97313
