Time,num_cases
0,0
0.25,0
0.5,4
0.75,9
1,14
1.25,17
1.5,19
1.75,26
2,31
2.25,35
2.5,38
2.75,42
3,42
3.25,44
3.5,45
3.75,48
4,55
4.25,61
4.5,65
4.75,70
5,75
5.25,82
5.5,83
5.75,91
6,102
6.25,106
6.5,115
6.75,123
7,134
7.25,142
7.5,147
7.75,157
8,167
8.25,178
8.5,195
8.75,206
9,221
9.25,234
9.5,245
9.75,256
10,267
10.25,288
10.5,309
10.75,329
11,347
11.25,361
11.5,381
11.75,410
12,429
12.25,451
12.5,479
12.75,510
13,545
13.25,565
13.5,597
13.75,628
14,662
14.25,691
14.5,731
14.75,774
15,813
15.25,875
15.5,941
15.75,980
16,1033
16.25,1083
16.5,1140
16.75,1198
17,1253
17.25,1306
17.5,1365
17.75,1428
18,1505
18.25,1583
18.5,1684
18.75,1759
19,1850
19.25,1947
19.5,2049
19.75,2160
20,2258
20.25,2358
20.5,2495
20.75,2612
21,2730
21.25,2865
21.5,2997
21.75,3126
22,3278
22.25,3425
22.5,3580
22.75,3737
23,3913
23.25,4091
23.5,4294
23.75,4504
24,4721
24.25,4920
24.5,5132
24.75,5342
25,5585
25.25,5865
25.5,6109
25.75,6397
26,6660
26.25,6945
26.5,7257
26.75,7579
27,7899
27.25,8227
27.5,8547
27.75,8904
28,9270
28.25,9649
28.5,10043
28.75,10444
29,10850
29.25,11291
29.5,11723
29.75,12168
30,12623
30.25,13112
30.5,13600
30.75,14095
31,14627
31.25,15200
31.5,15745
31.75,16290
32,16853
32.25,17430
32.5,18019
32.75,18617
33,19258
33.25,19888
33.5,20538
33.75,21199
34,21882
34.25,22588
34.5,23230
34.75,23909
35,24642
35.25,25378
35.5,26101
35.75,26864
36,27582
36.25,28326
36.5,29026
36.75,29731
37,30532
37.25,31334
37.5,32093
37.75,32857
38,33620
38.25,34354
38.5,35099
38.75,35858
39,36654
39.25,37405
39.5,38204
39.75,38927
40,39663
40.25,40394
40.5,41127
40.75,41854
41,42607
41.25,43324
41.5,43986
41.75,44656
42,45331
42.25,46000
42.5,46648
42.75,47265
43,47828
43.25,48441
43.5,49016
43.75,49614
44,50176
44.25,50744
44.5,51264
44.75,51807
45,52318
45.25,52783
45.5,53299
45.75,53739
46,54175
46.25,54622
46.5,55032
46.75,55443
47,55813
47.25,56219
47.5,56592
47.75,56895
48,57235
48.25,57579
48.5,57902
48.75,58197
49,58505
49.25,58772
49.5,59033
49.75,59299
50,59542
50.25,59806
50.5,60043
50.75,60242
51,60456
51.25,60658
51.5,60854
51.75,61061
52,61253
52.25,61417
52.5,61610
52.75,61775
53,61944
53.25,62083
53.5,62216
53.75,62354
54,62464
54.25,62593
54.5,62719
54.75,62836
55,62928
55.25,63019
55.5,63118
55.75,63190
56,63306
56.25,63394
56.5,63474
56.75,63554
57,63640
57.25,63716
57.5,63801
57.75,63870
58,63920
58.25,63986
58.5,64043
58.75,64099
59,64148
59.25,64202
59.5,64244
59.75,64297
60,64344
60.25,64373
60.5,64412
60.75,64445
61,64475
61.25,64515
61.5,64546
61.75,64571
62,64597
62.25,64634
62.5,64664
62.75,64691
63,64711
63.25,64733
63.5,64751
63.75,64771
64,64797
64.25,64814
64.5,64832
64.75,64848
65,64873
65.25,64893
65.5,64904
65.75,64913
66,64931
66.25,64943
66.5,64956
66.75,64967
67,64978
67.25,64992
67.5,65001
67.75,65009
68,65024
68.25,65033
68.5,65044
68.75,65057
69,65071
69.25,65082
69.5,65089
69.75,65099
70,65105
70.25,65112
70.5,65115
70.75,65125
71,65129
71.25,65137
71.5,65142
71.75,65145
72,65145
72.25,65151
72.5,65155
72.75,65161
73,65164
73.25,65169
73.5,65173
73.75,65178
74,65187
74.25,65191
74.5,65199
74.75,65202
75,65204
75.25,65204
75.5,65204
75.75,65209
76,65210
76.25,65213
76.5,65218
76.75,65220
77,65220
77.25,65223
77.5,65224
77.75,65225
78,65228
78.25,65230
78.5,65230
78.75,65232
79,65235
79.25,65237
79.5,65241
79.75,65243
80,65246
80.25,65246
80.5,65247
80.75,65250
81,65251
81.25,65252
81.5,65253
81.75,65253
82,65254
82.25,65255
82.5,65255
