Time,num_critical
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,0
5.5,0
5.75,0
6,0
6.25,0
6.5,0
6.75,0
7,0
7.25,0
7.5,0
7.75,0
8,0
8.25,0
8.5,0
8.75,0
9,0
9.25,0
9.5,0
9.75,0
10,0
10.25,0
10.5,0
10.75,0
11,0
11.25,0
11.5,0
11.75,0
12,0
12.25,0
12.5,0
12.75,0
13,0
13.25,0
13.5,1
13.75,1
14,1
14.25,1
14.5,1
14.75,1
15,1
15.25,1
15.5,1
15.75,1
16,1
16.25,1
16.5,1
16.75,1
17,2
17.25,2
17.5,2
17.75,2
18,3
18.25,3
18.5,4
18.75,4
19,4
19.25,4
19.5,4
19.75,4
20,4
20.25,4
20.5,4
20.75,4
21,4
21.25,4
21.5,3
21.75,3
22,3
22.25,3
22.5,3
22.75,4
23,4
23.25,4
23.5,4
23.75,4
24,4
24.25,4
24.5,4
24.75,4
25,3
25.25,3
25.5,3
25.75,3
26,2
26.25,2
26.5,1
26.75,1
27,1
27.25,2
27.5,2
27.75,2
28,2
28.25,3
28.5,4
28.75,5
29,5
29.25,5
29.5,5
29.75,5
30,6
30.25,6
30.5,7
30.75,6
31,8
31.25,8
31.5,8
31.75,8
32,9
32.25,11
32.5,12
32.75,13
33,15
33.25,16
33.5,17
33.75,19
34,20
34.25,21
34.5,22
34.75,24
35,24
35.25,25
35.5,27
35.75,27
36,29
36.25,29
36.5,29
36.75,29
37,31
37.25,33
37.5,37
37.75,41
38,41
38.25,44
38.5,44
38.75,47
39,49
39.25,52
39.5,56
39.75,59
40,62
40.25,62
40.5,65
40.75,68
41,68
41.25,72
41.5,72
41.75,71
42,73
42.25,76
42.5,77
42.75,81
43,86
43.25,87
43.5,92
43.75,94
44,101
44.25,103
44.5,108
44.75,112
45,118
45.25,123
45.5,125
45.75,125
46,132
46.25,136
46.5,140
46.75,147
47,150
47.25,155
47.5,159
47.75,162
48,170
48.25,171
48.5,177
48.75,182
49,186
49.25,191
49.5,194
49.75,201
50,208
50.25,215
50.5,222
50.75,224
51,230
51.25,233
51.5,238
51.75,247
52,248
52.25,253
52.5,256
52.75,261
53,264
53.25,270
53.5,270
53.75,269
54,270
54.25,269
54.5,269
54.75,266
55,267
55.25,269
55.5,266
55.75,264
56,257
56.25,260
56.5,257
56.75,250
57,251
57.25,249
57.5,252
57.75,255
58,250
58.25,244
58.5,239
58.75,239
59,233
59.25,232
59.5,225
59.75,221
60,217
60.25,215
60.5,215
60.75,211
61,204
61.25,195
61.5,190
61.75,192
62,189
62.25,190
62.5,189
62.75,187
63,179
63.25,173
63.5,171
63.75,175
64,177
64.25,176
64.5,176
64.75,178
65,173
65.25,170
65.5,165
65.75,157
66,155
66.25,151
66.5,150
66.75,147
67,143
67.25,143
67.5,140
67.75,137
68,132
68.25,126
68.5,121
68.75,117
69,116
69.25,116
69.5,118
69.75,114
70,112
70.25,109
70.5,105
70.75,100
71,100
71.25,101
71.5,102
71.75,98
72,91
72.25,86
72.5,80
72.75,77
73,76
73.25,71
73.5,72
73.75,71
74,71
74.25,71
74.5,69
74.75,66
75,65
75.25,61
75.5,60
75.75,57
76,57
76.25,59
76.5,55
76.75,53
77,51
77.25,49
77.5,46
77.75,45
78,43
78.25,39
78.5,40
78.75,42
79,43
79.25,38
79.5,34
79.75,30
80,31
80.25,32
80.5,34
80.75,33
81,32
81.25,32
81.5,29
81.75,28
82,28
82.25,29
82.5,28
82.75,27
83,27
83.25,27
83.5,26
83.75,25
84,24
84.25,23
84.5,23
84.75,23
85,22
85.25,20
85.5,21
85.75,21
86,19
86.25,20
86.5,19
86.75,17
87,16
87.25,16
87.5,16
87.75,16
88,16
88.25,15
88.5,12
88.75,12
89,13
89.25,13
89.5,14
89.75,13
90,10
90.25,8
90.5,8
90.75,7
91,7
91.25,7
91.5,7
91.75,7
92,7
92.25,6
92.5,6
92.75,7
93,7
93.25,7
93.5,6
93.75,6
94,6
94.25,5
94.5,5
94.75,5
95,5
95.25,5
95.5,5
95.75,5
96,4
96.25,4
96.5,4
96.75,4
97,3
97.25,3
97.5,2
97.75,2
98,2
98.25,2
98.5,2
98.75,2
99,2
99.25,1
99.5,1
99.75,1
100,1
100.25,1
100.5,1
100.75,0
101,0
101.25,0
101.5,0
101.75,1
102,1
102.25,1
102.5,1
102.75,1
103,1
103.25,1
103.5,1
103.75,1
104,1
104.25,1
104.5,1
104.75,1
105,1
105.25,1
105.5,1
105.75,1
106,1
106.25,1
106.5,1
106.75,1
107,1
107.25,1
107.5,1
107.75,1
108,1
108.25,1
108.5,1
108.75,1
109,2
109.25,2
109.5,2
109.75,1
110,1
110.25,1
110.5,1
110.75,1
111,1
111.25,1
111.5,1
111.75,1
112,1
112.25,1
112.5,1
112.75,1
113,1
113.25,1
113.5,1
113.75,1
114,1
114.25,1
114.5,1
114.75,1
115,1
115.25,1
115.5,1
115.75,1
116,1
116.25,1
116.5,1
116.75,1
117,0
117.25,0
117.5,0
117.75,0
118,0
118.25,0
118.5,0
118.75,0
119,0
119.25,0
119.5,0
119.75,0
