Time,num_exposed
0,100
0.25,91
0.5,85
0.75,83
1,90
1.25,105
1.5,104
1.75,110
2,134
2.25,148
2.5,161
2.75,178
3,186
3.25,187
3.5,193
3.75,194
4,206
4.25,226
4.5,245
4.75,256
5,261
5.25,268
5.5,281
5.75,293
6,305
6.25,314
6.5,340
6.75,360
7,390
7.25,421
7.5,447
7.75,487
8,523
8.25,557
8.5,610
8.75,652
9,682
9.25,708
9.5,734
9.75,757
10,790
10.25,841
10.5,885
10.75,930
11,986
11.25,1040
11.5,1091
11.75,1136
12,1177
12.25,1225
12.5,1263
12.75,1291
13,1375
13.25,1434
13.5,1499
13.75,1579
14,1658
14.25,1754
14.5,1829
14.75,1905
15,1961
15.25,2011
15.5,2131
15.75,2256
16,2393
16.25,2519
16.5,2629
16.75,2769
17,2879
17.25,3009
17.5,3151
17.75,3276
18,3384
18.25,3517
18.5,3680
18.75,3835
19,3998
19.25,4146
19.5,4339
19.75,4523
20,4705
20.25,4900
20.5,5087
20.75,5310
21,5572
21.25,5851
21.5,6155
21.75,6458
22,6765
22.25,7035
22.5,7337
22.75,7674
23,7965
23.25,8258
23.5,8565
23.75,8853
24,9176
24.25,9514
24.5,9925
24.75,10283
25,10647
25.25,11011
25.5,11367
25.75,11763
26,12153
26.25,12527
26.5,13032
26.75,13478
27,13954
27.25,14409
27.5,14806
27.75,15159
28,15512
28.25,15952
28.5,16432
28.75,16862
29,17254
29.25,17670
29.5,18071
29.75,18590
30,18959
30.25,19405
30.5,19810
30.75,20229
31,20684
31.25,21070
31.5,21491
31.75,21840
32,22242
32.25,22592
32.5,22915
32.75,23133
33,23459
33.25,23803
33.5,24057
33.75,24285
34,24509
34.25,24764
34.5,24890
34.75,24997
35,25125
35.25,25190
35.5,25248
35.75,25294
36,25336
36.25,25313
36.5,25217
36.75,25048
37,24897
37.25,24706
37.5,24501
37.75,24264
38,24115
38.25,23849
38.5,23503
38.75,23188
39,22936
39.25,22481
39.5,22106
39.75,21767
40,21312
40.25,20824
40.5,20408
40.75,19918
41,19527
41.25,19072
41.5,18554
41.75,18089
42,17586
42.25,17124
42.5,16700
42.75,16217
43,15750
43.25,15234
43.5,14700
43.75,14142
44,13760
44.25,13319
44.5,12903
44.75,12431
45,11940
45.25,11519
45.5,11135
45.75,10806
46,10361
46.25,9985
46.5,9612
46.75,9247
47,8884
47.25,8589
47.5,8298
47.75,7965
48,7645
48.25,7336
48.5,7075
48.75,6742
49,6482
49.25,6221
49.5,5960
49.75,5732
50,5444
50.25,5219
50.5,5025
50.75,4815
51,4611
51.25,4417
51.5,4215
51.75,4041
52,3896
52.25,3703
52.5,3559
