Time,num_hospitalised
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,1
3,1
3.25,2
3.5,2
3.75,2
4,2
4.25,3
4.5,3
4.75,3
5,3
5.25,3
5.5,4
5.75,4
6,4
6.25,5
6.5,5
6.75,5
7,5
7.25,5
7.5,5
7.75,5
8,6
8.25,6
8.5,7
8.75,7
9,8
9.25,8
9.5,8
9.75,8
10,10
10.25,10
10.5,11
10.75,10
11,10
11.25,10
11.5,10
11.75,9
12,10
12.25,11
12.5,11
12.75,11
13,11
13.25,11
13.5,11
13.75,14
14,15
14.25,15
14.5,15
14.75,18
15,18
15.25,19
15.5,20
15.75,21
16,20
16.25,21
16.5,22
16.75,22
17,22
17.25,23
17.5,23
17.75,25
18,25
18.25,27
18.5,29
18.75,32
19,35
19.25,36
19.5,37
19.75,38
20,39
20.25,39
20.5,44
20.75,48
21,49
21.25,52
21.5,52
21.75,51
22,53
22.25,60
22.5,65
22.75,65
23,76
23.25,76
23.5,77
23.75,80
24,84
24.25,90
24.5,90
24.75,97
25,103
25.25,107
25.5,111
25.75,115
26,119
26.25,127
26.5,127
26.75,134
27,132
27.25,140
27.5,147
27.75,151
28,158
28.25,166
28.5,164
28.75,172
29,182
29.25,189
29.5,202
29.75,214
30,218
30.25,221
30.5,230
30.75,241
31,251
31.25,269
31.5,284
31.75,301
32,310
32.25,320
32.5,333
32.75,344
33,358
33.25,374
33.5,385
33.75,398
34,416
34.25,430
34.5,446
34.75,456
35,479
35.25,492
35.5,508
35.75,524
36,545
36.25,556
36.5,589
36.75,604
37,627
37.25,652
37.5,676
37.75,684
38,699
38.25,731
38.5,741
38.75,765
39,785
39.25,806
39.5,825
39.75,840
40,864
40.25,884
40.5,902
40.75,915
41,925
41.25,935
41.5,954
41.75,965
42,982
42.25,987
42.5,1003
42.75,1011
43,1028
43.25,1034
43.5,1061
43.75,1074
44,1081
44.25,1090
44.5,1083
44.75,1091
45,1091
45.25,1094
45.5,1085
45.75,1087
46,1093
46.25,1082
46.5,1089
46.75,1080
47,1064
47.25,1061
47.5,1055
47.75,1040
48,1026
48.25,1019
48.5,1024
48.75,1020
49,1014
49.25,1009
49.5,1004
49.75,1005
50,995
50.25,983
50.5,970
50.75,972
51,958
51.25,950
51.5,918
51.75,910
52,895
52.25,890
52.5,887
52.75,870
53,855
53.25,830
53.5,814
53.75,808
54,794
54.25,784
54.5,769
54.75,753
55,736
55.25,715
55.5,695
55.75,696
56,679
56.25,668
56.5,650
56.75,642
57,629
57.25,612
57.5,602
57.75,581
58,563
58.25,552
58.5,540
58.75,520
59,499
59.25,488
59.5,478
59.75,466
60,454
60.25,434
60.5,416
60.75,403
61,391
61.25,384
61.5,380
61.75,369
62,365
62.25,355
62.5,349
62.75,337
63,330
63.25,331
63.5,326
63.75,315
64,308
64.25,296
64.5,278
64.75,264
65,254
65.25,245
65.5,240
65.75,232
66,228
66.25,221
66.5,213
66.75,209
67,205
67.25,195
67.5,190
67.75,182
68,176
68.25,172
68.5,163
68.75,162
69,158
69.25,153
69.5,149
69.75,142
70,133
70.25,125
70.5,121
70.75,119
71,120
71.25,111
71.5,105
71.75,98
72,95
72.25,97
72.5,97
72.75,92
73,90
73.25,87
73.5,77
73.75,75
74,74
74.25,73
74.5,71
74.75,70
75,68
75.25,69
75.5,66
75.75,63
76,62
76.25,61
76.5,60
76.75,57
77,54
77.25,53
77.5,51
77.75,52
78,49
78.25,48
78.5,46
78.75,44
79,41
79.25,38
79.5,38
79.75,37
80,37
80.25,34
80.5,31
80.75,31
81,31
81.25,31
81.5,32
81.75,29
82,25
82.25,23
82.5,23
82.75,20
83,20
83.25,18
83.5,18
83.75,18
84,17
84.25,16
84.5,16
84.75,17
85,17
85.25,15
85.5,14
85.75,13
86,12
86.25,11
86.5,10
86.75,10
87,9
87.25,8
87.5,8
87.75,8
88,7
88.25,7
88.5,7
88.75,7
89,6
89.25,6
89.5,5
89.75,5
90,5
90.25,5
90.5,5
90.75,5
91,4
91.25,3
91.5,3
91.75,3
92,3
92.25,3
92.5,3
92.75,2
93,2
93.25,2
93.5,1
93.75,2
94,3
94.25,4
94.5,4
94.75,4
95,4
95.25,4
95.5,4
95.75,4
96,4
96.25,4
96.5,4
96.75,4
97,4
97.25,4
97.5,4
97.75,4
98,4
98.25,4
98.5,5
98.75,5
99,5
99.25,5
99.5,5
99.75,4
100,4
100.25,4
100.5,4
100.75,4
101,5
101.25,5
101.5,5
101.75,4
102,3
102.25,2
102.5,2
102.75,2
103,2
103.25,2
103.5,2
103.75,2
104,2
104.25,2
104.5,2
104.75,2
105,2
105.25,2
105.5,2
105.75,2
106,2
106.25,2
106.5,1
106.75,1
107,1
107.25,1
107.5,1
107.75,1
108,1
108.25,1
108.5,1
108.75,1
109,0
109.25,0
109.5,0
109.75,0
110,0
110.25,0
110.5,0
110.75,0
111,0
111.25,0
111.5,0
111.75,0
112,0
112.25,0
112.5,0
112.75,0
113,0
113.25,0
113.5,0
113.75,0
114,0
114.25,0
114.5,0
114.75,0
115,0
115.25,0
115.5,0
115.75,0
116,0
116.25,0
116.5,0
116.75,0
117,0
117.25,0
117.5,0
117.75,0
118,0
118.25,0
118.5,0
118.75,0
119,0
119.25,0
119.5,0
119.75,0
