Time,num_infected
0,0
0.25,9
0.5,13
0.75,16
1,19
1.25,21
1.5,29
1.75,33
2,34
2.25,35
2.5,41
2.75,41
3,44
3.25,48
3.5,51
3.75,55
4,55
4.25,59
4.5,58
4.75,64
5,72
5.25,73
5.5,74
5.75,78
6,83
6.25,94
6.5,106
6.75,111
7,111
7.25,116
7.5,115
7.75,126
8,130
8.25,142
8.5,147
8.75,152
9,166
9.25,185
9.5,191
9.75,207
10,220
10.25,228
10.5,244
10.75,240
11,252
11.25,270
11.5,286
11.75,293
12,314
12.25,330
12.5,355
12.75,376
13,395
13.25,412
13.5,456
13.75,486
14,494
14.25,523
14.5,545
14.75,584
15,617
15.25,671
15.5,685
15.75,714
16,728
16.25,760
16.5,798
16.75,831
17,860
17.25,876
17.5,900
17.75,947
18,1013
18.25,1079
18.5,1135
18.75,1202
19,1277
19.25,1324
19.5,1391
19.75,1460
20,1528
20.25,1606
20.5,1670
20.75,1745
21,1788
21.25,1889
21.5,1945
21.75,1999
22,2095
22.25,2214
22.5,2324
22.75,2450
23,2561
23.25,2695
23.5,2793
23.75,2922
24,3066
24.25,3190
24.5,3290
24.75,3429
25,3590
25.25,3708
25.5,3878
25.75,4041
26,4211
26.25,4387
26.5,4550
26.75,4727
27,4888
27.25,5022
27.5,5263
27.75,5463
28,5684
28.25,5895
28.5,6082
28.75,6330
29,6555
29.25,6739
29.5,6990
29.75,7150
30,7440
30.25,7680
30.5,7943
30.75,8150
31,8433
31.25,8683
31.5,8872
31.75,9121
32,9368
32.25,9675
32.5,9919
32.75,10194
33,10503
33.25,10731
33.5,11043
33.75,11302
34,11550
34.25,11843
34.5,12106
34.75,12416
35,12658
35.25,12945
35.5,13231
35.75,13462
36,13680
36.25,13886
36.5,14129
36.75,14382
37,14601
37.25,14848
37.5,15074
37.75,15237
38,15351
38.25,15566
38.5,15735
38.75,15853
39,15946
39.25,16187
39.5,16268
39.75,16308
40,16410
40.25,16539
40.5,16560
40.75,16630
41,16597
41.25,16580
41.5,16633
41.75,16581
42,16532
42.25,16517
42.5,16392
42.75,16341
43,16259
43.25,16201
43.5,16069
43.75,16053
44,15836
44.25,15739
44.5,15577
44.75,15422
45,15285
45.25,15140
45.5,14960
45.75,14703
46,14560
46.25,14298
46.5,14095
46.75,13933
47,13732
47.25,13483
47.5,13248
47.75,13036
48,12750
48.25,12531
48.5,12283
48.75,12110
49,11862
49.25,11589
49.5,11387
49.75,11111
50,10933
50.25,10685
50.5,10452
50.75,10228
51,9966
51.25,9772
51.5,9514
51.75,9266
52,9007
52.25,8767
52.5,8539
52.75,8341
53,8141
53.25,7942
53.5,7727
53.75,7512
54,7309
54.25,7113
54.5,6955
54.75,6770
55,6536
55.25,6339
55.5,6194
55.75,6059
56,5880
56.25,5724
56.5,5552
56.75,5394
57,5243
57.25,5064
57.5,4897
57.75,4742
58,4594
58.25,4474
58.5,4319
58.75,4177
59,4045
59.25,3900
59.5,3765
59.75,3639
60,3507
60.25,3415
60.5,3295
60.75,3179
61,3069
61.25,2963
61.5,2881
61.75,2797
62,2688
62.25,2615
62.5,2535
62.75,2452
63,2369
63.25,2269
63.5,2181
63.75,2112
64,2049
64.25,1992
64.5,1931
64.75,1867
65,1794
65.25,1722
65.5,1668
65.75,1595
66,1534
66.25,1490
66.5,1438
66.75,1396
67,1361
67.25,1313
67.5,1275
67.75,1235
68,1182
68.25,1157
68.5,1115
68.75,1079
69,1040
69.25,1008
69.5,972
69.75,930
70,882
70.25,840
70.5,808
70.75,780
71,761
71.25,726
71.5,700
71.75,666
72,644
72.25,626
72.5,609
72.75,587
73,568
73.25,544
73.5,532
73.75,516
74,501
74.25,494
74.5,483
74.75,464
75,452
75.25,427
75.5,410
75.75,396
76,381
76.25,375
76.5,366
76.75,351
77,339
77.25,327
77.5,309
77.75,290
78,278
78.25,267
78.5,259
78.75,255
79,246
79.25,232
79.5,225
79.75,208
80,199
80.25,191
80.5,186
80.75,179
81,171
81.25,168
81.5,164
81.75,157
82,144
82.25,140
82.5,139
82.75,132
83,127
83.25,119
83.5,116
83.75,113
84,110
84.25,106
84.5,102
84.75,103
85,99
85.25,94
85.5,89
85.75,85
86,81
86.25,80
86.5,75
86.75,73
87,72
87.25,69
87.5,69
87.75,68
88,65
88.25,65
88.5,62
88.75,61
89,60
89.25,60
89.5,57
89.75,54
90,50
90.25,45
90.5,44
90.75,40
91,37
91.25,34
91.5,33
91.75,31
92,31
92.25,28
92.5,29
92.75,29
93,31
93.25,31
93.5,28
93.75,29
94,26
94.25,22
94.5,22
94.75,23
95,24
95.25,23
95.5,22
95.75,22
96,20
96.25,20
96.5,21
96.75,20
97,18
97.25,19
97.5,18
97.75,18
98,17
98.25,17
98.5,17
98.75,17
99,17
99.25,16
99.5,16
99.75,15
100,15
100.25,15
100.5,14
100.75,13
101,13
101.25,13
101.5,13
101.75,13
102,11
102.25,9
102.5,8
102.75,7
103,7
103.25,7
103.5,7
103.75,7
104,7
104.25,7
104.5,7
104.75,7
105,7
105.25,7
105.5,7
105.75,7
106,7
106.25,7
106.5,6
106.75,6
107,6
107.25,6
107.5,5
107.75,5
108,5
108.25,5
108.5,4
108.75,4
109,4
109.25,5
109.5,6
109.75,4
110,4
110.25,4
110.5,4
110.75,4
111,3
111.25,3
111.5,3
111.75,3
112,3
112.25,3
112.5,3
112.75,3
113,3
113.25,3
113.5,3
113.75,3
114,3
114.25,3
114.5,3
114.75,3
115,3
115.25,3
115.5,3
115.75,3
116,3
116.25,4
116.5,4
116.75,4
117,3
117.25,3
117.5,3
117.75,3
118,2
118.25,2
118.5,2
118.75,2
119,2
119.25,2
119.5,2
119.75,2
