Time,susceptible_lambda_H
0,0
0.25,0
0.5,4.64222
0.75,64.4224
1,25.7977
1.25,26.6145
1.5,20.6335
1.75,61.4631
2,26.076
2.25,25.4321
2.5,27.0238
2.75,23.1691
3,21.362
3.25,29.7615
3.5,37.0798
3.75,33.4602
4,33.4467
4.25,25.4487
4.5,20.3614
4.75,18.7414
5,16.8582
5.25,42.2535
5.5,32.7073
5.75,33.0431
6,119.121
6.25,48.2421
6.5,46.5282
6.75,66.5458
7,43.8946
7.25,63.7459
7.5,41.2849
7.75,48.6827
8,46.5973
8.25,51.2194
8.5,46.3181
8.75,42.4934
9,70.5162
9.25,80.7841
9.5,136.987
9.75,75.5714
10,103.074
10.25,75.9146
10.5,88.3961
10.75,126.588
11,104.617
11.25,93.373
11.5,92.6831
11.75,87.9028
12,139.152
12.25,140.528
12.5,157.579
12.75,299.015
13,218.29
13.25,204.058
13.5,196.05
13.75,171.338
14,223.212
14.25,161.689
14.5,189.365
14.75,192.25
15,203.601
15.25,419.149
15.5,311.952
15.75,308.815
16,261.272
16.25,303.747
16.5,315.909
16.75,326.184
17,277.184
17.25,284.464
17.5,372.18
17.75,412.158
18,365.315
18.25,507.422
18.5,451.81
18.75,449.381
19,497.191
19.25,550.549
19.5,530.975
19.75,589.115
20,536.83
20.25,480.708
20.5,847.029
20.75,671.011
21,735.876
21.25,710.254
21.5,791.106
21.75,737.55
22,772.851
22.25,801.865
22.5,750.202
22.75,902.415
23,982.57
23.25,912.725
23.5,919.856
23.75,1045.32
24,1066.43
24.25,1179.11
24.5,1063.52
24.75,1119.35
25,1113.6
25.25,1218.66
25.5,1258.42
25.75,1234.22
26,1483.52
26.25,1528.97
26.5,1352.16
26.75,1489.79
27,1502.21
27.25,1441.48
27.5,1369.85
27.75,1542.09
28,1696
28.25,1722.29
28.5,1758.81
28.75,1576.34
29,1648.34
29.25,1722.46
29.5,1827.06
29.75,1966.91
30,1755.4
30.25,1943.62
30.5,2021.52
30.75,2281.44
31,1888.97
31.25,2110.2
31.5,2041.89
31.75,2160.54
32,1904.36
32.25,1961.18
32.5,1838.14
32.75,2196.97
33,2151.78
33.25,1987.66
33.5,2051.96
33.75,2126.2
34,2283.72
34.25,1961.7
34.5,2059.15
34.75,1940.14
35,2041.26
35.25,2095.08
35.5,1963.99
35.75,1828.06
36,1728.89
36.25,1723.42
36.5,1638.95
36.75,1570.93
37,1686.88
37.25,1625.61
37.5,1495.64
37.75,1510.27
38,1451.21
38.25,1479.41
38.5,1347.11
38.75,1343.24
39,1215.46
39.25,1389.25
39.5,1203.92
39.75,1119.91
40,1122.63
40.25,1174.11
40.5,1120.66
40.75,986.055
41,908.986
41.25,888.428
41.5,823.507
41.75,839.842
42,828.294
42.25,742.835
42.5,729.795
42.75,678.564
43,702.937
43.25,700.193
43.5,657.61
43.75,624.317
44,642.821
44.25,589.305
44.5,505.368
44.75,469.027
45,502.204
45.25,426.114
45.5,415.273
45.75,418.2
46,419.478
46.25,415.278
46.5,365.49
46.75,351.228
47,367.26
47.25,339.694
47.5,247.15
47.75,242.548
48,289.017
48.25,255.213
48.5,227.737
48.75,246.285
49,202.075
49.25,204.205
49.5,180.468
49.75,170.499
50,159.283
50.25,153.046
50.5,153.364
50.75,150.302
51,136.326
51.25,121.275
51.5,101.09
51.75,117.404
52,118.861
52.25,99.0929
52.5,101.513
52.75,134.121
53,102.675
53.25,117.17
53.5,114.077
53.75,89.3185
54,80.7252
54.25,69.2656
54.5,90.2015
54.75,46.4648
55,66.6372
55.25,46.7817
55.5,53.1301
55.75,54.8016
56,57.8606
56.25,53.7307
56.5,54.8941
56.75,57.7855
57,63.5107
57.25,58.8919
57.5,54.977
57.75,49.403
58,44.2045
58.25,40.3057
58.5,49.803
58.75,49.7821
59,40.3045
59.25,33.9573
59.5,26.1424
59.75,32.8153
60,23.9408
60.25,16.4532
60.5,21.1727
60.75,46.2714
61,40.9267
61.25,21.4576
61.5,24.2111
61.75,19.2136
62,12.3743
62.25,26.0406
62.5,19.1063
62.75,28.3243
63,13.6925
63.25,17.0689
63.5,12.4684
63.75,8.65563
64,7.65569
64.25,7.98335
64.5,5.36808
