Time,susceptible_lambda_W
0,0
0.25,0
0.5,2.04821
0.75,12.173
1,12.1696
1.25,11.0908
1.5,13.5729
1.75,23.3561
2,21.341
2.25,16.9407
2.5,15.9973
2.75,16.9729
3,16.7128
3.25,21.4526
3.5,21.357
3.75,26.2085
4,33.3244
4.25,26.8036
4.5,26.5774
4.75,25.2956
5,20.4347
5.25,23.9024
5.5,22.4506
5.75,22.9041
6,40.3672
6.25,40.1669
6.5,47.2232
6.75,66.0127
7,69.9741
7.25,96.066
7.5,120.04
7.75,117.324
8,112.527
8.25,112.047
8.5,113.121
8.75,108.526
9,85.3393
9.25,87.7765
9.5,94.4014
9.75,96.4418
10,100.991
10.25,110.36
10.5,119.71
10.75,142.799
11,140.645
11.25,142.823
11.5,140.545
11.75,130.811
12,135.865
12.25,138.353
12.5,147.895
12.75,175.743
13,172.45
13.25,166.051
13.5,181.575
13.75,202.197
14,210.003
14.25,221.14
14.5,232.521
14.75,239.893
15,245.566
15.25,314.063
15.5,339.612
15.75,340.444
16,341.44
16.25,343.239
16.5,368.591
16.75,388.855
17,364.578
17.25,360.61
17.5,358.587
17.75,376.72
18,413.462
18.25,435.442
18.5,451.46
18.75,449.264
19,490.883
19.25,555.379
19.5,579.686
19.75,617.472
20,625.439
20.25,634.705
20.5,665.645
20.75,699.599
21,748.035
21.25,790.829
21.5,843.919
21.75,856.097
22,893.517
22.25,892.386
22.5,892.047
22.75,964.104
23,1013.19
23.25,998.862
23.5,968.61
23.75,1039.77
24,1097.35
24.25,1138.61
24.5,1149.89
24.75,1158.47
25,1165.11
25.25,1252.13
25.5,1260.55
25.75,1288.82
26,1322.2
26.25,1362.18
26.5,1380.41
26.75,1409.33
27,1423.94
27.25,1416.73
27.5,1418.69
27.75,1486.04
28,1545.76
28.25,1581.22
28.5,1590.89
28.75,1634.69
29,1655.91
29.25,1644.27
29.5,1676.3
29.75,1706.02
30,1731.34
30.25,1750.76
30.5,1774.76
30.75,1819.66
31,1760.26
31.25,1803.01
31.5,1770.67
31.75,1779
32,1802.97
32.25,1778.6
32.5,1732.02
32.75,1762.88
33,1772.42
33.25,1752.03
33.5,1734.35
33.75,1736.48
34,1709.26
34.25,1675.61
34.5,1637.22
34.75,1583.45
35,1592.17
35.25,1540.9
35.5,1500.76
35.75,1495.37
36,1424.84
36.25,1401.7
36.5,1342.79
36.75,1292.9
37,1240.26
37.25,1217.07
37.5,1190
37.75,1148.28
38,1093.92
38.25,1059.9
38.5,1004.27
38.75,944.499
39,895.988
39.25,864.094
39.5,810.213
39.75,767.05
40,714.28
40.25,692.114
40.5,663.821
40.75,624.103
41,580.383
41.25,540.382
41.5,528.766
41.75,499.775
42,460.112
42.25,433.972
42.5,413.733
42.75,370.687
43,334.596
43.25,305.397
43.5,292.45
43.75,278.305
44,269.207
44.25,253.159
44.5,229.119
44.75,221.211
45,210.328
45.25,197.648
45.5,184.985
45.75,164.299
46,155.976
46.25,144.629
46.5,136.949
46.75,126.504
47,119.623
47.25,105.492
47.5,99.0967
47.75,93.6912
48,92.2487
48.25,86.0962
48.5,80.0402
48.75,75.5902
49,69.5872
49.25,61.4327
49.5,55.5154
49.75,50.5854
50,48.4232
50.25,45.4619
50.5,41.9411
50.75,42.4777
51,41.0074
51.25,35.4942
51.5,33.8967
51.75,32.4577
52,28.1341
52.25,26.272
52.5,24.7675
52.75,23.2426
53,21.5105
53.25,20.9576
53.5,19.6418
53.75,18.7662
54,18.015
54.25,15.6604
54.5,14.4135
54.75,14.9163
55,13.2037
55.25,11.9146
55.5,11.4341
55.75,10.9354
56,9.94861
56.25,9.84391
56.5,9.78461
56.75,9.27505
57,8.93022
57.25,8.36157
57.5,7.91399
57.75,7.40693
58,6.89562
58.25,5.69232
58.5,5.6646
58.75,5.43569
59,5.71194
59.25,5.7715
59.5,5.54039
59.75,4.92935
60,5.03125
60.25,4.54976
60.5,4.38192
60.75,4.26164
61,4.21459
61.25,3.94756
61.5,3.79058
61.75,3.68841
62,3.88266
62.25,3.75978
62.5,3.96858
62.75,3.99227
63,3.45588
63.25,3.41023
63.5,2.44305
63.75,3.35553
64,2.29027
64.25,2.226
